description,min,max,description_name
3 Year Cover Built In,0,50,three_year_cover
Popularity of Broadcast,-50,100,popularity
Average Budget,-50,50,average_budget
Max. Budget,-50,50,max_budget
Fair Use and/or Fair Dealing Exposure,0,50,fair_use_exposure
Ability to Subrogate Against Content Owner,-80,100,ability_to_subrogate
Quality of Legal Clearance,-50,50,quality_of_legal_clearance
Acquisition and/or Development Only,-80,100,acquisition_or_development_only
