exposure_measure,exposure_name,class
Other Class 1,other1,1
Production,production2,2
Broadcast,broadcast2,2
Distribution of content with very low exposure,distribution_verylow,2
Other Class 2,other2,2
Production,production3,3
Broadcast,broadcast3,3
Distribution of content with low exposure,distribution_low,3
Other Class 3,other3,3
Production,production4,4
Broadcast,broadcast4,4
Distribution of content with medium exposure,distribution_medium,4
Other Class 4,other4,4
Production,production5,5
Broadcast,broadcast5,5
Distribution of content with high exposure,distribution_high,5
Other Class 5,other5,5
Production,production6,6
Broadcast,broadcast6,6
Distribution of content with very high exposure,distribution_veryhigh,6
Other Class 6,other6,6
