description,min,max,description_name
Contract Sizes,-50,50,contract_sizes
US Exposure,-50,100,us_exposure
Popularity of Artist(s),0,100,popularity
Size of Back Catalogue,-50,50,size_of_back_catalogue
High Volume of Music Licensing,0,100,high_volume_of_licensing
