exposure_measure,exposure_name,class
Other Class 1,other1,1
Other Class 2,other2,2
Composer or Songwriter (Low Exposure),composer_low,3
Artist (Singing/ Recording/ Performing) (Low Exposure),artist_low,3
Record Label or Music Publisher (Low Exposure),record_label_low,3
Other Class 3,other3,3
Composer or Songwriter (Medium Exposure),composer_medium,4
Artist (Singing/ Recording/ Performing) (Medium Exposure),artist_medium,4
Record Label or Music Publisher (Medium Exposure),record_label_medium,4
Music Talent Management,music_talent,4
Other Class 4,other4,4
Composer or Songwriter (High Exposure),composer_high,5
Artist (Singing/ Recording/ Performing) (High Exposure),artist_high,5
Record Label or Music Publisher (High Exposure),record_label_high,5
Other Class 5,other5,5
Composer or Songwriter (Severe Exposure),composer_severe,6
Music Licensing,licensing,6
Music Streaming Platform,streaming,6
Royalties Collection,royalties,6
Music Supervision,supervision,6
Other Class 6,other6,6
