per_occurrence_limit,next,ilf_selected
2000,10000,0.0800000
10000,25000,0.1300000 
25000,50000,0.2600000
50000,100000,0.4500000
100000,250000,0.5750000 
250000,300000,0.6469000 
300000,500000,0.6708500
500000,1000000,0.7666500
1000000,2000000,0.9500000 
2000000,2500000,1.2500000 
2500000,3000000,1.3019421 
3000000,4000000,1.3500000 
4000000,5000000,1.4500000 
5000000,7000000,1.5875000 
7000000,7500000,1.8332596
7500000,10000000,1.9650515
10000000,15000000,2.3000000
15000000,15000000,3.0000000
