addl_defense_limit_per_claim,next_adl_limit,debit_perc
0,250000,0
250000,5e+05,0.06
5e+05,750000,0.12
750000,1e+06,0.17
1e+06,2e+06,0.2
2e+06,3e+06,0.2175
3e+06,4e+06,0.2275
4e+06,5e+06,0.235
5e+06,5e+06,0.24
