exhibition_type,mins0to10,mins11to30,mins31to60,mins60plus
Children/Religious,70.3196347031963,283.10502283105,306.849315068493,448.401826484018
Drama/Chat Show,211.872146118721,448.401826484018,448.401826484018,684.018264840183
Live,211.872146118721,448.401826484018,448.401826484018,684.018264840183
Game Show,211.872146118721,448.401826484018,448.401826484018,684.018264840183
Entertainment/Sitcom/Daytime,165.296803652968,353.424657534247,353.424657534247,542.465753424658
Factual (investigative),1178.99543378995,1178.99543378995,1178.99543378995,1415.52511415525
Factual (non - investigative),235.616438356164,472.146118721461,472.146118721461,707.762557077626
Factual (non investigative/non contentious),211.872146118721,448.401826484018,448.401826484018,684.018264840183
Reality,943.37899543379,943.37899543379,943.37899543379,1178.99543378995
Sport/Ancient History/Nature,141.552511415525,283.10502283105,306.849315068493,448.401826484018
