type,uk,europe,european_union,ww,wx
DVD & TV only,2240.95890410959,2240.95890410959,2240.95890410959,2830.13698630137,2358.90410958904
DVD only,1568.58447488584,1568.58447488584,1568.58447488584,2594.52054794521,1651.14155251142
TV Only,1905,1905,1905,2712,2005
Film festivals only,2912.46575342466,2912.46575342466,2912.46575342466,4009.13242009132,3065.75342465753
"Cinema, DVD, TV, Internet and all other formats",4033.37899543379,4033.37899543379,4033.37899543379,5189.04109589041,4245.66210045662
"Limited cinema release (e.g. arthouse cinemas only) plus DVD, TV, internet and all other formats",3361.00456621005,3361.00456621005,3361.00456621005,4481.27853881279,3537.899543379
Theatre production,3584.8401826484,3584.8401826484,3584.8401826484,4716.89497716895,3773.51598173516
