scope_of_release,base_premium
"Cinema, DVD, TV, Internet and all other formats",8491.32420091324
"Limited cinema release (e.g. arthouse cinemas only) plus DVD, TV, internet and all other formats",6132.4200913242
DVD & TV only,4716.89497716895
DVD only,4244.74885844749
TV Only,4500
Film festivals only,3774.42922374429
Theatre production,7074.88584474886
