Name,Mode,CDS level,Coverage,Relative path,CDS path,Rater Defined?,Type,Default,Label hx
no_of_aircrafts,input,cds/exposure/granular,,/airlines/no_of_aircrafts,cds/exposure/granular/airlines/no_of_aircrafts,Y,int,,Number of Aircrafts
operator_name,input,cds/exposure/granular,,/airlines/operator_name,cds/exposure/granular/airlines/operator_name,Y,str,,Operator Name
master_series,input,cds/exposure/granular,,/airlines/master_series,cds/exposure/granular/airlines/master_series,Y,str,,Master Series
registration,input,cds/exposure/granular,,/airlines/registration,cds/exposure/granular/airlines/registration,Y,str,,Registration
status,input,cds/exposure/granular,,/airlines/status,cds/exposure/granular/airlines/status,Y,str,,Status
coverage,input,cds/exposure/granular,,/airlines/coverage,cds/exposure/granular/airlines/coverage,Y,str,,Coverage
attachment_date,input,cds/exposure/granular,,/airlines/attachment_date,cds/exposure/granular/airlines/attachment_date,Y,date,,Risk Attachment Date
expiry_date,input,cds/exposure/granular,,/airlines/expiry_date,cds/exposure/granular/airlines/expiry_date,Y,date,,Risk Expiry Date
time_in_service,input,cds/exposure/granular,,/airlines/time_in_service,cds/exposure/granular/airlines/time_in_service,Y,float,,% Time in Service
build_year,input,cds/exposure/granular,,/airlines/build_year,cds/exposure/granular/airlines/build_year,Y,int,,Build Year
usage,input,cds/exposure/granular,,/airlines/usage,cds/exposure/granular/airlines/usage,Y,str,,Usage
primary_usage,input,cds/exposure/granular,,/airlines/primary_usage,cds/exposure/granular/airlines/primary_usage,Y,str,,Primary Usage
market_class,input,cds/exposure/granular,,/airlines/market_class,cds/exposure/granular/airlines/market_class,Y,str,,Market Class
russian_built,input,cds/exposure/granular,,/airlines/russian_built,cds/exposure/granular/airlines/russian_built,Y,bool,,Russian Built?
operator_country,input,cds/exposure/granular,,/airlines/operator_country,cds/exposure/granular/airlines/operator_country,Y,str,,Operator Country
operator_region,input,cds/exposure/granular,,/airlines/operator_region,cds/exposure/granular/airlines/operator_region,Y,str,,Operator Region
seats,input,cds/exposure/granular,,/airlines/seats,cds/exposure/granular/airlines/seats,Y,int,,Seats
utilisation,input,cds/exposure/granular,,/airlines/utilisation,cds/exposure/granular/airlines/utilisation,Y,float,,Utilisation (Annual hours)
mtow,input,cds/exposure/granular,,/airlines/mtow,cds/exposure/granular/airlines/mtow,Y,float,,MTOW
value,input,cds/exposure/granular,,/airlines/value,cds/exposure/granular/airlines/value,Y,float,,Value
hull_limit,input,cds/exposure/granular,,/airlines/hull_limit,cds/exposure/granular/airlines/hull_limit,Y,float,,Hull Limit 
hull_excess,input,cds/exposure/granular,,/airlines/hull_excess,cds/exposure/granular/airlines/hull_excess,Y,float,,Hull Excess 
hull_ccy,input,cds/exposure/granular,,/airlines/hull_ccy,cds/exposure/granular/airlines/hull_ccy,Y,str,,Hull Currency
liability_limit,input,cds/exposure/granular,,/airlines/liability_limit,cds/exposure/granular/airlines/liability_limit,Y,float,,Liability Limit
liability_excess,input,cds/exposure/granular,,/airlines/liability_excess,cds/exposure/granular/airlines/liability_excess,Y,float,,Liability Excess 
liability_ccy,input,cds/exposure/granular,,/airlines/liability_ccy,cds/exposure/granular/airlines/liability_ccy,Y,str,,Liability Currency
pplw_award,input,cds/exposure/granular,,/airlines/pplw_award,cds/exposure/granular/airlines/pplw_award,Y,float,,PLL Award 
tpl_limit_exposed,override,cds/exposure/granular,,/airlines/tpl_limit_exposed,cds/exposure/granular/airlines/tpl_limit_exposed,Y,float,,TPL Limit Exposed %
achieved_hull_rate,override,cds/exposure/granular,,/airlines/achieved_hull_rate,cds/exposure/granular/airlines/achieved_hull_rate,Y,float,,Gross Achieved Hull Rate
def_include,input,cds/exposure/granular,,/airlines/def_include,cds/exposure/granular/airlines/def_include,Y,str,TRUE,Include Exposure?
