ihs_score,pd_terrorism_c,pd_terrorism_b,pd_civil_unrest_c,pd_civil_unrest_b,pd_war_c,pd_war_b
0.1,1.17691496829629e-05,1.05,1.17691496829629e-05,1.05,1.17691496829629e-05,1.05
1.40001,1.09845397040987e-05,1.1,1.09845397040987e-05,1.1,1.09845397040987e-05,1.1
3.0001,9.41531974637028e-06,1.11475,9.41531974637028e-06,1.11475,9.41531974637028e-06,1.11475
