ihs_score,bi_terrorism_c,bi_terrorism_b,bi_civil_unrest_c,bi_civil_unrest_b,bi_war_c,bi_war_b
0.1,1.47114371037036e-05,1.05,1.47114371037036e-05,1.05,1.47114371037036e-05,1.05
1.40001,1.37306746301233e-05,1.1,1.37306746301233e-05,1.1,1.37306746301233e-05,1.1
3.0001,1.17691496829629e-05,1.11475,1.17691496829629e-05,1.11475,1.17691496829629e-05,1.11475
