Category,Weight,Min,Max,Default,IHSRisk
Low Risk,1,0.0,2.399,1.2,Very few events.
Medium Risk,1,2.4,3.199,2.8,Event(s) affecting at least one area of the country.
High Risk,1,3.2,4.399,3.8,The scope of the event(s) is broadening across the country. Major disruption of commercial activity in parts of the country.
Very High Risk,1,4.4,10.0,7.2,"Event in progress, or likely in the next 12 months."
