no_of_locations,band,decile,band_decile,value
41,41-50,0.2,41-50_0.2,0.027960518829148136
51,51-100,0.2,51-100_0.2,0.021348152092717197
101,101-150,0.2,101-150_0.2,0.016299540096469327
151,151-200,0.2,151-200_0.2,0.01244487139695079
201,201-250,0.2,201-250_0.2,0.009501791042570066
251,251-300,0.2,251-300_0.2,0.007254718039013717
301,301-500,0.2,301-500_0.2,0.005539054015163365
501,501-1000,0.2,501-1000_0.2,0.004229126372369467
1001,1001-5000,0.2,1001-5000_0.2,0.003228982751298088
5001,5001-10000,0.2,5001-10000_0.2,0.002465362509926364
10001,10000,0.2,10000_0.2,0.0018823303725939665
1,1,0.3,1_0.3,0.1823824393151391
2,2-5,0.3,2-5_0.3,0.139197330624405
6,6-10,0.3,6-10_0.3,0.10623773278676386
11,11-20,0.3,11-20_0.3,0.08108241599924061
21,21-30,0.3,21-30_0.3,0.061883457146715476
31,31-40,0.3,31-40_0.3,0.047230490374944374
41,41-50,0.3,41-50_0.3,0.03604710085554926
51,51-100,0.3,51-100_0.3,0.0275117507731714
101,101-150,0.3,101-150_0.3,0.020997428715229863
151,151-200,0.3,151-200_0.3,0.016025589075963277
201,201-250,0.3,201-250_0.3,0.012230997838576159
251,251-300,0.3,251-300_0.3,0.009334902287719027
301,301-500,0.3,301-500_0.3,0.007124553684935177
501,501-1000,0.3,501-1000_0.3,0.005437578631787303
1001,1001-5000,0.3,1001-5000_0.3,0.004150051032584633
5001,5001-10000,0.3,5001-10000_0.3,0.0031673884166702523
10001,10000,0.3,10000_0.3,0.0024174038592023736
1,1,0.4,1_0.4,0.2311722307255871
2,2-5,0.4,2-5_0.4,0.17698518006224645
6,6-10,0.4,6-10_0.4,0.13549963965545955
11,11-20,0.4,11-20_0.4,0.10373836012880873
21,21-30,0.4,21-30_0.4,0.0794219629629901
31,31-40,0.4,31-40_0.4,0.06080535872229244
41,41-50,0.4,41-50_0.4,0.04655250904676792
51,51-100,0.4,51-100_0.4,0.035640544585010314
101,101-150,0.4,101-150_0.4,0.02728635779953303
151,151-200,0.4,151-200_0.4,0.020890402507409433
201,201-250,0.4,201-250_0.4,0.015993666876604792
251,251-300,0.4,251-300_0.4,0.012244732004042476
301,301-500,0.4,301-500_0.4,0.009374552002839423
501,501-1000,0.4,501-1000_0.4,0.007177145667616668
1001,1001-5000,0.4,1001-5000_0.4,0.005494814036829345
5001,5001-10000,0.4,5001-10000_0.4,0.0042068229763773295
10001,10000,0.4,10000_0.4,0.0032207385793146985
1,1,0.5,1_0.5,0.30501598447835987
2,2-5,0.5,2-5_0.5,0.233300861791137
6,6-10,0.5,6-10_0.5,0.17844734335996357
11,11-20,0.5,11-20_0.5,0.13649094181545138
21,21-30,0.5,21-30_0.5,0.1043992969964758
31,31-40,0.5,31-40_0.5,0.07985301492091045
41,41-50,0.5,41-50_0.5,0.06107803572829037
51,51-100,0.5,51-100_0.5,0.04671741514232338
101,101-150,0.5,101-150_0.5,0.03573325257690431
151,151-200,0.5,151-200_0.5,0.02733167783009616
201,201-250,0.5,201-250_0.5,0.02090547484868467
251,251-300,0.5,251-300_0.5,0.01599019574889559
301,301-500,0.5,301-500_0.5,0.012230593274664884
501,501-1000,0.5,501-1000_0.5,0.009354945630394143
1001,1001-5000,0.5,1001-5000_0.5,0.007155418039197974
5001,5001-10000,0.5,5001-10000_0.5,0.0054730416764081835
10001,10000,0.5,10000_0.5,0.004186224344630794
1,1,0.6,1_0.6,0.4252937050518987
2,2-5,0.6,2-5_0.6,0.32347492005470024
6,6-10,0.6,6-10_0.6,0.24603238341283695
11,11-20,0.6,11-20_0.6,0.1871302222675104
21,21-30,0.6,21-30_0.6,0.14232971936514904
31,31-40,0.6,31-40_0.6,0.10825482259943454
41,41-50,0.6,41-50_0.6,0.08233773429967563
51,51-100,0.6,51-100_0.6,0.06262540852050126
101,101-150,0.6,101-150_0.6,0.04763237446011583
151,151-200,0.6,151-200_0.6,0.03622879515374272
201,201-250,0.6,201-250_0.6,0.027555325829722678
251,251-300,0.6,251-300_0.6,0.02095835587024043
301,301-500,0.6,301-500_0.6,0.0159407543753244
501,501-1000,0.6,501-1000_0.6,0.012124407640927662
1001,1001-5000,0.6,1001-5000_0.6,0.009221725470592324
5001,5001-10000,0.6,5001-10000_0.6,0.007013969108718007
10001,10000,0.6,10000_0.6,0.00533476764353196
1,1,0.7,1_0.7,0.6357198526187956
2,2-5,0.7,2-5_0.7,0.4784661017766675
6,6-10,0.7,6-10_0.7,0.3601111552617128
11,11-20,0.7,11-20_0.7,0.2710328770677591
21,21-30,0.7,21-30_0.7,0.203989294356184
31,31-40,0.7,31-40_0.7,0.15352983247685795
41,41-50,0.7,41-50_0.7,0.11555218882817557
51,51-100,0.7,51-100_0.7,0.08696881985457112
101,101-150,0.7,101-150_0.7,0.0654559269157919
151,151-200,0.7,151-200_0.7,0.04926453383603429
201,201-250,0.7,201-250_0.7,0.03707829693106417
251,251-300,0.7,251-300_0.7,0.027906487614068783
301,301-500,0.7,301-500_0.7,0.021003447175636576
501,501-1000,0.7,501-1000_0.7,0.015807965493921824
1001,1001-5000,0.7,1001-5000_0.7,0.011897655226180711
5001,5001-10000,0.7,5001-10000_0.7,0.008954612150152587
10001,10000,0.7,10000_0.7,0.006739569876189857
1,1,0.8,1_0.8,0.9773027625670458
2,2-5,0.8,2-5_0.8,0.7312126624655978
6,6-10,0.8,6-10_0.8,0.5470893751958961
11,11-20,0.8,11-20_0.8,0.40932932348708856
21,21-30,0.8,21-30_0.8,0.306257994877716
31,31-40,0.8,31-40_0.8,0.2291405820318114
41,41-50,0.8,41-50_0.8,0.17144174915284058
51,51-100,0.8,51-100_0.8,0.12827179320206578
101,101-150,0.8,101-150_0.8,0.09597226470551855
151,151-200,0.8,151-200_0.8,0.07180593147393367
201,201-250,0.8,201-250_0.8,0.05372481112809223
251,251-300,0.8,251-300_0.8,0.04019661428383477
301,301-500,0.8,301-500_0.8,0.03007489027799521
501,501-1000,0.8,501-1000_0.8,0.022501870900037437
1001,1001-5000,0.8,1001-5000_0.8,0.016835778595422474
5001,5001-10000,0.8,5001-10000_0.8,0.012596438854940467
10001,10000,0.8,10000_0.8,0.00942458769738129
1,1,0.9,1_0.9,1.0
2,2-5,0.9,2-5_0.9,1.0
6,6-10,0.9,6-10_0.9,0.9750421850390583
11,11-20,0.9,11-20_0.9,0.7319596699045747
21,21-30,0.9,21-30_0.9,0.5494787472660501
31,31-40,0.9,31-40_0.9,0.412491160525866
41,41-50,0.9,41-50_0.9,0.30965521115886213
51,51-100,0.9,51-100_0.9,0.23245673840767486
101,101-150,0.9,101-150_0.9,0.17450420107224376
151,151-200,0.9,151-200_0.9,0.13099949866136762
201,201-250,0.9,201-250_0.9,0.0983407192725702
251,251-300,0.9,251-300_0.9,0.07382392425825707
