vessel_type,parameter
BARGE,0.642921321
BULK_CARRIERS,1
CABLE_LAYER,0.642921321
CEMENT_CARRIER,0.642921321
CHEMICAL_TANKER,0.642921321
CONTAINER_SHIP_FULLY_CELLULAR,0.751565434
CRANE_VESSEL,0.642921321
DREDGER,0.642921321
FISH_CARRIER,0.642921321
FISH_FACTORY_SHIP,0.642921321
FISHING_VESSEL,0.642921321
FLOATING_PRODUCTION,0.642921321
FRUIT_JUICE_CARRIER_REFRIGERATED,0.642921321
GENERAL_CARGO,0.771689774
HOSPITAL_VESSEL,0.642921321
ICEBREAKER,0.642921321
JACKUP_BARGE,0.642921321
LANDING_CRAFT,0.642921321
LIVESTOCK_CARRIER,0.642921321
LNG_TANKER,0.642921321
LPG_TANKER,0.642921321
MISCELLANEOUS,0.642921321
PASSENGER_CRUISE,0.642921321
PASSENGER_RO_RO_SHIP_VEHICLES,0.642921321
PASSENGER_SHIP,0.642921321
PATROL_VESSEL,0.642921321
PILOT_VESSEL,0.642921321
PIPE_LAYER,0.642921321
REFRIGERATED_CARGO_SHIP,0.642921321
RESEARCH_SURVEY_VESSEL,0.642921321
RO_RO_CARGO_SHIP,0.642921321
SEMI_SUBMERSIBLE,0.642921321
SUPPLY,0.611904775
SUPPORT,0.642921321
TANKER,0.642921321
TUG,0.642921321
VEHICLES_CARRIER,0.642921321
YACHT,0.642921321
