cover,xs_days,rate
60/60,14,0.0255
60/60,21,0.02025
60/60,30,0.015
90/90,14,0.02
90/90,21,0.01617
90/90,30,0.0125
120/120,14,0.01663
120/120,21,0.0135
120/120,30,0.01063
180/180,14,0.01242
180/180,21,0.01042
180/180,30,0.00833
270/270,14,0.00933
270/270,21,0.00794
270/270,30,0.00656
