cover,xs_days,rate
60/60,14,1.53
60/60,21,1.215
60/60,30,0.9
90/90,14,1.8
90/90,21,1.4553
90/90,30,1.125
120/120,14,1.9956
120/120,21,1.62
120/120,30,1.2756
180/180,14,2.2356
180/180,21,1.8756
180/180,30,1.4994
270/270,14,2.5191
270/270,21,2.1438
270/270,30,1.7712
