date_built_band,parameter,lower_band
a. pre 1995,1.234163735,0
b. 1995-2000,1.121967032,1996
c. 2000-2005,1.121967032,2001
d. 2005-2010,1.026158963,2006
e. 2010-2015,1,2011
f. post 2015,0.858774158,2016
