vessel_type,age_lower_bound,age_upper_bound,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Bulk Cement Carrier - BCE,40,44,54621,4800000,1,0.011379375000000000000000
Bulk Cement Carrier - BCE,45,49,57405.600000000000000000000000,4800000,1,0.011959500000000000000000
Bulk Cement Carrier - BCE,5,8,167273.367840000000000000000000,111720000,5,0.001497255351235230000000
Bulk Cement Carrier - BCE,9,14,23429.280000000000000000000000,8400000,1,0.002789200000000000000000
Bulk Ore Carrier - BOR,0,1,81640,65000000,1,0.001256000000000000000000
Bulk Ore Carrier - BOR,20,24,55611.200000000000000000000000,36000000,2,0.001544755555555560000000
Bulk Ore Carrier - BOR,25,29,15988.500000000000000000000000,18000000,1,0.000888250000000000000000
Bulk Ore Carrier - BOR,5,8,872757.401749600000000000000000,834383219,18,0.001045991076852660000000
Bulk Ore Carrier - BOR,9,14,492711.106675500000000000000000,347981650,9,0.001415911174268820000000
Bunkering Tanker - TBK,2,4,5231.865600000000000000000000,884000,1,0.005918400000000000000000
Bunkering Tanker - TBK,20,24,1368.432000000000000000000000,320000,1,0.004276350000000000000000
Bunkering Tanker - TBK,25,29,12741.120000000000000000000000,1680000,2,0.007584000000000000000000
Bunkering Tanker - TBK,40,44,41842.463552000000000000000000,2000000,1,0.020921231776000000000000
Bunkering Tanker - TBK,5,8,171946.900480000000000000000000,48864000,11,0.003518887125081860000000
Bunkering Tanker - TBK,9,14,383199.049920000000000000000000,97040000,22,0.003948877266281950000000
Buoy Ship/Supply - OBS,9,14,32550,6000000,1,0.005425000000000000000000
Chemical Tanker - TCH,15,19,752212.306474000000000000000000,163400000,16,0.004603502487600980000000
Chemical Tanker - TCH,20,24,347271.287046887000000000000000,85885825.412504000000000000000000,9,0.004043406294099940000000
Chemical Tanker - TCH,25,29,723085.008950000000000000000000,38200000,14,0.018928926935863900000000
Chemical Tanker - TCH,30,999,165696.683253750000000000000000,8235000,4,0.020121030146174900000000
Chemical Tanker - TCH,35,39,7592.897000000000000000000000,1880000,1,0.004038775000000000000000
Chemical Tanker - TCH,5,8,253747.018800000000000000000000,136800000,5,0.001854875868421050000000
Chemical Tanker - TCH,9,14,4218207.803827000000000000000000,1298220000,89,0.003249224171424720000000
Combined Bulk And Oil Carrier - CBO,40,44,402002.400000000000000000000000,60000000,2,0.006700040000000000000000
Combined Chemical And Oil Tanker - TCO,0,1,528715.144253920000000000000000,388666664,6,0.001360330569163300000000
Combined Chemical And Oil Tanker - TCO,15,19,1125607.209150000000000000000000,250547600,29,0.004492588271250650000000
Combined Chemical And Oil Tanker - TCO,2,4,1990318.109804460000000000000000,1589334630.750000000000000000000000,24,0.001252296446133080000000
Combined Chemical And Oil Tanker - TCO,20,24,763065.219829434000000000000000,111570625.412504000000000000000000,20,0.006839302164061510000000
Combined Chemical And Oil Tanker - TCO,25,29,118381.812175475000000000000000,9654252.629526000000000000000000,4,0.012262141536821100000000
Combined Chemical And Oil Tanker - TCO,5,8,575757.102970260000000000000000,371170234,9,0.001551194169762710000000
