vessel_type,age_lower_bound,age_upper_bound,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Offshore Safety - OOS,2,4,163217.233920000000000000000000,46290750,6,0.003525914657247940000000
Offshore Safety - OOS,5,8,190944.290484000000000000000000,33747000,5,0.005658111550182240000000
Offshore Safety - OOS,9,14,27916.364484000000000000000000,5043000,2,0.005535666167757290000000
Passenger (Cruise) - MPR,0,1,3319851.339652750000000000000000,2381655212,5,0.001393926090949540000000
Passenger (Cruise) - MPR,15,19,9387087.238470000000000000000000,6569038472,32,0.001428989536060980000000
Passenger (Cruise) - MPR,2,4,6381616.712901750000000000000000,4696060251,8,0.001358929905454860000000
Passenger (Cruise) - MPR,20,24,3948622.674045000000000000000000,2712904469,17,0.001455496394792150000000
Passenger (Cruise) - MPR,25,29,1691148.104794000000000000000000,746346388,15,0.002265902444206640000000
Passenger (Cruise) - MPR,30,999,316089.500258500000000000000000,207785939,6,0.001521226613214190000000
Passenger (Cruise) - MPR,35,39,131551.257600000000000000000000,23040000,1,0.005709690000000000000000
Passenger (Cruise) - MPR,5,8,6526781.063415750000000000000000,5021101984,9,0.001299870244463000000000
Passenger (Cruise) - MPR,9,14,12131358.601846200000000000000000,8055940520,22,0.001505889792970600000000
Passenger Ro/Ro - PRR,0,1,1049438.085453090000000000000000,1302889747.503610000000000000000000,6,0.000805469601295010000000
Passenger Ro/Ro - PRR,15,19,1394091.811668390000000000000000,459067623.773095000000000000000000,14,0.003036789656849020000000
Passenger Ro/Ro - PRR,2,4,2921097.691196050000000000000000,4483595047.554460000000000000000000,9,0.000651507921704334000000
Passenger Ro/Ro - PRR,20,24,457155.850277278000000000000000,42636516.118295000000000000000000,9,0.010722167097539100000000
Passenger Ro/Ro - PRR,25,29,1171647.260847370000000000000000,284598507.785726000000000000000000,10,0.004116842600346670000000
Passenger Ro/Ro - PRR,30,999,852901.296856108000000000000000,254806199.494504000000000000000000,8,0.003347254888413750000000
Passenger Ro/Ro - PRR,35,39,67728.916469996500000000000000,8525347.184443000000000000000000,3,0.007944417394940560000000
Passenger Ro/Ro - PRR,40,44,1001280.036307250000000000000000,119747816.418724000000000000000000,10,0.008361572396494140000000
Passenger Ro/Ro - PRR,45,49,826772.687824119000000000000000,159723903.981679000000000000000000,6,0.005176261456262380000000
Passenger Ro/Ro - PRR,5,8,1195939.272282310000000000000000,179086685.797088000000000000000000,11,0.006677990979392820000000
Passenger Ro/Ro - PRR,50,999,98217.281250000000000000000000,2995000,1,0.032793750000000000000000
Passenger Ro/Ro - PRR,9,14,849778.810152962000000000000000,124658213.526777000000000000000000,9,0.006816869792301540000000
Passenger Vessel (Unspecified) - PZZ,15,19,10116.188150727600000000000000,1646113.115406000000000000000000,2,0.006145500000000000000000
Passenger Vessel (Unspecified) - PZZ,2,4,14440.500000000000000000000000,312500,2,0.046209600000000000000000
Passenger Vessel (Unspecified) - PZZ,20,24,4893.592221787500000000000000,692307,3,0.007068529166666670000000
Passenger Vessel (Unspecified) - PZZ,25,29,2632.500000000000000000000000,1500000,1,0.001755000000000000000000
Passenger Vessel (Unspecified) - PZZ,30,999,2632.500000000000000000000000,1500000,1,0.001755000000000000000000
Passenger Vessel (Unspecified) - PZZ,35,39,10523.250000000000000000000000,187500,1,0.056124000000000000000000
Passenger Vessel (Unspecified) - PZZ,45,49,7015.500000000000000000000000,125000,1,0.056124000000000000000000
Passenger Vessel (Unspecified) - PZZ,5,8,1793.960000000000000000000000,64070,1,0.028000000000000000000000
Passenger Vessel (Unspecified) - PZZ,9,14,4933.284400000000000000000000,704000,2,0.007007506250000000000000
Patrol Ship - OPA,15,19,226848.855462916000000000000000,65771391.366879000000000000000000,12,0.003449050578807610000000
Patrol Ship - OPA,5,8,71034.598500000000000000000000,16790000,4,0.004230768225134010000000
Patrol Ship - OPA,9,14,9633.015312500000000000000000,5190625,5,0.001855848826008430000000
Pilot Ship - OPI,15,19,5072.220000000000000000000000,1240000,2,0.004090500000000000000000
Pilot Ship - OPI,2,4,469907.727760300000000000000000,496634053,9,0.000946185073137343000000
Pilot Ship - OPI,20,24,10144.440000000000000000000000,2480000,4,0.004090500000000000000000
Pilot Ship - OPI,25,29,5534.390144980000000000000000,1549312.800000000000000000000000,4,0.003572158020626950000000
Pilot Ship - OPI,30,999,7521.079812275000000000000000,598957,2,0.012556961204685800000000
Pilot Ship - OPI,35,39,387.574313400000000000000000,8478,1,0.045715300000000000000000
Pilot Ship - OPI,45,49,1381.013497700000000000000000,30209,1,0.045715300000000000000000
Pilot Ship - OPI,5,8,274746.426612600000000000000000,212524587,13,0.001292774781924880000000
Pilot Ship - OPI,9,14,7179.840000000000000000000000,3840000,3,0.001869750000000000000000
Pipe Carrier - OPP,25,29,20612.605400000000000000000000,4400000,2,0.004684683045454550000000
Pipe Carrier - OPP,5,8,488896,800000000,1,0.000611120000000000000000
Pipe Carrier - OPP,9,14,298227.600000000000000000000000,255000000,1,0.001169520000000000000000
Pipe Layer - OPL,2,4,477678.454372000000000000000000,261241800,3,0.001828491666999690000000
Pipe Layer - OPL,20,24,184644.800000000000000000000000,12000000,3,0.015387066666666700000000
Pipe Layer - OPL,35,39,878.750000000000000000000000,100000,1,0.008787500000000000000000
Pipe Layer - OPL,5,8,5007456.559139750000000000000000,2120650780.318910000000000000000000,8,0.002361282963518740000000
Pipe Layer - OPL,50,999,684751.387500000000000000000000,22500000,2,0.030433395000000000000000
Pipe Layer - OPL,9,14,1089003.589278720000000000000000,153536384,6,0.007092804720988610000000
Pontoon - OPO,0,1,21011.031065399200000000000000,22489429.967915000000000000000000,1,0.000934262500000000000000
Pontoon - OPO,15,19,5123034.296706480000000000000000,1192198131.772790000000000000000000,13,0.004297133303747570000000
Pontoon - OPO,2,4,92627.021392990600000000000000,51336517.487821000000000000000000,3,0.001804310575117710000000
Pontoon - OPO,20,24,1451989.360729610000000000000000,346532361.789960000000000000000000,6,0.004190054150295170000000
Pontoon - OPO,25,29,523656.784227223000000000000000,117332433.784321000000000000000000,7,0.004463018172705790000000
Pontoon - OPO,35,39,1987725.819750000000000000000000,470500000,5,0.004224709500000000000000
Pontoon - OPO,40,44,54142.306398415900000000000000,55389654.362451000000000000000000,8,0.000977480488398197000000
Pontoon - OPO,45,49,1617.788389456900000000000000,1574260.097754000000000000000000,2,0.001027650000000000000000
Pontoon - OPO,5,8,427287.698003744000000000000000,71481101.984148000000000000000000,24,0.005977631655685750000000
Pontoon - OPO,9,14,2710589.027138660000000000000000,621333637.750731000000000000000000,26,0.004362533850494840000000
Product Tanker - TPD,0,1,1399482.198809200000000000000000,1214449820,33,0.001152359015384600000000
Product Tanker - TPD,15,19,2328962.296789200000000000000000,485152431.820000000000000000000000,53,0.004800475364108420000000
Product Tanker - TPD,2,4,2033000.509884610000000000000000,1679941302,39,0.001210161633304860000000
Product Tanker - TPD,20,24,1051515.408700000000000000000000,264472000,24,0.003975904476466320000000
Product Tanker - TPD,25,29,813542.994728040000000000000000,89828715.402129000000000000000000,35,0.009056602792170830000000
Product Tanker - TPD,30,999,169589.642595235000000000000000,14999624.502129000000000000000000,8,0.011306259204766400000000
Product Tanker - TPD,35,39,135763.458000000000000000000000,7250000,4,0.018725994206896600000000
Product Tanker - TPD,40,44,42442.041600000000000000000000,2400000,2,0.017684184000000000000000
Product Tanker - TPD,45,49,93652.491100000000000000000000,3300000,4,0.028379542757575800000000
Product Tanker - TPD,5,8,1661980.774290130000000000000000,982777914,39,0.001691105132313880000000
Product Tanker - TPD,9,14,4822848.154785680000000000000000,1234347641,98,0.003907204092745280000000
Pusher Tug - XPT,0,1,38120.625000000000000000000000,7530000,1,0.005062500000000000000000
Pusher Tug - XPT,15,19,504433.382460000000000000000000,282400000,6,0.001786237190014160000000
Pusher Tug - XPT,2,4,361368,189000000,3,0.001912000000000000000000
Pusher Tug - XPT,9,14,952396.200000000000000000000000,499800000,8,0.001905554621848740000000
Reefer - GRF,20,24,282336.962477074000000000000000,31611897.298728000000000000000000,3,0.008931351377268780000000
Reefer - GRF,25,29,294077.178000000000000000000000,18000000,3,0.016337621000000000000000
Reefer - GRF,30,999,201433.020670148000000000000000,11609386.885108000000000000000000,2,0.017350875000000000000000
Reefer - GRF,35,39,100716.510335074000000000000000,5804693.442554000000000000000000,1,0.017350875000000000000000
Repair Barge - ORX,15,19,36161.590974282500000000000000,9270651.762566000000000000000000,1,0.003900652500000000000000
Repair Barge - ORX,9,14,30795.553657867200000000000000,8510644.306750000000000000000000,1,0.003618475000000000000000
Repair Ship - ORP,2,4,51946.237284164200000000000000,12158063.295358000000000000000000,1,0.004272575000000000000000
Repair Ship - ORP,5,8,169372.839360890000000000000000,37362109.769943000000000000000000,3,0.004533278243755570000000
Repair Ship - ORP,9,14,52237.675372511400000000000000,15335709.403931000000000000000000,2,0.003406277075067770000000
Research - RRE,0,1,220000,176000000,1,0.001250000000000000000000
Research - RRE,15,19,546799.435624824000000000000000,234927299.152934000000000000000000,8,0.002327526164887570000000
Research - RRE,2,4,790467.524510019000000000000000,523080784.608740000000000000000000,6,0.001511176758483460000000
Research - RRE,20,24,894046.554380845000000000000000,506813210.459593000000000000000000,18,0.001764055348064230000000
Research - RRE,25,29,271575.656787214000000000000000,138114410.498600000000000000000000,6,0.001966309350391550000000
Research - RRE,30,999,205189.244465158000000000000000,88715870.936230000000000000000000,6,0.002312880911834260000000
Research - RRE,35,39,240556.632325957000000000000000,92664784.042394000000000000000000,10,0.002595987621531640000000
Research - RRE,5,8,1499299.389758140000000000000000,878678925.657075000000000000000000,14,0.001706310855967060000000
Research - RRE,9,14,389267.827367461000000000000000,232532175.871726000000000000000000,4,0.001674038553624500000000
Research/Buoy Ship - RRB,9,14,463.845690000000000000000000,102564,2,0.004522500000000000000000
Ro/Ro Pontoon - ORN,0,1,418444.976053870000000000000000,120125815.986218000000000000000000,2,0.003483389250000000000000
Roll On Roll Off - URR,15,19,748202.358093624000000000000000,489933334,5,0.001527151361563870000000
Roll On Roll Off - URR,20,24,49648.386664080000000000000000,5244081.871800000000000000000000,2,0.009467507921846860000000
Roll On Roll Off With Container Capacity - URC,0,1,590304,344000000,2,0.001716000000000000000000
Roll On Roll Off With Container Capacity - URC,2,4,714419.200000000000000000000000,344000000,2,0.002076800000000000000000
Roll On Roll Off With Container Capacity - URC,9,14,11119.200000000000000000000000,2400000,2,0.004633000000000000000000
Salvage - OSV,2,4,79666.125000000000000000000000,35000000,1,0.002276175000000000000000
Salvage - OSV,5,8,679641.677820000000000000000000,372331000,14,0.001825369571214860000000
Salvage - OSV,9,14,138526.418742000000000000000000,31878000,4,0.004345517872576700000000
Salvage Tug - XST,50,999,7895.625000000000000000000000,500000,2,0.015791250000000000000000
Sand Suction Dredger - DSS,20,24,1961.599724361240000000000000,610021.294262000000000000000000,1,0.003215625000000000000000
Sand Suction Dredger - DSS,25,29,2633.629259559370000000000000,819010.071000000000000000000000,1,0.003215625000000000000000
Sand Suction Dredger - DSS,30,999,3995.851290362400000000000000,621317.984896000000000000000000,1,0.006431250000000000000000
Seismographic Research - RSR,15,19,84240,16000000,1,0.005265000000000000000000
Seismographic Research - RSR,2,4,710305.600000000000000000000000,491200000,3,0.001446061889250810000000
Seismographic Research - RSR,20,24,1462071.520000000000000000000000,634400000,6,0.002304652459016390000000
Seismographic Research - RSR,25,29,69888,104000000,1,0.000672000000000000000000
Seismographic Research - RSR,5,8,794545.600000000000000000000000,507200000,4,0.001566533123028390000000
Seismographic Research - RSR,9,14,625571.200000000000000000000000,454400000,4,0.001376697183098590000000
Semi-Sub Hl Vessel - OHL,0,1,117123.030000000000000000000000,64600000,1,0.001813050000000000000000
Semi-Sub Hl Vessel - OHL,15,19,151671,8000000,2,0.018958875000000000000000
Semi-Sub Hl Vessel - OHL,2,4,277503.750000000000000000000000,60000000,4,0.004625062500000000000000
Semi-Sub Hl Vessel - OHL,5,8,182059.162500000000000000000000,98600000,2,0.001846441810344830000000
Semi-Sub Hl Vessel - OHL,9,14,270562.797750000000000000000000,47145000,3,0.005738950000000000000000
Semi-Sub Pontoon - OSP,2,4,936596.316808240000000000000000,201053562,3,0.004658441797754570000000
Semi-Sub Pontoon - OSP,5,8,725826.415920216000000000000000,182526781,2,0.003976547506857180000000
Sludge Carrier - OSC,15,19,83321.361537141100000000000000,2306743.460990000000000000000000,2,0.036120775000000000000000
Sludge Carrier - OSC,20,24,46294.899547406200000000000000,1153371.730495000000000000000000,1,0.040138750000000000000000
Standby Safety Vessel - OSZ,2,4,8378.287680000000000000000000,2890500,1,0.002898560000000000000000
Standby Safety Vessel - OSZ,20,24,35170.800000000000000000000000,1600000,1,0.021981750000000000000000
Standby Safety Vessel - OSZ,25,29,56183.047500000000000000000000,1900000,2,0.029570025000000000000000
Standby Safety Vessel - OSZ,35,39,37174.200000000000000000000000,1000000,2,0.037174200000000000000000
Standby Safety Vessel - OSZ,5,8,275624.155500000000000000000000,61384750,11,0.004490107974700560000000
Standby Safety Vessel - OSZ,9,14,84217.530000000000000000000000,12200000,4,0.006903076229508200000000
Storage Barge - OSB,20,24,6314.650000000000000000000000,1000000,2,0.006314650000000000000000
Storage Barge - OSB,25,29,55306.206399600000000000000000,4865596,9,0.011366789679948800000000
Storage Barge - OSB,5,8,17888.713856124000000000000000,8664661.650000000000000000000000,3,0.002064560000000000000000
Storage Barge - OSB,9,14,108960.928524369000000000000000,34400535.463136000000000000000000,4,0.003167419549068740000000
Submarine - OSM,5,8,36156,15000000,1,0.002410400000000000000000
Submarine - OSM,9,14,75927.056972190000000000000000,30000000,2,0.002530901899073000000000
Suction Dredger - DSD,2,4,122564.347881496000000000000000,131188341.479505000000000000000000,1,0.000934262500000000000000
Suction Dredger - DSD,35,39,179385.882294662000000000000000,5268323.919388000000000000000000,2,0.034049896141446900000000
Suction Dredger - DSD,45,49,291.819875908491000000000000,312353.193999000000000000000000,2,0.000934262500000000000000
Suction Dredger - DSD,5,8,237767.717922577000000000000000,236139014.663109000000000000000000,3,0.001006897222222220000000
Suction Dredger - DSD,9,14,220611.468859635000000000000000,224894299.679150000000000000000000,2,0.000980956250000000000000
Supply - OSY,0,1,566332.408499290000000000000000,402825000,15,0.001405901839506710000000
Supply - OSY,15,19,3587537.639204810000000000000000,1530276314,112,0.002344372455081210000000
Supply - OSY,2,4,4778588.451821100000000000000000,2558764918,135,0.001867537114568610000000
Supply - OSY,20,24,3308069.398298010000000000000000,1388477500,143,0.002382515667915410000000
Supply - OSY,25,29,249811.866346633000000000000000,101935837,21,0.002450677540879290000000
Supply - OSY,30,999,115665.671272300000000000000000,7240000,7,0.015975921446450300000000
Supply - OSY,35,39,608383.325056412000000000000000,130492726.314763000000000000000000,27,0.004662201045512100000000
Supply - OSY,40,44,368967.603280672000000000000000,24818750,10,0.014866486155856800000000
Supply - OSY,45,49,20567.768750000000000000000000,850000,2,0.024197375000000000000000
Supply - OSY,5,8,15414942.630375300000000000000000,6050739319.296310000000000000000000,380,0.002547613079482000000000
Supply - OSY,50,999,48384.123977025000000000000000,2010235,8,0.024068889446768700000000
Supply - OSY,9,14,10940066.724446000000000000000000,4133447336.544210000000000000000000,332,0.002646717336331790000000
Support - OSU,0,1,592881.234450000000000000000000,175750675,6,0.003373422232659990000000
Support - OSU,15,19,409856.968470794000000000000000,78340082.593965000000000000000000,16,0.005231765845781330000000
Support - OSU,2,4,2211939.949780840000000000000000,757529154.597446000000000000000000,62,0.002919940356561290000000
Support - OSU,20,24,582143.734800375000000000000000,109157860.740000000000000000000000,11,0.005333044554500450000000
Support - OSU,25,29,96208.034032471200000000000000,23386522.206170000000000000000000,12,0.004113823901832180000000
Support - OSU,30,999,585.998400000000000000000000,100000,1,0.005859984000000000000000
Support - OSU,35,39,315825.187143367000000000000000,24615671.578691000000000000000000,6,0.012830248654144700000000
Support - OSU,40,44,19500,1000000,1,0.019500000000000000000000
Support - OSU,45,49,1139.743750000000000000000000,50000,1,0.022794875000000000000000
Support - OSU,5,8,4381709.688289240000000000000000,1726548859.840060000000000000000000,105,0.002537842855310300000000
Support - OSU,9,14,3040591.629317650000000000000000,914554853.248471000000000000000000,123,0.003324668409464520000000
Tank Barge - OTB,15,19,31631.157780000000000000000000,15550000,5,0.002034158056591640000000
Tank Barge - OTB,5,8,1035272.655000000000000000000000,434550000,6,0.002382401691404900000000
Tank Barge - OTB,50,999,2020.650000000000000000000000,1350000,3,0.001496777777777780000000
Tank Barge - OTB,9,14,447909.671524000000000000000000,156572125,8,0.002860724228683750000000
Tanker (Unspecified) - TTA,0,1,30931.797160000000000000000000,7693520,1,0.004020500000000000000000
Tanker (Unspecified) - TTA,15,19,282987.291873871000000000000000,60252068.824876000000000000000000,8,0.004696723239435650000000
Tanker (Unspecified) - TTA,2,4,312695.004204000000000000000000,74755120,11,0.004182924249255440000000
Tanker (Unspecified) - TTA,20,24,1140392.266240500000000000000000,165918480,14,0.006873208254080560000000
Tanker (Unspecified) - TTA,25,29,16754.081400000000000000000000,3456000,2,0.004847824479166670000000
Tanker (Unspecified) - TTA,5,8,244979.830793956000000000000000,50285237.126387000000000000000000,6,0.004871804227117860000000
Tanker (Unspecified) - TTA,9,14,1316505.845262540000000000000000,229061064.411150000000000000000000,24,0.005747401238385470000000
Tanker With Ro/Ro For Road Tankers. - TRR,9,14,17656.613915976000000000000000,12004528,1,0.001470829500000000000000
Tender - OTN,2,4,8358.722400000000000000000000,2883750,1,0.002898560000000000000000
Tender - OTN,5,8,70289.781888000000000000000000,14081250,5,0.004991728851344870000000
Training - OTR,0,1,97907.132060075500000000000000,38914666.990725000000000000000000,3,0.002515944234686910000000
Training - OTR,15,19,18630.204407070900000000000000,712565.821047000000000000000000,1,0.026145240000000000000000
Trawler (All Types) - FTR,0,1,115931.471250000000000000000000,57500000,1,0.002016199500000000000000
Trawler (All Types) - FTR,20,24,287180.812500004000000000000000,53000000.000001000000000000000000,3,0.005418505896226380000000
Trawler (All Types) - FTR,25,29,253819.649999986000000000000000,38899999.999998000000000000000000,4,0.006524926735218480000000
Trawler (All Types) - FTR,30,999,1745199.605000000000000000000000,97700000,7,0.017862841402251800000000
Trawler (All Types) - FTR,35,39,1552309.260550000000000000000000,129040700,8,0.012029609732045800000000
Trawler (All Types) - FTR,40,44,1352887.500000000000000000000000,16650000,3,0.081254504504504500000000
Trawler (All Types) - FTR,45,49,416732.437500000000000000000000,6650000,2,0.062666531954887200000000
Tug - XTG,0,1,586314.072837241000000000000000,225181361.556139000000000000000000,44,0.002603741574282420000000
Tug - XTG,15,19,1353442.783893380000000000000000,505546168.600569000000000000000000,156,0.002677189281524810000000
Tug - XTG,2,4,2508586.493489230000000000000000,993069683.834922000000000000000000,161,0.002526093117455630000000
Tug - XTG,20,24,1105542.641387490000000000000000,305527409.470833000000000000000000,161,0.003618472867302680000000
Tug - XTG,25,29,735013.708513170000000000000000,166345140.620962000000000000000000,120,0.004418606433403360000000
Tug - XTG,30,999,771166.985918645000000000000000,168004618.090992000000000000000000,116,0.004590153501024460000000
Tug - XTG,35,39,588733.890439479000000000000000,200086698.778865000000000000000000,83,0.002942393942388670000000
Tug - XTG,40,44,240531.611961695000000000000000,108806114.068260000000000000000000,54,0.002210644264078730000000
Tug - XTG,45,49,251371.800136821000000000000000,45859767.328332000000000000000000,47,0.005481314336750350000000
Tug - XTG,5,8,4205803.881897820000000000000000,1454640174.232110000000000000000000,424,0.002891301887848670000000
Tug - XTG,50,999,314463.195316975000000000000000,22118694.820268000000000000000000,26,0.014217077357965200000000
Tug - XTG,9,14,4322954.754143440000000000000000,1394857792.758340000000000000000000,546,0.003099208232256260000000
Tug/Icebreaker - XTI,9,14,68356.600000000000000000000000,26000000,2,0.002629100000000000000000
Tug/Pilot Ship - XTP,0,1,5944.294593006000000000000000,403087.740000000000000000000000,3,0.014746900000000000000000
Tug/Pilot Ship - XTP,2,4,77997.302920712500000000000000,39221056.250000000000000000000000,17,0.001988658908713420000000
Tug/Pilot Ship - XTP,30,999,1911.596000000000000000000000,520000,3,0.003676146153846150000000
Tug/Pilot Ship - XTP,35,39,202.161600000000000000000000,160000,1,0.001263510000000000000000
Tug/Pilot Ship - XTP,40,44,2296.383750000000000000000000,125000,1,0.018371070000000000000000
Tug/Pilot Ship - XTP,5,8,68731.740265740000000000000000,33654044.250000000000000000000000,10,0.002042302546319970000000
Tug/Supply - XTS,15,19,199980.278483396000000000000000,88501952.181109000000000000000000,8,0.002259614319853180000000
Tug/Supply - XTS,2,4,602037.993286661000000000000000,224233535.024432000000000000000000,15,0.002684870455353900000000
Tug/Supply - XTS,20,24,5860.486500000000000000000000,330000,1,0.017759050000000000000000
Tug/Supply - XTS,5,8,2583755.274353630000000000000000,948066258.209626000000000000000000,67,0.002725289769549350000000
Tug/Supply - XTS,9,14,2404775.673213440000000000000000,543073301.885005000000000000000000,80,0.004428086714751910000000
Tug/Support - XTX,15,19,72273.709410000000000000000000,2840000,3,0.025448489228873200000000
Tug/Support - XTX,20,24,14386.197031191500000000000000,896333.977604000000000000000000,5,0.016050040934125300000000
Tug/Support - XTX,25,29,4439.762500000000000000000000,250000,1,0.017759050000000000000000
Tug/Support - XTX,35,39,3551.810000000000000000000000,200000,1,0.017759050000000000000000
Tug/Support - XTX,45,49,1945.364174093220000000000000,91055.662934000000000000000000,1,0.021364560000000000000000
Tug/Support - XTX,5,8,428444.301250000000000000000000,96168440,19,0.004455144548980930000000
Tug/Support - XTX,9,14,302227.363582225000000000000000,91680256.434628000000000000000000,21,0.003296537066273650000000
Vehicle Carrier - MVE,0,1,496703.611960000000000000000000,551920000,8,0.000899955812364111000000
Vehicle Carrier - MVE,15,19,1052337.135454780000000000000000,236237020.938687000000000000000000,11,0.004454581806328760000000
Vehicle Carrier - MVE,2,4,1409675.925217500000000000000000,1377760000,22,0.001023165083336360000000
Vehicle Carrier - MVE,20,24,383711.707000000000000000000000,192240000,8,0.001996003469621310000000
Vehicle Carrier - MVE,30,999,95827.758529408800000000000000,9751884.203340000000000000000000,2,0.009826589050000000000000
Vehicle Carrier - MVE,5,8,1890970.793731080000000000000000,1635322694.584920000000000000000000,36,0.001156328839557290000000
Vehicle Carrier - MVE,9,14,1975716.817934990000000000000000,1220439946.921890000000000000000000,36,0.001618856235342020000000
Vessel Type (Unspecified) - ZZZ,2,4,1530334.786409700000000000000000,1065145454.550000000000000000000000,3,0.001436737846340650000000
Vessel Type (Unspecified) - ZZZ,5,8,2627.120622400000000000000000,73915.040000000000000000000000,2,0.035542436592065700000000
Vessel Type (Unspecified) - ZZZ,9,14,146707.096894718000000000000000,6547483.113198000000000000000000,7,0.022406639980330100000000
Wood-Chip Carrier - BWC,2,4,94797.750000000000000000000000,60000000,2,0.001579962500000000000000
Work Ship - OWO,0,1,21666.691926607700000000000000,7863651,7,0.002755296735143480000000
Work Ship - OWO,15,19,1227.164550000000000000000000,500000,1,0.002454329100000000000000
Work Ship - OWO,2,4,124691.618344109000000000000000,37795063.226120000000000000000000,11,0.003299150939319900000000
Work Ship - OWO,20,24,36119.996636546600000000000000,3564775.283292000000000000000000,8,0.010132475055535700000000
Work Ship - OWO,25,29,11902.121017224000000000000000,1054452,5,0.011287494373593100000000
Work Ship - OWO,30,999,5343.868048000000000000000000,466000,1,0.011467528000000000000000
Work Ship - OWO,35,39,1224.143777553320000000000000,322950.475545000000000000000000,1,0.003790500000000000000000
Work Ship - OWO,40,44,5353.307820249020000000000000,2551308.756802000000000000000000,3,0.002098259493672280000000
Work Ship - OWO,45,49,7664.566733275040000000000000,1554814.283292000000000000000000,3,0.004929570570349340000000
Work Ship - OWO,5,8,658396.873428142000000000000000,110342431.987199000000000000000000,18,0.005966851206474440000000
Work Ship - OWO,9,14,44613.604625949500000000000000,7859131.888407000000000000000000,11,0.005676658091431060000000
Yacht - OYT,0,1,3555217.492790570000000000000000,1258360262.465000000000000000000000,9,0.002825277942126260000000
Yacht - OYT,2,4,699123.561841166000000000000000,258675157.771555000000000000000000,6,0.002702708554868600000000
Yacht - OYT,20,24,187735.888700564000000000000000,75293030.097521000000000000000000,5,0.002493403286564570000000
Yacht - OYT,30,999,81328.866221114900000000000000,7626735.922214000000000000000000,3,0.010663653108039600000000
Yacht - OYT,35,39,4827.862500000000000000000000,750000,1,0.006437150000000000000000
Yacht - OYT,5,8,4538575.015626570000000000000000,1599958591.603750000000000000000000,9,0.002836682798819960000000
Yacht - OYT,50,999,66207.369360000000000000000000,17515680,5,0.003779891466388970000000
Yacht - OYT,9,14,5213698.738597850000000000000000,2172999160.701550000000000000000000,12,0.002399310056297770000000
