vessel_type,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Anchor Handling Fire Fighting Tug - XAG,131806.665579200000000000000000,25000000,4,0.005272266623168000000000
Anchor Handling Salvage Tug - XAA,94810.905000000000000000000000,2250000,2,0.042138180000000000000000
Anchor Handling Tug - XAT,5264546.920095040000000000000000,1284765733.795240000000000000000000,177,0.004097670712732510000000
Anchor Handling Tug/Supply - XAH,15707119.462036000000000000000000,3896547056.849950000000000000000000,335,0.004031035486771180000000
Asphalt Tanker - TAS,2728215.553902640000000000000000,494839334,40,0.005513336079913650000000
Barge - OBA,67752837.384725100000000000000000,12196274226.228300000000000000000000,2001,0.005555207773126460000000
Bulk Carrier - BBU,108883167.040968000000000000000000,38236950161.142100000000000000000000,2073,0.002847590264968850000000
Bulk Carrier With Container Capacity - BCB,35327.812500000000000000000000,5625000,1,0.006280500000000000000000
Bulk Cement Carrier - BCE,1325735.901646800000000000000000,342061927,23,0.003875718976601570000000
Bulk Ore Carrier - BOR,1518708.208425100000000000000000,1301364869,31,0.001167011838572310000000
Bunkering Tanker - TBK,616329.831552000000000000000000,150788000,38,0.004087393105233840000000
Buoy Ship/Supply - OBS,32550,6000000,1,0.005425000000000000000000
Chemical Tanker - TCH,6467813.005351640000000000000000,1732620825.412500000000000000000000,138,0.003732965061072600000000
Combined Bulk And Oil Carrier - CBO,402002.400000000000000000000000,60000000,2,0.006700040000000000000000
Combined Chemical And Oil Tanker - TCO,9735564.542260790000000000000000,4666290750.977430000000000000000000,210,0.002086360465262810000000
Combined Lng And Lpg Gas Carrier - LNP,148812.783125000000000000000000,40575600,3,0.003667543625356130000000
Crane Barge - OCX,4793544.859063290000000000000000,1111518244.632150000000000000000000,94,0.004312610145818780000000
Crane Ship - OCS,26359559.606735000000000000000000,12750965600,23,0.002067259879262400000000
Crude Oil Tanker - TCR,27979090.899709900000000000000000,19483226091.037800000000000000000000,531,0.001436060474224040000000
Cutter Suction Dredger - DCS,426259.198725742000000000000000,49423021.525845000000000000000000,3,0.008624709408000000000000
Depot Ship - ODE,30550.951965702000000000000000,2351148.272613000000000000000000,6,0.012994055849888400000000
Diving Support - ODS,3158785.893620810000000000000000,980014470.416791000000000000000000,28,0.003223203318903460000000
Dredger - DDR,1152245.268812910000000000000000,121097101.487181000000000000000000,19,0.009515052422083620000000
Ferry - OFY,2944064.491796000000000000000000,109116679,13,0.026980884304552600000000
Fire Fighting Tug - XFF,285114.620863800000000000000000,75562846,17,0.003773211782729830000000
Fire Fighting Tug/Supply - XFS,188936.011524000000000000000000,40859250,9,0.004624069495255050000000
Fishery Protection - FFP,691000.167000000000000000000000,132000000,3,0.005234849750000000000000
Fishing (General) - FFS,11332826.921871500000000000000000,1348890590.487710000000000000000000,114,0.008401590908699250000000
Floating Crane - OFL,1112791.868979090000000000000000,280939176.873559000000000000000000,21,0.003960970774396180000000
Floating Gas Production - LFP,362205.553312500000000000000000,143775000,2,0.002519252674752220000000
Floating Gas Storage - LFS,664344.370376900000000000000000,295653587,6,0.002247036395255710000000
Floating Production Tanker - TFP,114694.650000000000000000000000,30000000,1,0.003823155000000000000000
Floating Storage Tanker - TFS,1228706.021163900000000000000000,367599379.450000000000000000000000,20,0.003342513861155820000000
Fully Cellular Containership - UCC,49142771.600030600000000000000000,18237798653.488700000000000000000000,645,0.002694556099325630000000
General Cargo - GGC,10728331.475918000000000000000000,1981110752.349300000000000000000000,239,0.005415311316238020000000
General Cargo With Container Capacity - GPC,5853428.142274090000000000000000,950577263.069659000000000000000000,76,0.006157761572554200000000
Grab Dredger - DGD,42501.144686250000000000000000,3670000,2,0.011580693375000000000000
Hopper Barge - OHB,61101.402210000000000000000000,22900000,8,0.002668183502620090000000
Hopper Dredger - DHD,1648950.252172100000000000000000,397810980.283231000000000000000000,20,0.004145059673813150000000
Hospital Ship - OHS,466952.362397325000000000000000,85606263,4,0.005454651868138730000000
Hydrofoil - OHF,30108.750000000000000000000000,4000000,1,0.007527187500000000000000
Icebreaker - OIB,272228.064392655000000000000000,332212467.812822000000000000000000,7,0.000819439638087384000000
Landing Craft - OLC,298600.579221590000000000000000,47565456.539125000000000000000000,44,0.006277677141098720000000
Liquid Natural Gas Carrier - LNG,15132066.076767600000000000000000,21635423201.690000000000000000000000,190,0.000699411605481588000000
Liquid Petroleum Gas Carrier - LPG,15564126.054111400000000000000000,9500141305.563030000000000000000000,279,0.001638304689741560000000
Livestock - MLV,6536393.055900000000000000000000,727320000,35,0.008986956299703020000000
