date_built_band,parameter,lower_band
a. pre 1995,1.226374136,0
b. 1995-2000,1.114885578,1996
c. 2000-2005,1.114885578,2001
d. 2005-2010,1.029505111,2006
e. 2010-2015,1,2011
f. post 2015,0.86545232,2016
