vessel_type,parameter
BARGE,0.297072663
BULK_CARRIERS,1
CABLE_LAYER,1.21799301
CEMENT_CARRIER,1.21799301
CHEMICAL_TANKER,1.183852411
CONTAINER_SHIP_FULLY_CELLULAR,1.653218479
CRANE_VESSEL,1.21799301
DREDGER,1.21799301
FISH_CARRIER,1.21799301
FISH_FACTORY_SHIP,1.21799301
FISHING_VESSEL,1.21799301
FLOATING_PRODUCTION,1.21799301
FRUIT_JUICE_CARRIER_REFRIGERATED,1.21799301
GENERAL_CARGO,1.21799301
HOSPITAL_VESSEL,1.21799301
ICEBREAKER,1.21799301
JACKUP_BARGE,1.21799301
LANDING_CRAFT,1.21799301
LIVESTOCK_CARRIER,1.21799301
LNG_TANKER,1.183852411
LPG_TANKER,1.183852411
MISCELLANEOUS,1.21799301
PASSENGER_CRUISE,1.183852411
PASSENGER_RO_RO_SHIP_VEHICLES,1.21799301
PASSENGER_SHIP,1.21799301
PATROL_VESSEL,1.21799301
PILOT_VESSEL,1.21799301
PIPE_LAYER,1.21799301
REFRIGERATED_CARGO_SHIP,1.21799301
RESEARCH_SURVEY_VESSEL,1.21799301
RO_RO_CARGO_SHIP,1.21799301
SEMI_SUBMERSIBLE,1.21799301
SUPPLY,0.755464226
SUPPORT,1.21799301
TANKER,1
TUG,0.716225932
VEHICLES_CARRIER,1.21799301
YACHT,1.21799301
