vessel_type,age_lower_bound,age_upper_bound,dwt_lower_bound,dwt_upper_bound,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Floating Gas Storage - LFS,45,49,2501,5000,9102.8458125000,450000,1,0.020228546250
Floating Production Tanker - TFP,20,24,5001,7500,114694.650000,30000000,1,0.003823155000
Floating Storage Tanker - TFS,15,19,50001,999999999,292928.2483699770,105562858,5,0.002774917749668890000000
Floating Storage Tanker - TFS,20,24,50001,999999999,688343.2384435030,190971426,11,0.003604430531107330000000
Floating Storage Tanker - TFS,25,29,50001,999999999,120336.6718294620,26750178,2,0.004498537237003130000000
Floating Storage Tanker - TFS,30,999,50001,999999999,40866.6125209590,18764917.450000,1,0.002177820
Floating Storage Tanker - TFS,9,14,50001,999999999,86231.250000,25550000,1,0.003375000
Fully Cellular Containership - UCC,0,1,20001,25000,89140.806000,39360000,2,0.002264756250
Fully Cellular Containership - UCC,0,1,2501,5000,47934.207000,19680000,2,0.002435681250
Fully Cellular Containership - UCC,0,1,35001,50000,532086.950000,389800000,6,0.001365025525910720000000
Fully Cellular Containership - UCC,0,1,50001,999999999,501540.525000,169200000,4,0.002964187500
Fully Cellular Containership - UCC,15,19,10001,15000,1267471.6035521800,171094862.072414,16,0.007408005057543690000000
Fully Cellular Containership - UCC,15,19,15001,20000,66044.775900,23250700,2,0.002840550000645140000000
Fully Cellular Containership - UCC,15,19,20001,25000,730979.258000,125568000,13,0.005821381705530070000000
Fully Cellular Containership - UCC,15,19,25001,35000,707980.8640369860,137969674,13,0.005131423765174560000000
Fully Cellular Containership - UCC,15,19,35001,50000,524414.750000,50200000,4,0.010446508964143400000000
Fully Cellular Containership - UCC,15,19,50001,999999999,1452491.4710925000,407511440,21,0.003564296185384390000000
Fully Cellular Containership - UCC,15,19,7501,10000,1178369.968467,166638244,13,0.007071425743462590000000
Fully Cellular Containership - UCC,2,4,25001,35000,340401.510000,300000000,2,0.001134671700
Fully Cellular Containership - UCC,2,4,2501,5000,9522.720000,1600000,1,0.005951700
Fully Cellular Containership - UCC,2,4,35001,50000,273052.6867308380,236666666,2,0.001153743750
Fully Cellular Containership - UCC,2,4,50001,999999999,432328.500000,186000000,5,0.002324346774193550000000
Fully Cellular Containership - UCC,2,4,5001,7500,27875.1541533360,12444265.247025,1,0.002240000
Fully Cellular Containership - UCC,20,24,10001,15000,147122.053500,41719000,2,0.003526500
Fully Cellular Containership - UCC,20,24,20001,25000,950331.838200,114600000,23,0.008292598937172780000000
Fully Cellular Containership - UCC,20,24,25001,35000,299290.0688971870,20490416,1,0.014606344200
Fully Cellular Containership - UCC,20,24,2501,5000,665157.1362272860,47830668.282694,4,0.013906498907688300000000
Fully Cellular Containership - UCC,20,24,35001,50000,70460.611500,10250000,1,0.006874206000
Fully Cellular Containership - UCC,20,24,7501,10000,127967.294250,6000000,2,0.021327882375000000000000
Fully Cellular Containership - UCC,25,29,20001,25000,42471.682500,5000000,1,0.008494336500
Fully Cellular Containership - UCC,30,999,10001,15000,72600,24000000,1,0.003025000
Fully Cellular Containership - UCC,35,39,25001,35000,97139.430000,60000000,1,0.001618990500
Fully Cellular Containership - UCC,5,8,10001,15000,50174.437500,8250000,1,0.006081750
Fully Cellular Containership - UCC,5,8,15001,20000,575161.152570,175453080,15,0.003278147938867760000000
Fully Cellular Containership - UCC,5,8,20001,25000,107904.309100,37168600,4,0.002903103939884740000000
Fully Cellular Containership - UCC,5,8,25001,35000,489037.3066645500,181645400,8,0.002692263644796680000000
Fully Cellular Containership - UCC,5,8,2501,5000,9755.280000,1600000,1,0.006097050
Fully Cellular Containership - UCC,5,8,35001,50000,324508.927350,103018700,8,0.003150000216950900000000
Fully Cellular Containership - UCC,5,8,50001,999999999,5626497.2385675000,2885095000,44,0.001950194790316260000000
Fully Cellular Containership - UCC,5,8,5001,7500,27875.1541533360,12444265.247025,1,0.002240000
Fully Cellular Containership - UCC,5,8,7501,10000,273092.0626656030,45744166.283556,3,0.005969986663933870000000
Fully Cellular Containership - UCC,9,14,10001,15000,3575462.8988423400,532766517.072414,36,0.006711125388452970000000
Fully Cellular Containership - UCC,9,14,15001,20000,2383575.260645,700413888,61,0.003403095371868180000000
Fully Cellular Containership - UCC,9,14,20001,25000,1731998.904840,427252640,25,0.004053805038723690000000
Fully Cellular Containership - UCC,9,14,25001,35000,4157814.8631095000,1115984150,83,0.003725693472536770000000
Fully Cellular Containership - UCC,9,14,35001,50000,2734198.580525,646339825,31,0.004230280225305630000000
Fully Cellular Containership - UCC,9,14,50001,999999999,15572949.4834592000,8491418120,169,0.001833963333731030000000
Fully Cellular Containership - UCC,9,14,7501,10000,848589.8750312050,106330366.283556,12,0.007980691731731950000000
General Cargo - GGC,0,1,10001,15000,296530.952500,103800000,8,0.002856752914258190000000
General Cargo - GGC,0,1,1001,2500,81520.7939618625,7246292.796610,10,0.011250000
General Cargo - GGC,0,1,2501,5000,286109.3809846710,50751667.231829,4,0.005637438070314990000000
General Cargo - GGC,15,19,10001,15000,174901.380000,41100000,7,0.004255508029197080000000
General Cargo - GGC,15,19,1001,2500,345127.5129637200,15604360,5,0.022117377000
General Cargo - GGC,15,19,2501,5000,666793.2024637620,50622545.172696,10,0.013171862461459300000000
General Cargo - GGC,15,19,35001,50000,64858.167000,6000000,1,0.010809694500
General Cargo - GGC,15,19,5001,7500,329244.2048820290,24711018.932587,4,0.013323781013653300000000
General Cargo - GGC,15,19,7501,10000,520626.7719882380,24410378.944289,4,0.021328090529706500000000
General Cargo - GGC,2,4,0,1000,23188.1369491425,2028961.983050,3,0.011428571428571300000000
General Cargo - GGC,2,4,10001,15000,247521.2543734080,83652547.331467,4,0.002958920705577840000000
General Cargo - GGC,2,4,1001,2500,121825.4425642090,12897926.118632,13,0.009445351248230770000000
General Cargo - GGC,2,4,2501,5000,187651.5767653290,29000952.703903,3,0.006470531457405340000000
General Cargo - GGC,20,24,0,1000,97305.200000,12500000,4,0.007784416000
General Cargo - GGC,20,24,1001,2500,436552.0595625000,12950000,5,0.033710583750
General Cargo - GGC,20,24,2501,5000,49891.3064961481,2557767.766313,1,0.019505800
General Cargo - GGC,20,24,5001,7500,177364.590000,10400000,2,0.017054287500
General Cargo - GGC,20,24,7501,10000,127366.5622518530,4179378.944289,1,0.030474997350
General Cargo - GGC,25,29,1001,2500,130055.148450,5286150,2,0.024603000
General Cargo - GGC,25,29,5001,7500,10620.750000,2000000,1,0.005310375000
General Cargo - GGC,25,29,7501,10000,109312.500000,5000000,1,0.021862500
General Cargo - GGC,30,999,2501,5000,116955.8230272500,77609020,2,0.001506987500
General Cargo - GGC,30,999,5001,7500,18582.700000,2000000,1,0.009291350
General Cargo - GGC,40,44,0,1000,86041.5217705911,2626735.922214,2,0.032756060875000000000000
General Cargo - GGC,40,44,1001,2500,45316.575000,6000000,2,0.007552762500
General Cargo - GGC,5,8,0,1000,65216.6351694900,5797034.237288,8,0.011250000
General Cargo - GGC,5,8,10001,15000,763517.9081909250,252246443.994402,13,0.003026872831586360000000
General Cargo - GGC,5,8,1001,2500,139128.8216948550,12173771.898300,18,0.011428571428571300000000
General Cargo - GGC,5,8,15001,20000,381569.601465,112454523,8,0.003393101418117260000000
General Cargo - GGC,5,8,25001,35000,33127.615250,15500000,1,0.002137265500
General Cargo - GGC,5,8,2501,5000,311964.0801899850,66971837.554456,6,0.004658138279934770000000
General Cargo - GGC,5,8,50001,999999999,42279.750000,18000000,1,0.002348875000
General Cargo - GGC,5,8,5001,7500,210216.7814431480,22941573.675485,3,0.009163136950268690000000
General Cargo - GGC,9,14,0,1000,27535.9126270800,2318813.694912,4,0.011875000
General Cargo - GGC,9,14,10001,15000,1885953.0870501900,373060591.507504,36,0.005055353285720220000000
General Cargo - GGC,9,14,1001,2500,57676.275000,9000000,2,0.006408475000
General Cargo - GGC,9,14,15001,20000,101232,48000000,2,0.002109000
General Cargo - GGC,9,14,25001,35000,77889.625200,30000000,2,0.002596320840
General Cargo - GGC,9,14,2501,5000,1100411.9331606200,311519708.939076,17,0.003532399079686570000000
General Cargo - GGC,9,14,35001,50000,56739.150000,6000000,1,0.009456525000
General Cargo - GGC,9,14,5001,7500,266338.8850725000,34650000,7,0.007686547909740260000000
General Cargo - GGC,9,14,7501,10000,456269.9004495000,65540750,10,0.006961621593428520000000
General Cargo With Container Capacity - GPC,0,1,20001,25000,141206.844252,65608000,3,0.002152280884221440000000
General Cargo With Container Capacity - GPC,15,19,10001,15000,420435.941760,52500000,5,0.008008303652571430000000
General Cargo With Container Capacity - GPC,15,19,2501,5000,93895.7304534280,9563968.415444,3,0.009817653757806660000000
General Cargo With Container Capacity - GPC,15,19,35001,50000,772453.768000,147100000,8,0.005251215282121010000000
General Cargo With Container Capacity - GPC,15,19,5001,7500,156519.4534730670,8179378.944289,2,0.019135860380005000000000
General Cargo With Container Capacity - GPC,15,19,7501,10000,265748.816000,17000000,3,0.015632283294117700000000
General Cargo With Container Capacity - GPC,2,4,15001,20000,402805.804800,128660000,4,0.003130777279651800000000
General Cargo With Container Capacity - GPC,20,24,10001,15000,65845.690980,8424000,4,0.007816440049857550000000
General Cargo With Container Capacity - GPC,20,24,20001,25000,752732.632500,49000000,5,0.015361890459183700000000
General Cargo With Container Capacity - GPC,20,24,2501,5000,164275.4642720920,10579915.709926,5,0.015527105203491300000000
General Cargo With Container Capacity - GPC,20,24,5001,7500,168107.520000,9500000,2,0.017695528421052600000000
General Cargo With Container Capacity - GPC,25,29,20001,25000,50584.657500,5000000,1,0.010116931500
General Cargo With Container Capacity - GPC,25,29,2501,5000,207126.9646875000,11850000,2,0.017479068750
General Cargo With Container Capacity - GPC,25,29,5001,7500,109732.896000,7900000,1,0.013890240
General Cargo With Container Capacity - GPC,5,8,10001,15000,435373.744000,70900000,5,0.006140673399153740000000
General Cargo With Container Capacity - GPC,5,8,15001,20000,231590.073600,68280000,3,0.003391770263620390000000
General Cargo With Container Capacity - GPC,5,8,7501,10000,148714.752000,9600000,1,0.015491120
General Cargo With Container Capacity - GPC,9,14,10001,15000,756141.952996,198732000,11,0.003804832402411290000000
General Cargo With Container Capacity - GPC,9,14,15001,20000,75397.440000,12000000,1,0.006283120
General Cargo With Container Capacity - GPC,9,14,2501,5000,94313.625000,14000000,4,0.006736687500
General Cargo With Container Capacity - GPC,9,14,50001,999999999,58794.930000,27000000,1,0.002177590
General Cargo With Container Capacity - GPC,9,14,7501,10000,281629.440000,19200000,2,0.014668200
Grab Dredger - DGD,35,39,0,1000,42501.1446862500,3670000,2,0.011580693375000000000000
Hopper Barge - OHB,15,19,7501,10000,26997.620100,11000000,1,0.002454329100
Hopper Barge - OHB,20,24,7501,10000,29697.382110,11000000,1,0.002699762010
Hopper Barge - OHB,9,14,0,1000,4406.400000,900000,6,0.004896000
Hopper Dredger - DHD,15,19,15001,20000,432893.7189762970,103860011.030649,1,0.004168050
Hopper Dredger - DHD,15,19,7501,10000,3767.664000,627944,2,0.006000000
Hopper Dredger - DHD,2,4,1001,2500,79506.5456412500,6799000,1,0.011693858750
Hopper Dredger - DHD,2,4,25001,35000,433195.1358144630,138384460.272363,1,0.003130374140
Hopper Dredger - DHD,20,24,0,1000,3088.4771383470,280584,2,0.011007317375000000000000
Hopper Dredger - DHD,20,24,7501,10000,403701.7654196750,80948123.587461,8,0.004987166441029260000000
Hopper Dredger - DHD,30,999,2501,5000,100510.6019582940,2541755.392758,1,0.039543774450
Hopper Dredger - DHD,5,8,10001,15000,76367.473200,34856892,3,0.002190885899982130000000
Hopper Dredger - DHD,9,14,15001,20000,115918.8700237750,29512210,1,0.003927827500
Hospital Ship - OHS,15,19,10001,15000,169112.6391304350,23611977,1,0.007162155000
Hospital Ship - OHS,9,14,10001,15000,100003.050000,12000000,1,0.008333587500
Hospital Ship - OHS,9,14,7501,10000,197836.6732668900,49994286,2,0.003957185692518740000000
Hydrofoil - OHF,5,8,1001,2500,30108.750000,4000000,1,0.007527187500
Icebreaker - OIB,2,4,2501,5000,48470.4560475038,64958998.683281,1,0.000746170
Icebreaker - OIB,2,4,5001,7500,99541.7570335170,133403590.379561,2,0.000746170
Icebreaker - OIB,35,39,10001,15000,29202.6920001671,18017066.512117,1,0.001620835000
Icebreaker - OIB,40,44,7501,10000,15903.5900726232,9811973.502931,1,0.001620835000
Icebreaker - OIB,9,14,5001,7500,79109.5692388442,106020838.734932,2,0.000746170
Landing Craft - OLC,0,1,0,1000,8757.0003654340,1671597.689954,2,0.005238700925504970000000
Landing Craft - OLC,15,19,0,1000,30865.3224714448,4520174.340494,10,0.006828347790689780000000
Landing Craft - OLC,2,4,0,1000,39843.5156501867,7078391.640169,9,0.005628893917663400000000
Landing Craft - OLC,2,4,1001,2500,8441.562500,2500000,1,0.003376625000
