vessel_type,age_lower_bound,age_upper_bound,dwt_lower_bound,dwt_upper_bound,net_achieved_prem_adj_to_full_coverage,sum_of_agreed_value,count_of_identifier,achieved_rate
Liquid Natural Gas Carrier - LNG,9,14,50001,999999999,3675006.331700,5366700000,42,0.000684779535226489000000
Liquid Natural Gas Carrier - LNG,9,14,5001,7500,76273.211950,36790000,2,0.002073205000
Liquid Petroleum Gas Carrier - LPG,0,1,15001,20000,151091.836875,207375000,5,0.000728592341772152000000
Liquid Petroleum Gas Carrier - LPG,0,1,50001,999999999,1532140.2174571700,1426299839.661330,19,0.001074206260740360000000
Liquid Petroleum Gas Carrier - LPG,15,19,0,1000,192649.520000,115290000,3,0.001670999392835460000000
Liquid Petroleum Gas Carrier - LPG,15,19,1001,2500,21934.7198733677,3932387.818060,2,0.005577964556961980000000
Liquid Petroleum Gas Carrier - LPG,15,19,2501,5000,210858.1574544470,35110795.939353,6,0.006005507759455620000000
Liquid Petroleum Gas Carrier - LPG,15,19,35001,50000,220940.720000,60550000,4,0.003648897109826590000000
Liquid Petroleum Gas Carrier - LPG,15,19,50001,999999999,612055.920000,265350000,8,0.002306598530243080000000
Liquid Petroleum Gas Carrier - LPG,15,19,7501,10000,65110.500000,26250000,2,0.002480400
Liquid Petroleum Gas Carrier - LPG,2,4,15001,20000,435030.4359225000,523382500,13,0.000831190259365760000000
Liquid Petroleum Gas Carrier - LPG,2,4,25001,35000,169283.800000,45150000,3,0.003749364341085270000000
Liquid Petroleum Gas Carrier - LPG,2,4,2501,5000,37483.479040,12880000,1,0.002910208000
Liquid Petroleum Gas Carrier - LPG,2,4,35001,50000,951611.360000,427700000,6,0.002224950572831420000000
Liquid Petroleum Gas Carrier - LPG,2,4,50001,999999999,2544358.7205841700,2735055303.144290,40,0.000930276882393972000000
Liquid Petroleum Gas Carrier - LPG,2,4,7501,10000,91613.812500,87500000,4,0.001047015000
Liquid Petroleum Gas Carrier - LPG,20,24,10001,15000,194216.400000,136500000,2,0.001422830769230770000000
Liquid Petroleum Gas Carrier - LPG,20,24,1001,2500,14593.650000,3000000,2,0.004864550
Liquid Petroleum Gas Carrier - LPG,20,24,25001,35000,164336.080000,36000000,3,0.004564891111111110000000
Liquid Petroleum Gas Carrier - LPG,20,24,2501,5000,101387.660000,23600000,6,0.004296087288135590000000
Liquid Petroleum Gas Carrier - LPG,20,24,35001,50000,182538.840000,43450000,3,0.004201124050632910000000
Liquid Petroleum Gas Carrier - LPG,20,24,5001,7500,329622.592505,16330000,3,0.020185094458358900000000
Liquid Petroleum Gas Carrier - LPG,25,29,0,1000,3199.612500,450000,1,0.007110250
Liquid Petroleum Gas Carrier - LPG,25,29,10001,15000,10477.440000,5100000,1,0.002054400
Liquid Petroleum Gas Carrier - LPG,25,29,1001,2500,21030.530000,3400000,4,0.006185450
Liquid Petroleum Gas Carrier - LPG,25,29,15001,20000,28944.566700,8680000,1,0.003334627500
Liquid Petroleum Gas Carrier - LPG,25,29,25001,35000,102065.950000,18550000,2,0.005502207547169810000000
Liquid Petroleum Gas Carrier - LPG,25,29,2501,5000,218906.753000,14040000,5,0.015591649074074100000000
Liquid Petroleum Gas Carrier - LPG,30,999,0,1000,3538.890000,450000,1,0.007864200
Liquid Petroleum Gas Carrier - LPG,30,999,15001,20000,31839.368400,8680000,1,0.003668130
Liquid Petroleum Gas Carrier - LPG,30,999,25001,35000,67512.400000,16400000,2,0.004116609756097560000000
Liquid Petroleum Gas Carrier - LPG,30,999,2501,5000,10515.265000,1700000,2,0.006185450
Liquid Petroleum Gas Carrier - LPG,5,8,1001,2500,2512.535760,5040000,1,0.000498519000
Liquid Petroleum Gas Carrier - LPG,5,8,2501,5000,386024.375800,98400000,6,0.003923011949186990000000
Liquid Petroleum Gas Carrier - LPG,5,8,35001,50000,745960.880000,310800000,7,0.002400131531531530000000
Liquid Petroleum Gas Carrier - LPG,5,8,50001,999999999,891879.286035,875515000,16,0.001018691040170640000000
Liquid Petroleum Gas Carrier - LPG,5,8,5001,7500,324078.595200,82800000,4,0.003913992695652170000000
Liquid Petroleum Gas Carrier - LPG,9,14,0,1000,193720.856000,117530000,3,0.001648267301965460000000
Liquid Petroleum Gas Carrier - LPG,9,14,15001,20000,249248.544545,133445000,6,0.001867799801753530000000
Liquid Petroleum Gas Carrier - LPG,9,14,2501,5000,1920696.966100,412560000,41,0.004655557897275550000000
Liquid Petroleum Gas Carrier - LPG,9,14,35001,50000,468801.732560,238041000,9,0.001969415909696230000000
Liquid Petroleum Gas Carrier - LPG,9,14,50001,999999999,1028243.7161718000,780066479,21,0.001318148829430470000000
Liquid Petroleum Gas Carrier - LPG,9,14,5001,7500,632069.368128,137788000,10,0.004587259907452030000000
Livestock - MLV,15,19,5001,7500,125020.110000,12200000,1,0.010247550
Livestock - MLV,15,19,7501,10000,266905.350000,60000000,2,0.004448422500
Livestock - MLV,2,4,25001,35000,297374.400000,53500000,1,0.005558400
Livestock - MLV,2,4,2501,5000,110587.680000,14000000,1,0.007899120
Livestock - MLV,2,4,5001,7500,283118.580000,70800000,3,0.003998850
Livestock - MLV,20,24,1001,2500,167996.347200,8800000,1,0.019090494000
Livestock - MLV,20,24,2501,5000,230491.170000,20600000,3,0.011188891747572800000000
Livestock - MLV,25,29,2501,5000,149917.920000,11400000,2,0.013150694736842100000000
Livestock - MLV,25,29,5001,7500,376973.100000,60000000,2,0.006282885000
Livestock - MLV,30,999,20001,25000,693304.363200,70720000,2,0.009803511923076920000000
Livestock - MLV,35,39,15001,20000,756667.008000,83200000,2,0.009094555384615390000000
Livestock - MLV,40,44,10001,15000,328684.800000,20000000,2,0.016434240
Livestock - MLV,40,44,25001,35000,696133.800000,30000000,2,0.023204460
Livestock - MLV,40,44,2501,5000,245992.080000,16000000,2,0.015374505000
Livestock - MLV,45,49,10001,15000,239382.450000,10000000,1,0.023938245000
Livestock - MLV,5,8,25001,35000,711072,80000000,2,0.008888400
Livestock - MLV,5,8,5001,7500,369709.980000,87600000,4,0.004220433561643840000000
Livestock - MLV,50,999,10001,15000,403960.567500,13500000,1,0.029923005000
Livestock - MLV,9,14,2501,5000,83101.350000,5000000,1,0.016620270
Maintenance - OMT,9,14,0,1000,23982.878328,5291250,3,0.004532554373352230000000
Maintenance - OMT,9,14,7501,10000,164731.950000,75000000,1,0.002196426000
Naval Auxiliary Vessel - NAX,25,29,0,1000,1944.684000,69453,1,0.028000000
Oceanographic Research - ROR,50,999,0,1000,182524.396620,8530000,3,0.021397936297772600000000
Offshore Safety - OOS,15,19,1001,2500,56439.243756,10186500,2,0.005540592328670300000000
Offshore Safety - OOS,2,4,0,1000,98013.357120,33814500,5,0.002898560
Offshore Safety - OOS,2,4,2501,5000,65203.876800,12476250,1,0.005226240
Offshore Safety - OOS,5,8,0,1000,32510.351880,5865000,2,0.005543112000
Offshore Safety - OOS,5,8,1001,2500,87657.051852,15804000,2,0.005546510494305240000000
Offshore Safety - OOS,5,8,2501,5000,70776.886752,12078000,1,0.005859984000
Offshore Safety - OOS,9,14,0,1000,27916.364484,5043000,2,0.005535666167757290000000
Passenger (Cruise) - MPR,0,1,0,1000,817292.833500,617874000,1,0.001322750
Passenger (Cruise) - MPR,0,1,15001,20000,1081727.028837,817631919,1,0.001323000
Passenger (Cruise) - MPR,0,1,2501,5000,500000,250000000,1,0.002000000
Passenger (Cruise) - MPR,0,1,50001,999999999,830822.5064782500,628102443,1,0.001322750
Passenger (Cruise) - MPR,0,1,5001,7500,90008.9708375000,68046850,1,0.001322750
Passenger (Cruise) - MPR,15,19,0,1000,44401.391419,18601337,2,0.002387000
Passenger (Cruise) - MPR,15,19,10001,15000,2169187.5385635000,1563067400,7,0.001387776073228510000000
Passenger (Cruise) - MPR,15,19,25001,35000,266475.800436,191985447,2,0.001388000
Passenger (Cruise) - MPR,15,19,2501,5000,976725.6514675000,543831868,5,0.001796006650105870000000
Passenger (Cruise) - MPR,15,19,50001,999999999,5345056.856584,3851552420,15,0.001387766872606660000000
Passenger (Cruise) - MPR,15,19,7501,10000,585240,400000000,1,0.001463100
Passenger (Cruise) - MPR,2,4,10001,15000,1435555.7984407500,1085177199,2,0.001322876853442580000000
Passenger (Cruise) - MPR,2,4,15001,20000,1059446.6680655000,800942482,1,0.001322750
Passenger (Cruise) - MPR,2,4,20001,25000,2006874.0587585000,1517053051,2,0.001322876650513720000000
Passenger (Cruise) - MPR,2,4,2501,5000,500000,250000000,1,0.002000000
Passenger (Cruise) - MPR,2,4,50001,999999999,1379740.187637,1042887519,2,0.001323000
Passenger (Cruise) - MPR,20,24,10001,15000,361201.3939875000,260325329,1,0.001387500
Passenger (Cruise) - MPR,20,24,1001,2500,260000,130000000,2,0.002000000
Passenger (Cruise) - MPR,20,24,25001,35000,261479.505975,188453698,2,0.001387500
Passenger (Cruise) - MPR,20,24,2501,5000,242666.666000,121333333,1,0.002000000
Passenger (Cruise) - MPR,20,24,50001,999999999,2238035.1080825000,1612792109,10,0.001387677367463170000000
Passenger (Cruise) - MPR,20,24,7501,10000,585240,400000000,1,0.001463100
Passenger (Cruise) - MPR,25,29,0,1000,143999.998000,71999999,3,0.002000000
Passenger (Cruise) - MPR,25,29,1001,2500,260000,130000000,2,0.002000000
Passenger (Cruise) - MPR,25,29,2501,5000,744830.619640,153568530,3,0.004850151392606280000000
Passenger (Cruise) - MPR,25,29,35001,50000,173123.1578085000,124742961,3,0.001387839092648280000000
Passenger (Cruise) - MPR,25,29,50001,999999999,369194.3293455000,266034898,4,0.001387766537852860000000
Passenger (Cruise) - MPR,30,999,0,1000,90666.666000,45333333,2,0.002000000
Passenger (Cruise) - MPR,30,999,2501,5000,78676.314375,56703650,1,0.001387500
Passenger (Cruise) - MPR,30,999,35001,50000,47031.071850,33896268,1,0.001387500
Passenger (Cruise) - MPR,30,999,50001,999999999,99715.4480335000,71852688,2,0.001387776168283360000000
Passenger (Cruise) - MPR,35,39,5001,7500,131551.257600,23040000,1,0.005709690
Passenger (Cruise) - MPR,5,8,50001,999999999,4359835.0308717500,3295705638,6,0.001322883627895090000000
Passenger (Cruise) - MPR,5,8,7501,10000,2166946.032544,1725396346,3,0.001255912032946890000000
Passenger (Cruise) - MPR,9,14,2501,5000,2335326.040000,662000000,6,0.003527682839879150000000
Passenger (Cruise) - MPR,9,14,50001,999999999,7220791.4078257500,5447201920,11,0.001325596428014500000000
Passenger (Cruise) - MPR,9,14,7501,10000,2575241.1540205000,1946738600,5,0.001322848971105060000000
Passenger Ro/Ro - PRR,0,1,0,1000,109746.5726662500,24871231,3,0.004412591104406940000000
Passenger Ro/Ro - PRR,0,1,1001,2500,208457.7627868360,28018516.503607,1,0.007440000
Passenger Ro/Ro - PRR,0,1,15001,20000,233983.750000,350000000,1,0.000668525000
Passenger Ro/Ro - PRR,0,1,50001,999999999,497250,900000000,1,0.000552500
Passenger Ro/Ro - PRR,15,19,0,1000,133406.3324283580,13064169.393579,4,0.010211619920813900000000
Passenger Ro/Ro - PRR,15,19,10001,15000,366699.9312093500,52929008.025974,3,0.006928146679593900000000
Passenger Ro/Ro - PRR,15,19,1001,2500,387200.9300629990,21013887.377706,2,0.018425954375000000000000
Passenger Ro/Ro - PRR,15,19,2501,5000,81677.0504676836,10060558.975836,2,0.008118540
Passenger Ro/Ro - PRR,15,19,50001,999999999,379641.517500,334000000,2,0.001136651250
Passenger Ro/Ro - PRR,15,19,7501,10000,45466.050000,28000000,1,0.001623787500
Passenger Ro/Ro - PRR,2,4,0,1000,43725,5000000,1,0.008745000
Passenger Ro/Ro - PRR,2,4,1001,2500,116262.1711960490,32295047.554458,2,0.003600000
Passenger Ro/Ro - PRR,2,4,2501,5000,15185.520000,6300000,1,0.002410400
Passenger Ro/Ro - PRR,2,4,50001,999999999,2745925,4440000000,5,0.000618451576576577000000
Passenger Ro/Ro - PRR,20,24,0,1000,160792.4979016190,15606236.630377,6,0.010303092392476100000000
Passenger Ro/Ro - PRR,20,24,2501,5000,172939.6023756590,12030279.487918,2,0.014375360318880600000000
Passenger Ro/Ro - PRR,20,24,5001,7500,123423.750000,15000000,1,0.008228250
Passenger Ro/Ro - PRR,25,29,10001,15000,166565.736750,24500000,1,0.006798601500
Passenger Ro/Ro - PRR,25,29,1001,2500,496795.8471782990,207152083.106656,4,0.002398217964926350000000
Passenger Ro/Ro - PRR,25,29,2501,5000,508285.6769190720,52946424.679070,5,0.009600000
Passenger Ro/Ro - PRR,30,999,0,1000,381995.4488561080,10806199.494504,6,0.035349657300921600000000
Passenger Ro/Ro - PRR,30,999,2501,5000,470905.848000,244000000,2,0.001929942000
Passenger Ro/Ro - PRR,35,39,0,1000,67728.9164699965,8525347.184443,3,0.007944417394940560000000
Passenger Ro/Ro - PRR,40,44,0,1000,217888.0246875000,11000000,6,0.019808002244318200000000
Passenger Ro/Ro - PRR,40,44,2501,5000,783392.0116197500,108747816.418724,4,0.007203749347971900000000
Passenger Ro/Ro - PRR,45,49,0,1000,12709.4782241184,1323903.981679,1,0.009600000
Passenger Ro/Ro - PRR,45,49,5001,7500,621497.037600,152000000,4,0.004088796300
Passenger Ro/Ro - PRR,45,49,7501,10000,192566.172000,6400000,1,0.030088464375000000000000
Passenger Ro/Ro - PRR,5,8,0,1000,193470.9924600600,57320000,4,0.003375279003141320000000
Passenger Ro/Ro - PRR,5,8,1001,2500,359812.5986076740,22818079.975120,2,0.015768750
Passenger Ro/Ro - PRR,5,8,2501,5000,642655.6812145750,98948605.821968,5,0.006494843215586740000000
Passenger Ro/Ro - PRR,50,999,0,1000,98217.281250,2995000,1,0.032793750
Passenger Ro/Ro - PRR,9,14,0,1000,222310.9665714140,44502704.851189,5,0.004995448418580220000000
Passenger Ro/Ro - PRR,9,14,10001,15000,167662.3153080580,17464824.511256,1,0.009600000
Passenger Ro/Ro - PRR,9,14,2501,5000,459805.5282734900,62690684.164332,3,0.007334511250
Passenger Vessel (Unspecified) - PZZ,15,19,0,1000,10116.1881507276,1646113.115406,2,0.006145500
Passenger Vessel (Unspecified) - PZZ,2,4,0,1000,14440.500000,312500,2,0.046209600
Passenger Vessel (Unspecified) - PZZ,20,24,0,1000,4893.5922217875,692307,3,0.007068529166666670000000
Passenger Vessel (Unspecified) - PZZ,25,29,0,1000,2632.500000,1500000,1,0.001755000
Passenger Vessel (Unspecified) - PZZ,30,999,0,1000,2632.500000,1500000,1,0.001755000
Passenger Vessel (Unspecified) - PZZ,35,39,0,1000,10523.250000,187500,1,0.056124000
Passenger Vessel (Unspecified) - PZZ,45,49,0,1000,7015.500000,125000,1,0.056124000
Passenger Vessel (Unspecified) - PZZ,5,8,0,1000,1793.960000,64070,1,0.028000000
Passenger Vessel (Unspecified) - PZZ,9,14,0,1000,4933.284400,704000,2,0.007007506250
Patrol Ship - OPA,15,19,0,1000,47430,1800000,6,0.026350000
Patrol Ship - OPA,15,19,1001,2500,179418.8554629160,63971391.366879,6,0.002804673333333330000000
Patrol Ship - OPA,5,8,0,1000,71034.598500,16790000,4,0.004230768225134010000000
Patrol Ship - OPA,9,14,0,1000,9633.0153125000,5190625,5,0.001855848826008430000000
Pilot Ship - OPI,15,19,0,1000,5072.220000,1240000,2,0.004090500
Pilot Ship - OPI,2,4,0,1000,27540.1496353000,5384053,6,0.005115133457137220000000
Pilot Ship - OPI,2,4,25001,35000,442367.578125,491250000,3,0.000900493797709924000000
Pilot Ship - OPI,20,24,0,1000,10144.440000,2480000,4,0.004090500
Pilot Ship - OPI,25,29,0,1000,5534.3901449800,1549312.800000,4,0.003572158020626950000000
Pilot Ship - OPI,30,999,0,1000,7521.0798122750,598957,2,0.012556961204685800000000
Pilot Ship - OPI,35,39,0,1000,387.5743134000,8478,1,0.045715300
Pilot Ship - OPI,45,49,0,1000,1381.0134977000,30209,1,0.045715300
Pilot Ship - OPI,5,8,0,1000,91848.9264096000,20069883,11,0.004576455498499920000000
Pilot Ship - OPI,5,8,25001,35000,161841.796875,168750000,1,0.000959062500
Pilot Ship - OPI,5,8,2501,5000,21055.703328,23704704,1,0.000888250
Pilot Ship - OPI,9,14,0,1000,7179.840000,3840000,3,0.001869750
Pipe Carrier - OPP,25,29,7501,10000,20612.605400,4400000,2,0.004684683045454550000000
Pipe Carrier - OPP,5,8,35001,50000,488896,800000000,1,0.000611120
Pipe Carrier - OPP,9,14,25001,35000,298227.600000,255000000,1,0.001169520
Pipe Layer - OPL,2,4,1001,2500,74634,8000000,2,0.009329250
Pipe Layer - OPL,2,4,15001,20000,403044.454372,253241800,1,0.001591540
Pipe Layer - OPL,20,24,1001,2500,184644.800000,12000000,3,0.015387066666666700000000
Pipe Layer - OPL,35,39,0,1000,878.750000,100000,1,0.008787500
Pipe Layer - OPL,5,8,10001,15000,376829.8741397460,216650780.318906,2,0.001739342335093640000000
Pipe Layer - OPL,5,8,15001,20000,179304.300000,72000000,1,0.002490337500
Pipe Layer - OPL,5,8,35001,50000,3780784.500000,1650000000,3,0.002291384545454550000000
Pipe Layer - OPL,5,8,7501,10000,670537.885000,182000000,2,0.003684274093406590000000
Pipe Layer - OPL,50,999,25001,35000,684751.387500,22500000,2,0.030433395000
Pipe Layer - OPL,9,14,1001,2500,114453.763200,3600000,1,0.031792712000
Pipe Layer - OPL,9,14,15001,20000,702509.3244787200,121136384,3,0.005799325531119700000000
Pipe Layer - OPL,9,14,7501,10000,272040.501600,28800000,2,0.009445850750
Pontoon - OPO,0,1,0,1000,21011.0310653992,22489429.967915,1,0.000934262500
Pontoon - OPO,15,19,0,1000,292501.4544064770,48798131.772787,6,0.005994111737072590000000
Pontoon - OPO,15,19,10001,15000,1127574.965550,266900000,3,0.004224709500
Pontoon - OPO,15,19,15001,20000,1089975.051000,258000000,2,0.004224709500
Pontoon - OPO,15,19,50001,999999999,2612982.825750,618500000,2,0.004224709500
Pontoon - OPO,2,4,0,1000,92627.0213929906,51336517.487821,3,0.001804310575117710000000
Pontoon - OPO,20,24,0,1000,108531.7397296080,28532361.789960,5,0.003803811984740730000000
Pontoon - OPO,20,24,50001,999999999,1343457.621000,318000000,1,0.004224709500
Pontoon - OPO,25,29,0,1000,29577.0082022234,382433.784321,3,0.077338900
Pontoon - OPO,25,29,2501,5000,494079.776025,116950000,4,0.004224709500
Pontoon - OPO,35,39,35001,50000,308403.793500,73000000,1,0.004224709500
Pontoon - OPO,35,39,50001,999999999,853391.319000,202000000,2,0.004224709500
Pontoon - OPO,35,39,7501,10000,825930.707250,195500000,2,0.004224709500
Pontoon - OPO,40,44,0,1000,54142.3063984159,55389654.362451,8,0.000977480488398197000000
Pontoon - OPO,45,49,0,1000,1617.7883894569,1574260.097754,2,0.001027650
Pontoon - OPO,5,8,0,1000,293281.3291437440,19481101.984148,20,0.015054658067207400000000
Pontoon - OPO,5,8,2501,5000,134006.368860,52000000,4,0.002577045555000000000000
Pontoon - OPO,9,14,0,1000,377289.6049783640,33823637.750731,19,0.011154613461711700000000
Pontoon - OPO,9,14,10001,15000,105617.737500,25000000,1,0.004224709500
Pontoon - OPO,9,14,15001,20000,680178.229500,161000000,1,0.004224709500
Pontoon - OPO,9,14,20001,25000,1440625.939500,341000000,2,0.004224709500
Pontoon - OPO,9,14,2501,5000,81073.8531603000,31460000,2,0.002577045555000000000000
Pontoon - OPO,9,14,50001,999999999,25803.662500,29050000,1,0.000888250
Product Tanker - TPD,0,1,10001,15000,88687.500000,100000000,4,0.000886875000
Product Tanker - TPD,0,1,15001,20000,210415.975000,46200000,3,0.004554458333333330000000
Product Tanker - TPD,0,1,2501,5000,40601.088000,7200000,2,0.005639040
Product Tanker - TPD,0,1,35001,50000,808339.0028592000,805049820,19,0.001004085688584090000000
Product Tanker - TPD,0,1,50001,999999999,251438.632950,256000000,5,0.000982182159960938000000
Product Tanker - TPD,15,19,0,1000,198018.6451184000,33390181.820000,9,0.005930445248423030000000
Product Tanker - TPD,15,19,1001,2500,128210.334000,12500000,4,0.010256826720
Product Tanker - TPD,15,19,25001,35000,637478.9873808000,104040000,11,0.006127249013656290000000
Product Tanker - TPD,15,19,2501,5000,30493.336704,6646000,1,0.004588224000
Product Tanker - TPD,15,19,35001,50000,296641.295290,78800000,6,0.003764483442766500000000
Product Tanker - TPD,15,19,50001,999999999,885783.146196,226220000,16,0.003915582822898060000000
Product Tanker - TPD,15,19,5001,7500,122077.500600,14300000,4,0.008536888153846150000000
Product Tanker - TPD,15,19,7501,10000,30259.051500,9256250,2,0.003269040
Product Tanker - TPD,2,4,0,1000,53851.241840,23496000,5,0.002291932322097380000000
Product Tanker - TPD,2,4,1001,2500,34634.340000,12000000,1,0.002886195000
Product Tanker - TPD,2,4,35001,50000,1521405.4277396400,1345509304,25,0.001130728284982290000000
Product Tanker - TPD,2,4,50001,999999999,357435.6544233730,274999998,6,0.001299766025537840000000
Product Tanker - TPD,2,4,7501,10000,65673.8458816000,23936000,2,0.002743726850
Product Tanker - TPD,20,24,0,1000,24758.400000,4000000,1,0.006189600
Product Tanker - TPD,20,24,10001,15000,117776.750000,6500000,1,0.018119500
Product Tanker - TPD,20,24,1001,2500,50160,2200000,1,0.022800000
Product Tanker - TPD,20,24,15001,20000,81900.105000,7000000,1,0.011700015000
Product Tanker - TPD,20,24,25001,35000,37299.062500,8500000,1,0.004388125000
Product Tanker - TPD,20,24,2501,5000,30985.560000,5396000,3,0.005742320237212750000000
Product Tanker - TPD,20,24,35001,50000,224430.228000,88208000,6,0.002544329629965540000000
Product Tanker - TPD,20,24,50001,999999999,484205.303200,142668000,10,0.003393930686629100000000
Product Tanker - TPD,25,29,0,1000,94031.1084784400,7613636.360000,7,0.012350354552320600000000
Product Tanker - TPD,25,29,1001,2500,124162.8396814400,13490000,9,0.009204065209891770000000
Product Tanker - TPD,25,29,2501,5000,117841.9112392000,25000000,9,0.004713676449568000000000
Product Tanker - TPD,25,29,35001,50000,69214.6135689601,8185079.042129,2,0.008456193668101320000000
Product Tanker - TPD,25,29,50001,999999999,43275.724560,9000000,1,0.004808413840
Product Tanker - TPD,25,29,5001,7500,235607.297200,20540000,6,0.011470657117818900000000
Product Tanker - TPD,25,29,7501,10000,129409.500000,6000000,1,0.021568250
Product Tanker - TPD,30,999,0,1000,59629.920000,4200000,2,0.014197600
Product Tanker - TPD,30,999,1001,2500,9896.7273552000,654545.460000,2,0.015120000
Product Tanker - TPD,30,999,2501,5000,37894.680000,5000000,2,0.007578936000
Product Tanker - TPD,30,999,35001,50000,52197.8152400351,2745079.042129,1,0.019015050
Product Tanker - TPD,30,999,5001,7500,9970.500000,2400000,1,0.004154375000
Product Tanker - TPD,35,39,0,1000,102632.208000,6300000,3,0.016290826666666700000000
Product Tanker - TPD,35,39,1001,2500,33131.250000,950000,1,0.034875000
Product Tanker - TPD,40,44,2501,5000,42442.041600,2400000,2,0.017684184000
Product Tanker - TPD,45,49,0,1000,61820.959900,2100000,3,0.029438552333333300000000
Product Tanker - TPD,45,49,2501,5000,31831.531200,1200000,1,0.026526276000
Product Tanker - TPD,5,8,10001,15000,70880,20000000,1,0.003544000
Product Tanker - TPD,5,8,1001,2500,16949.336400,8000000,1,0.002118667050
Product Tanker - TPD,5,8,15001,20000,72385.704000,14400000,1,0.005026785000
Product Tanker - TPD,5,8,2501,5000,175902.515630,57300000,10,0.003069851930715530000000
Product Tanker - TPD,5,8,35001,50000,688403.1274085580,579770366,12,0.001187372048968360000000
Product Tanker - TPD,5,8,50001,999999999,528316.2226515750,264367548,9,0.001998415564423110000000
Product Tanker - TPD,5,8,5001,7500,76011.288000,21420000,3,0.003548612885154060000000
Product Tanker - TPD,5,8,7501,10000,33132.580200,17520000,2,0.001891129006849310000000
Product Tanker - TPD,9,14,0,1000,31845.881760,6666000,1,0.004777360
Product Tanker - TPD,9,14,10001,15000,1056321.092800,244760000,18,0.004315742330446150000000
Product Tanker - TPD,9,14,1001,2500,119964.3316377600,20300057,7,0.005909556393746090000000
Product Tanker - TPD,9,14,15001,20000,631035.637500,54700000,4,0.011536300502742200000000
Product Tanker - TPD,9,14,2501,5000,371770.112005,75600000,9,0.004917594074140210000000
Product Tanker - TPD,9,14,35001,50000,626151.915600,235000000,10,0.002664476236595750000000
Product Tanker - TPD,9,14,50001,999999999,498215.4198779170,283653334,12,0.001756423634625490000000
Product Tanker - TPD,9,14,5001,7500,798971.087800,170572000,25,0.004684069412330280000000
Product Tanker - TPD,9,14,7501,10000,688572.675805,143096250,12,0.004811954721420020000000
Pusher Tug - XPT,0,1,0,1000,38120.625000,7530000,1,0.005062500
Pusher Tug - XPT,15,19,0,1000,192511.982460,110200000,3,0.001746932690199640000000
Pusher Tug - XPT,15,19,1001,2500,311921.400000,172200000,3,0.001811390243902440000000
Pusher Tug - XPT,2,4,0,1000,361368,189000000,3,0.001912000
Pusher Tug - XPT,9,14,0,1000,709972.200000,369600000,6,0.001920920454545450000000
Pusher Tug - XPT,9,14,15001,20000,121968,67200000,1,0.001815000
Pusher Tug - XPT,9,14,7501,10000,120456,63000000,1,0.001912000
Reefer - GRF,20,24,2501,5000,172360.9316270730,24611897.298728,2,0.007003155000
Reefer - GRF,20,24,5001,7500,109976.030850,7000000,1,0.015710861550
Reefer - GRF,25,29,5001,7500,294077.178000,18000000,3,0.016337621000
Reefer - GRF,30,999,2501,5000,201433.0206701480,11609386.885108,2,0.017350875000
Reefer - GRF,35,39,2501,5000,100716.5103350740,5804693.442554,1,0.017350875000
Repair Barge - ORX,15,19,7501,10000,36161.5909742825,9270651.762566,1,0.003900652500
Repair Barge - ORX,9,14,7501,10000,30795.5536578672,8510644.306750,1,0.003618475000
Repair Ship - ORP,2,4,2501,5000,51946.2372841642,12158063.295358,1,0.004272575000
Repair Ship - ORP,5,8,2501,5000,169372.8393608900,37362109.769943,3,0.004533278243755570000000
Repair Ship - ORP,9,14,2501,5000,52237.6753725114,15335709.403931,2,0.003406277075067770000000
Research - RRE,0,1,7501,10000,220000,176000000,1,0.001250000
Research - RRE,15,19,0,1000,20677.5229665889,5832225.526208,3,0.003545391527414570000000
Research - RRE,15,19,1001,2500,82538.8556860453,78015073.626726,1,0.001057986000
Research - RRE,15,19,5001,7500,443583.0569721900,151080000,4,0.002936080599498210000000
Research - RRE,2,4,0,1000,7849.924760728580,1880784.608740,1,0.004173750
Research - RRE,2,4,1001,2500,72311.9997492900,30000000,2,0.002410399991643000000000
Research - RRE,2,4,5001,7500,220000,176000000,1,0.001250000
Research - RRE,2,4,7501,10000,490305.600000,315200000,2,0.001555538071065990000000
Research - RRE,20,24,0,1000,188274.4042346110,118553210.459593,7,0.001588100427687540000000
Research - RRE,20,24,2501,5000,285413.1101462340,128100000,8,0.002228049259533440000000
Research - RRE,20,24,5001,7500,420359.040000,260160000,3,0.001615771217712180000000
Research - RRE,25,29,1001,2500,86346.2302001925,37614410.498600,1,0.002295562500
Research - RRE,25,29,2501,5000,185229.4265870220,100500000,5,0.001843078871512660000000
Research - RRE,30,999,0,1000,3007.437208035460,32392.021197,1,0.092845000
Research - RRE,30,999,1001,2500,127941.4874911180,57883478.915033,2,0.002210328229906900000000
Research - RRE,30,999,2501,5000,74240.3197660040,30800000,3,0.002410399992402730000000
Research - RRE,35,39,0,1000,6315.618136874480,64784.042394,2,0.097487250
Research - RRE,35,39,1001,2500,182948.3101462340,73000000,5,0.002506141234879920000000
Research - RRE,35,39,2501,5000,51292.7040428488,19600000,3,0.002616974696063710000000
Research - RRE,5,8,0,1000,7987.335824635420,1880784.608740,1,0.004246810500
Research - RRE,5,8,1001,2500,722681.7075335020,380562141.048335,9,0.001898984763809480000000
Research - RRE,5,8,2501,5000,278324.746400,181036000,2,0.001537400
Research - RRE,5,8,5001,7500,490305.600000,315200000,2,0.001555538071065990000000
Research - RRE,9,14,0,1000,5829.106174566120,1166112.763104,1,0.004998750
