build_year_band,relativity,lower_band
Pre 1986,2.92083825171282,0
1986 - 1990,2.48584216108564,1986
1991 - 1995,2.11562939036669,1991
1996 - 2000,1.74541661964775,1996
2001 - 2005,1.28409354757253,2001
2006 - 2010,0.808440753708932,2006
2011 - 2015,0.621148540403393,2011
2016 - 2020,0.5,2016
Post 2020,0.5,2021
