age,factor
0,1
1,1
2,1
3,1
4,1
5,1
6,1.10245
7,1.2049
8,1.30735
9,1.4098
10,1.528166667
11,1.646533333
12,1.7649
13,1.883266667
14,2.001633333
15,2.12
16,2.45072
17,2.78144
18,3.11216
19,3.44288
20,3.7736
21,4.43292
22,5.09224
23,5.75156
24,6.41088
25,7.0702
26,7.36304
27,7.65588
28,7.94872
29,8.24156
30,8.5344
