months,dev
1,0.01
2,0.03
3,0.04
4,0.06
5,0.08
6,0.1
7,0.13
8,0.17
9,0.22
10,0.28
11,0.35
12,0.41
13,0.44
14,0.47
15,0.5
16,0.53
17,0.56
18,0.59
19,0.61
20,0.63
21,0.65
22,0.67
23,0.69
24,0.71
25,0.73
26,0.74
27,0.76
28,0.77
29,0.79
30,0.8
31,0.81
32,0.82
33,0.83
34,0.84
35,0.85
36,0.86
37,0.87
38,0.88
39,0.88
40,0.89
41,0.9
42,0.9
43,0.91
44,0.91
45,0.92
46,0.92
47,0.93
48,0.93
49,0.94
50,0.94
51,0.94
52,0.95
53,0.95
54,0.95
55,0.96
56,0.96
57,0.96
58,0.96
59,0.96
60,0.97
61,0.97
62,0.97
63,0.97
64,0.97
65,0.98
66,0.98
67,0.98
68,0.98
69,0.98
70,0.98
71,0.98
72,0.98
73,0.98
74,0.99
75,0.99
76,0.99
77,0.99
78,0.99
79,0.99
80,0.99
81,0.99
82,0.99
83,0.99
84,0.99
85,0.99
86,0.99
87,0.99
88,0.99
89,0.99
90,0.99
91,0.99
92,0.99
93,1
