policy_reference,written_or_estimated_premium,total_incurred_shared_line,rate_change,acquisition_cost,signed_line
B5966Z07CFWH,0.00000000000000000000,0,0,0,0
B5966Z08CFWH,1060025.72462300000000000000,322500.30419800000000000000,1.00000000000000000000,0.04999999999103790000,0.55989997998491200000
B5966Z12BFWH,1036346.30004900000000000000,250567.10706900000000000000,1.00000000000000000000,0.04999999990374840000,0.55990000001509500000
B5966Z13BFWH,935774.08044200000000000000,352989.76303100000000000000,1.00000000000000000000,0.05000000001015200000,0.55990000000444000000
B5966Z14BFWH,815680.29421400000000000000,886246.28160600000000000000,1.00000000000000000000,0.00000000000000000000,0.55989999996860300000
B5966Z15BFWH,776002.25139600000000000000,605501.00032400000000000000,1.00000000000000000000,0.00000000000000000000,0.52070000006404100000
B5966Z16BFWH,672164.05305300000000000000,430286.25042400000000000000,1.00000000000000000000,0.00000000000000000000,0.52070000001083000000
B5966Z17BFWH,592001.58180600000000000000,467292.39332800000000000000,0.95000000007133000000,0.00000000000000000000,0.29000000001812500000
B5966Z18BFWH,674449.76108000000000000000,631817.57050000000000000000,1.00000000000000000000,0.00000000000000000000,0.29000000000989000000
B5966Z19BFWH,583394.81936500000000000000,449937.73360000000000000000,1.00000000000000000000,0.00000000000000000000,0.40845000002954200000
B5966Z20BFWH,576609.83953900000000000000,452297.36820000000000000000,1.00000000000000000000,0.00000000000000000000,0.49999999991328600000
B5966Z21BFWH,722558.67972100000000000000,1227385.70880000000000000000,1.00000000000000000000,0.00000000000000000000,1.00000000000000000000
B5966Z22BFWH,470722.55436200000000000000,340515.99410000000000000000,1.00000000000000000000,0.00000000000000000000,1.00000000000000000000
B5966Z23BFWH,344404.51578700000000000000,2035.22580000000000000000,1.00000000000000000000,0.00000000000000000000,1.00000000029036000000
J0910Q05ANWH,91300.78387800000000000000,3538.52988350100000000000,1.12999999935760000000,0.20000000035049000000,0.30000000003285800000
J0910Q06ANWH,537290.99172650600000000000,0,1.00000000000000000000,0.19999999994044200000,0.85000004001695800000
J2446Q05ANWH,36700.49111500000000000000,162.02736200000000000000,1.00000000000000000000,0.00000000000000000000,0.06240800019045240000
J2446Q06ANWH,47937.99150000000000000000,0,1.00000000000000000000,0.00000000000000000000,0.08388100000000000000
J2446Q07ANWH,1000253.42811500000000000000,0.00000000000000000000,1.00000000000000000000,0.05000000002849280000,0.09818199999629620000
J2446Q08ANWH,12157.38615000000000000000,0,0.97999999426705700000,0.02499999599009200000,0.09818199959620430000
J2446Q09ANWH,7728.59312800000000000000,0,1.00000000000000000000,0.03499999194646430000,0.12448133094863400000
J2446Q10ANWH,373547.72572500000000000000,831183.08502700000000000000,1.00000000000000000000,0.10000000014456000000,0.12448133001833300000
J3636N05ANWH,83877.06020074850000000000,0,1.10000000130346000000,0.20499999999526100000,0.28571400006813100000
