vessel_type,factor,vessel_type_group
Support - OSU,1,SUPPORT
Salvage - OSV,1,SUPPORT
Supply - OSY,1,SUPPLY
Standby Safety Vessel - OSZ,1,SUPPORT
Tank Barge - OTB,1,BARGE
Tank Cleaning Ship - OTC,1,SUPPORT
Tender - OTN,1,SUPPORT
Training - OTR,1,SUPPORT
Waste Ship - OWA,1,SUPPORT
Work Ship - OWO,1,SUPPLY
Yacht - OYT,1,YACHT
Passenger Ro/Ro - PRR,1,PASSENGER_RO_RO_SHIP_VEHICLES
Passenger Vessel (Unspecified) - PZZ,1,PASSENGER_SHIP
Hydrographic Research - RHR,1,RESEARCH_SURVEY_VESSEL
Meteorological Research - RMR,1,RESEARCH_SURVEY_VESSEL
Oceanographic Research - ROR,1,RESEARCH_SURVEY_VESSEL
Research/Buoy Ship - RRB,1,RESEARCH_SURVEY_VESSEL
Research - RRE,1,RESEARCH_SURVEY_VESSEL
Research/Supply Ship - RRS,1,RESEARCH_SURVEY_VESSEL
Seismographic Research - RSR,1,RESEARCH_SURVEY_VESSEL
Acid Tanker - TAC,1,TANKER
Asphalt Tanker - TAS,1,TANKER
Bunkering Tanker - TBK,1,TANKER
Chemical Tanker - TCH,1,CHEMICAL_TANKER
Combined Chemical And Oil Tanker - TCO,1,CHEMICAL_TANKER
Crude Oil Tanker - TCR,1,TANKER
Floating Drilling Production Tanker - TDP,1,FLOATING_PRODUCTION
Edible Oil Tanker - TEO,1,TANKER
Fruit Juice Tanker - TFJ,1,FRUIT_JUICE_CARRIER_REFRIGERATED
Fish Oil Tanker - TFO,1,FISHING_VESSEL
Floating Production Tanker - TFP,1,FLOATING_PRODUCTION
Floating Storage Tanker - TFS,1,FLOATING_PRODUCTION
Molasses Tanker - TMO,1,TANKER
Naval Auxiliary Tanker - TNA,1,TANKER
Product Tanker - TPD,1,TANKER
Tanker With Ro/Ro For Road Tankers. - TRR,1,TANKER
Tanker (Unspecified) - TTA,1,TANKER
Wine Tanker - TWN,1,TANKER
Water Tanker - TWT,1,TANKER
Barge Container Carrier - UBC,1,CONTAINER_SHIP_FULLY_CELLULAR
Barge Carrier - UBG,1,GENERAL_CARGO
Fully Cellular Containership - UCC,1,CONTAINER_SHIP_FULLY_CELLULAR
Fully Cellular Refrigerated - UCR,1,REFRIGERATED_CARGO_SHIP
Roll On Roll Off With Container Capacity - URC,1,RO_RO_CARGO_SHIP
Roll On Roll Off - URR,1,RO_RO_CARGO_SHIP
Anchor Handling Salvage Tug - XAA,0.63,TUG
Anchor Handling Fire Fighting Tug/Supply - XAF,0.63,SUPPLY
Anchor Handling Fire Fighting Tug - XAG,0.63,TUG
Anchor Handling Tug/Supply - XAH,0.63,SUPPLY
Anchor Handling Tug - XAT,0.63,TUG
Catamaran Tug - XCT,0.63,TUG
Fire Fighting Tug - XFF,0.63,TUG
Fire Fighting Tug/Supply - XFS,0.63,SUPPLY
Fire Fighting Tractor Tug - XFT,0.63,TUG
Pusher Tug - XPT,0.63,TUG
Salvage Tug - XST,0.63,TUG
Tug - XTG,0.63,TUG
Tug/Icebreaker - XTI,0.63,TUG
Tug/Pilot Ship - XTP,0.63,TUG
Tractor Tug - XTR,0.63,TUG
Tug/Supply - XTS,0.63,TUG
Tug/Tender - XTT,0.63,TUG
Tug/Support - XTX,0.63,TUG
Drill Platform - YDP,1,JACKUP_BARGE
Drill Ship - YDS,1,JACKUP_BARGE
Vessel Type (Unspecified) - ZZZ,1,MISCELLANEOUS
