fleet_size,smoothed_factor
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0.891389631
12,0.891389631
13,0.891389631
14,0.891389631
15,0.891389631
16,0.891389631
17,0.891389631
18,0.891389631
19,0.891389631
20,0.891389631
21,0.891389631
22,0.891389631
23,0.891389631
24,0.891389631
25,0.891389631
26,0.891389631
27,0.891389631
28,0.891389631
29,0.891389631
30,0.891389631
31,0.891389631
32,0.891389631
33,0.891389631
34,0.891389631
35,0.891389631
36,0.891389631
37,0.891389631
38,0.891389631
39,0.891389631
40,0.891389631
41,0.891389631
42,0.891389631
43,0.891389631
44,0.891389631
45,0.891389631
46,0.891389631
47,0.891389631
48,0.891389631
49,0.891389631
50,0.891389631
51,0.891389631
52,0.891389631
53,0.891389631
54,0.891389631
55,0.891389631
56,0.891389631
57,0.891389631
58,0.891389631
59,0.891389631
60,0.891389631
61,0.891389631
62,0.891389631
63,0.891389631
64,0.891389631
65,0.891389631
66,0.891389631
67,0.891389631
68,0.891389631
69,0.891389631
70,0.891389631
71,0.891389631
72,0.891389631
73,0.891389631
74,0.891389631
75,0.891389631
76,0.891389631
77,0.891389631
78,0.891389631
79,0.891389631
80,0.891389631
81,0.891389631
82,0.891389631
83,0.891389631
84,0.891389631
85,0.891389631
86,0.891389631
87,0.891389631
88,0.891389631
89,0.891389631
90,0.891389631
91,0.884144943
92,0.876900255
93,0.869655567
94,0.862410879
95,0.855166191
96,0.847921503
97,0.840676815
98,0.833432127
99,0.826187439
100,0.818942751
101,0.811698063
102,0.804453376
103,0.797208688
104,0.789964
105,0.782719312
106,0.775474624
107,0.768229936
108,0.760985248
109,0.75374056
110,0.746495872
111,0.739251184
112,0.732006496
113,0.724761808
114,0.71751712
115,0.710272432
116,0.703027745
117,0.695783057
118,0.688538369
119,0.681293681
120,0.674048993
121,0.666804305
122,0.659559617
123,0.652314929
124,0.645070241
125,0.637825553
126,0.630580865
127,0.623336177
128,0.616091489
129,0.608846801
130,0.601602113
131,0.594357426
132,0.587112738
133,0.57986805
134,0.572623362
135,0.565378674
136,0.558133986
137,0.550889298
138,0.54364461
139,0.536399922
140,0.529155234
141,0.521910546
142,0.514665858
143,0.50742117
144,0.500176482
145,0.492931795
146,0.485687107
147,0.478442419
148,0.471197731
149,0.463953043
150,0.456708355
151,0.449463667
152,0.442218979
153,0.434974291
154,0.427729603
155,0.420484915
156,0.413240227
157,0.405995539
158,0.398750851
159,0.391506164
160,0.384261476
161,0.384261476
162,0.384261476
163,0.384261476
164,0.384261476
165,0.384261476
166,0.384261476
167,0.384261476
168,0.384261476
169,0.384261476
170,0.384261476
171,0.384261476
172,0.384261476
173,0.384261476
174,0.384261476
175,0.384261476
176,0.384261476
177,0.384261476
178,0.384261476
179,0.384261476
180,0.384261476
181,0.384261476
182,0.384261476
183,0.384261476
184,0.384261476
185,0.384261476
186,0.384261476
187,0.384261476
188,0.384261476
189,0.384261476
190,0.384261476
191,0.384261476
192,0.384261476
193,0.384261476
194,0.384261476
195,0.384261476
196,0.384261476
197,0.384261476
198,0.384261476
199,0.384261476
200,0.384261476
201,0.384261476
202,0.384261476
203,0.384261476
204,0.384261476
205,0.384261476
206,0.384261476
207,0.384261476
208,0.384261476
209,0.384261476
210,0.384261476
211,0.384261476
212,0.384261476
213,0.384261476
214,0.384261476
215,0.384261476
216,0.384261476
217,0.384261476
218,0.384261476
219,0.384261476
220,0.384261476
221,0.384261476
222,0.384261476
223,0.384261476
224,0.384261476
225,0.384261476
226,0.384261476
227,0.384261476
228,0.384261476
229,0.384261476
230,0.384261476
231,0.384261476
232,0.384261476
233,0.384261476
234,0.384261476
235,0.384261476
236,0.384261476
237,0.384261476
238,0.384261476
239,0.384261476
240,0.384261476
241,0.384261476
242,0.384261476
243,0.384261476
244,0.384261476
245,0.384261476
246,0.384261476
247,0.384261476
248,0.384261476
249,0.384261476
250,0.384261476
251,0.384261476
252,0.384261476
253,0.384261476
254,0.384261476
255,0.384261476
256,0.384261476
257,0.384261476
258,0.384261476
259,0.384261476
260,0.384261476
261,0.384261476
262,0.384261476
263,0.384261476
264,0.384261476
265,0.384261476
266,0.384261476
267,0.384261476
268,0.384261476
269,0.384261476
270,0.384261476
271,0.384261476
272,0.384261476
273,0.384261476
274,0.384261476
275,0.384261476
276,0.384261476
277,0.384261476
278,0.384261476
279,0.384261476
280,0.384261476
281,0.384261476
282,0.384261476
283,0.384261476
284,0.384261476
285,0.384261476
286,0.384261476
287,0.384261476
288,0.384261476
289,0.384261476
290,0.384261476
291,0.384261476
292,0.384261476
293,0.384261476
294,0.384261476
295,0.384261476
296,0.384261476
297,0.384261476
298,0.384261476
299,0.384261476
300,0.384261476
