number_of_vessels,discount
1,0
2,0
3,0
4,0
5,0
6,0.025
7,0.05
8,0.06625
9,0.07375
10,0.0825
11,0.09
12,0.0975
13,0.105
14,0.11375
15,0.12125
16,0.12875
17,0.14125
18,0.15375
19,0.16625
20,0.17875
21,0.19
22,0.2
23,0.21
24,0.21875
25,0.22625
26,0.23125
27,0.235
28,0.23875
29,0.2425
30,0.24625
31,0.25
32,0.25625
33,0.2625
34,0.26875
35,0.275
36,0.28125
37,0.28625
38,0.29125
39,0.29625
40,0.30125
41,0.30625
42,0.31125
43,0.31625
44,0.32
45,0.325
46,0.33
47,0.335
48,0.34
49,0.345
50,0.35
