Layer,Preceding Layer
1st Excess,Primary
2nd Excess,1st Excess
3rd Excess,2nd Excess
4th Excess,3rd Excess
5th Excess,4th Excess
6th Excess,5th Excess
7th Excess,6th Excess
8th Excess,7th Excess
9th Excess,8th Excess
10th Excess,9th Excess
11th Excess,10th Excess
12th Excess,11th Excess
13th Excess,12th Excess
14th Excess,13th Excess
15th Excess,14th Excess
