Variable,Value
priced_to_lr,0.51
benchmark_lr,0.7
assumed_brokerage,0.15
min_revenue,1000
min_revenue_rate,1400
base_ded_min,1000
base_ded_lambda,0.075
base_ded_alpha,0.625
base_lim,1000000
