revenue_lb,revenue_ub,base_rate
0,100000,1300.0
100000,1500000,1750.0
1500000,5000000,2100.0
5000000,10000000,2400.0
10000000,15000000,2675.0
15000000,20000000,2925.0
20000000,25000000,3150.0
25000000,35000000,3500.0
35000000,50000000,3800.0
50000000,75000000,4100.0
75000000,100000000,4350.0
100000000,150000000,4800.0
150000000,250000000,5500.0
250000000,350000000,6000.0
350000000,500000000,6700.0
500000000,750000000,7800.0
750000000,1000000000,8800.0
1000000000,1250000000,9300.0
1250000000,1500000000,9800.0
1500000000,1750000000,10300.0
1750000000,2000000000,10800.0
2000000000,2250000000,11300.0
2250000000,2500000000,11800.0
2500000000,2750000000,12300.0
2750000000,3000000000,12800.0
3000000000,3250000000,13300.0
3250000000,3500000000,13800.0
3500000000,3750000000,14300.0
3750000000,4000000000,14800.0
4000000000,4250000000,15300.0
4250000000,4500000000,15800.0
4500000000,4750000000,16300.0
4750000000,5000000000,16800.0
5000000000,5250000000,17050.0
5250000000,5500000000,17300.0
5500000000,5750000000,17550.0
5750000000,6000000000,17800.0
6000000000,6250000000,18050.0
6250000000,6500000000,18300.0
6500000000,6750000000,18550.0
6750000000,7000000000,18800.0
7000000000,7250000000,19050.0
7250000000,7500000000,19300.0
7500000000,7750000000,19550.0
7750000000,8000000000,19800.0
8000000000,8250000000,20050.0
8250000000,8500000000,20300.0
8500000000,8750000000,20550.0
8750000000,9000000000,20800.0
9000000000,9250000000,21050.0
9250000000,9500000000,21300.0
9500000000,9750000000,21550.0
9750000000,10000000000,21800.0
10000000000,10250000000,21950.0
10250000000,10500000000,22100.0
10500000000,10750000000,22250.0
10750000000,11000000000,22400.0
11000000000,11250000000,22550.0
11250000000,11500000000,22700.0
11500000000,11750000000,22850.0
11750000000,12000000000,23000.0
12000000000,12250000000,23150.0
12250000000,12500000000,23300.0
12500000000,12750000000,23450.0
12750000000,13000000000,23600.0
13000000000,13250000000,23750.0
13250000000,13500000000,23900.0
13500000000,13750000000,24050.0
13750000000,14000000000,24200.0
14000000000,14250000000,24350.0
14250000000,14500000000,24500.0
14500000000,14750000000,24650.0
14750000000,15000000000,24800.0
15000000000,15250000000,24950.0
15250000000,15500000000,25100.0
15500000000,15750000000,25250.0
15750000000,16000000000,25400.0
16000000000,16250000000,25550.0
16250000000,16500000000,25700.0
16500000000,16750000000,25850.0
16750000000,17000000000,26000.0
17000000000,17250000000,26150.0
17250000000,17500000000,26300.0
17500000000,17750000000,26450.0
17750000000,18000000000,26600.0
18000000000,18250000000,26750.0
18250000000,18500000000,26900.0
18500000000,18750000000,27050.0
18750000000,19000000000,27200.0
19000000000,19250000000,27350.0
19250000000,19500000000,27500.0
19500000000,19750000000,27650.0
19750000000,20000000000,27800.0
20000000000,20250000000,27900.0
20250000000,20500000000,28000.0
20500000000,20750000000,28100.0
20750000000,21000000000,28200.0
21000000000,21250000000,28300.0
21250000000,21500000000,28400.0
21500000000,21750000000,28500.0
21750000000,22000000000,28600.0
22000000000,22250000000,28700.0
22250000000,22500000000,28800.0
22500000000,22750000000,28900.0
22750000000,23000000000,29000.0
23000000000,23250000000,29100.0
23250000000,23500000000,29200.0
23500000000,23750000000,29300.0
23750000000,24000000000,29400.0
24000000000,24250000000,29500.0
24250000000,24500000000,29600.0
24500000000,24750000000,29700.0
24750000000,25000000000,29800.0
25000000000,25250000000,29900.0
25250000000,25500000000,30000.0
25500000000,25750000000,30100.0
25750000000,26000000000,30200.0
26000000000,26250000000,30300.0
26250000000,26500000000,30400.0
26500000000,26750000000,30500.0
26750000000,27000000000,30600.0
27000000000,27250000000,30700.0
27250000000,27500000000,30800.0
27500000000,27750000000,30900.0
27750000000,28000000000,31000.0
28000000000,28250000000,31100.0
28250000000,28500000000,31200.0
28500000000,28750000000,31300.0
28750000000,29000000000,31400.0
29000000000,29250000000,31500.0
29250000000,29500000000,31600.0
29500000000,29750000000,31700.0
29750000000,30000000000,31800.0
30000000000,30250000000,31870.0
30250000000,30500000000,31940.0
30500000000,30750000000,32010.0
30750000000,31000000000,32080.0
31000000000,31250000000,32150.0
31250000000,31500000000,32220.0
31500000000,31750000000,32290.0
31750000000,32000000000,32360.0
32000000000,32250000000,32430.0
32250000000,32500000000,32500.0
32500000000,32750000000,32570.0
32750000000,33000000000,32640.0
33000000000,33250000000,32710.0
33250000000,33500000000,32780.0
33500000000,33750000000,32850.0
33750000000,34000000000,32920.0
34000000000,34250000000,32990.0
34250000000,34500000000,33060.0
34500000000,34750000000,33130.0
34750000000,35000000000,33200.0
35000000000,35250000000,33270.0
35250000000,35500000000,33340.0
35500000000,35750000000,33410.0
35750000000,36000000000,33480.0
36000000000,36250000000,33550.0
36250000000,36500000000,33620.0
36500000000,36750000000,33690.0
36750000000,37000000000,33760.0
37000000000,37250000000,33830.0
37250000000,37500000000,33900.0
37500000000,37750000000,33970.0
37750000000,38000000000,34040.0
38000000000,38250000000,34110.0
38250000000,38500000000,34180.0
38500000000,38750000000,34250.0
38750000000,39000000000,34320.0
39000000000,39250000000,34390.0
39250000000,39500000000,34460.0
39500000000,39750000000,34530.0
39750000000,40000000000,34600.0
40000000000,40250000000,34650.0
40250000000,40500000000,34700.0
40500000000,40750000000,34750.0
40750000000,41000000000,34800.0
41000000000,41250000000,34850.0
41250000000,41500000000,34900.0
41500000000,41750000000,34950.0
41750000000,42000000000,35000.0
42000000000,42250000000,35050.0
42250000000,42500000000,35100.0
42500000000,42750000000,35150.0
42750000000,43000000000,35200.0
43000000000,43250000000,35250.0
43250000000,43500000000,35300.0
43500000000,43750000000,35350.0
43750000000,44000000000,35400.0
44000000000,44250000000,35450.0
44250000000,44500000000,35500.0
44500000000,44750000000,35550.0
44750000000,45000000000,35600.0
45000000000,45250000000,35650.0
45250000000,45500000000,35700.0
45500000000,45750000000,35750.0
45750000000,46000000000,35800.0
46000000000,46250000000,35850.0
46250000000,46500000000,35900.0
46500000000,46750000000,35950.0
46750000000,47000000000,36000.0
47000000000,47250000000,36050.0
47250000000,47500000000,36100.0
47500000000,47750000000,36150.0
47750000000,48000000000,36200.0
48000000000,48250000000,36250.0
48250000000,48500000000,36300.0
48500000000,48750000000,36350.0
48750000000,49000000000,36400.0
49000000000,49250000000,36450.0
49250000000,49500000000,36500.0
49500000000,49750000000,36550.0
49750000000,50000000000,36600.0
