account_scoring_label,account_scoring_name
Financials Quality,financials_quality
Claims Handling,claims_handling
Claims Experience,claims_experience
Jurisdiction / Venue,jurisdiction_venue
Wordings,wordings
Level of Service,level_of_service
Knowledge of Account / Risk,knowledge_of_account
NFP / GOV / FP,nfp_gov_fp
Broker,broker
Corporate Integrity,corporate_integrity
