class_exposure_measure,product,class,exposure_measure_agg_group,exposure_measure,base_rate,format,formatted_base_rate
Healthcare Staffing // PT/OT/ST - Low Acuity,Misc Med,Healthcare Staffing,People,PT/OT/ST - Low Acuity,200.0,Number with comma separator,200
Healthcare Staffing // Medical Assistants/Technicians - High Acuity,Misc Med,Healthcare Staffing,People,Medical Assistants/Technicians - High Acuity,200.0,Number with comma separator,200
Healthcare Staffing // Medical Assistants/Technicians - Low Acuity,Misc Med,Healthcare Staffing,People,Medical Assistants/Technicians - Low Acuity,175.0,Number with comma separator,175
Healthcare Staffing // CNAs/Assistants - High Acuity,Misc Med,Healthcare Staffing,People,CNAs/Assistants - High Acuity,190.0,Number with comma separator,190
Healthcare Staffing // CNAs/Assistants - Low Acuity,Misc Med,Healthcare Staffing,People,CNAs/Assistants - Low Acuity,150.0,Number with comma separator,150
Home Healthcare // Receipts - Non-medical,Misc Med,Home Healthcare,Receipts,Receipts - Non-medical,0.0025,4 decimal places,0.0025
Home Healthcare // Receipts - Medical/Skilled ,Misc Med,Home Healthcare,Receipts,Receipts - Medical/Skilled ,0.006,4 decimal places,0.006
Home Healthcare // Visits - Non-medical,Misc Med,Home Healthcare,Visits,Visits - Non-medical,0.2,2 decimal places,0.2
Home Healthcare // Visits - Medical/Skilled ,Misc Med,Home Healthcare,Visits,Visits - Medical/Skilled ,0.35,2 decimal places,0.35
Home Healthcare // Mid-Level Providers NP/PA,Misc Med,Home Healthcare,People,Mid-Level Providers NP/PA,1050.0,Number with comma separator,"1,050"
Home Healthcare // Nurses,Misc Med,Home Healthcare,People,Nurses,450.0,Number with comma separator,450
Home Healthcare // Respiratory Therapists,Misc Med,Home Healthcare,People,Respiratory Therapists,350.0,Number with comma separator,350
Home Healthcare // Physical Therapists,Misc Med,Home Healthcare,People,Physical Therapists,250.0,Number with comma separator,250
Home Healthcare // Occupational Therapists,Misc Med,Home Healthcare,People,Occupational Therapists,200.0,Number with comma separator,200
Home Healthcare // Speech Therapists,Misc Med,Home Healthcare,People,Speech Therapists,200.0,Number with comma separator,200
Home Healthcare // CNAs/Assistants ,Misc Med,Home Healthcare,People,CNAs/Assistants ,150.0,Number with comma separator,150
Home Healthcare // Home Health Aides,Misc Med,Home Healthcare,People,Home Health Aides,150.0,Number with comma separator,150
Home Healthcare // Companions/Sitters/Homemakers (non-medical),Misc Med,Home Healthcare,People,Companions/Sitters/Homemakers (non-medical),100.0,Number with comma separator,100
Hospice Care // Receipts,Misc Med,Hospice Care,Receipts,Receipts,0.002,4 decimal places,0.002
Hospice Care // Beds,Misc Med,Hospice Care,Beds,Beds,350.0,Number with comma separator,350
Hospice Care // Visits,Misc Med,Hospice Care,Visits,Visits,0.25,2 decimal places,0.25
Hospice Care // Doctors,Misc Med,Hospice Care,Doctors,Doctors,2000.0,Number with comma separator,"2,000"
Hospice Care // Mid-Level Providers NP/PA,Misc Med,Hospice Care,People,Mid-Level Providers NP/PA,1050.0,Number with comma separator,"1,050"
Hospice Care // Nurses,Misc Med,Hospice Care,People,Nurses,450.0,Number with comma separator,450
Hospice Care // Medical Directors,Misc Med,Hospice Care,People,Medical Directors,1000.0,Number with comma separator,"1,000"
Hospital - LTAC/TBI // Receipts,Misc Med,Hospital - LTAC/TBI,Receipts,Receipts,0.0025,4 decimal places,0.0025
Hospital - LTAC/TBI // Beds,Misc Med,Hospital - LTAC/TBI,Beds,Beds,1200.0,Number with comma separator,"1,200"
Hospital - LTAC/TBI // Visits,Misc Med,Hospital - LTAC/TBI,Visits,Visits,0.45,2 decimal places,0.45
Hospital - LTAC/TBI // Doctors - High Acuity,Misc Med,Hospital - LTAC/TBI,Doctors,Doctors - High Acuity,10000.0,Number with comma separator,"10,000"
Hospital - LTAC/TBI // Doctors - Low Acuity,Misc Med,Hospital - LTAC/TBI,Doctors,Doctors - Low Acuity,3500.0,Number with comma separator,"3,500"
Hospital - LTAC/TBI // Mid-Level Providers NP/PA,Misc Med,Hospital - LTAC/TBI,People,Mid-Level Providers NP/PA,1050.0,Number with comma separator,"1,050"
Hospital - LTAC/TBI // Physical Therapists,Misc Med,Hospital - LTAC/TBI,People,Physical Therapists,250.0,Number with comma separator,250
Hospital - LTAC/TBI // Physical Therapist Assistants,Misc Med,Hospital - LTAC/TBI,People,Physical Therapist Assistants,150.0,Number with comma separator,150
Hospital - LTAC/TBI // Occupational Therapists,Misc Med,Hospital - LTAC/TBI,People,Occupational Therapists,200.0,Number with comma separator,200
Hospital - LTAC/TBI // Occupational Therapist Assistants,Misc Med,Hospital - LTAC/TBI,People,Occupational Therapist Assistants,125.0,Number with comma separator,125
Hospital - LTAC/TBI // Speech Therapists,Misc Med,Hospital - LTAC/TBI,People,Speech Therapists,200.0,Number with comma separator,200
Hospital - LTAC/TBI // Athletic Trainers,Misc Med,Hospital - LTAC/TBI,People,Athletic Trainers,200.0,Number with comma separator,200
Hospital - LTAC/TBI // Nurses,Misc Med,Hospital - LTAC/TBI,People,Nurses,450.0,Number with comma separator,450
Humanitarian Relief Organizations // Receipts,Misc Med,Humanitarian Relief Organizations,Receipts,Receipts,0.0015,4 decimal places,0.0015
Humanitarian Relief Organizations // Beds,Misc Med,Humanitarian Relief Organizations,Beds,Beds,450.0,Number with comma separator,450
Humanitarian Relief Organizations // Visits,Misc Med,Humanitarian Relief Organizations,Visits,Visits,0.5,2 decimal places,0.5
Humanitarian Relief Organizations // Surgeries,Misc Med,Humanitarian Relief Organizations,Procedures,Surgeries,1.5,2 decimal places,1.5
Humanitarian Relief Organizations // Doctors,Misc Med,Humanitarian Relief Organizations,Doctors,Doctors,1000.0,Number with comma separator,"1,000"
Humanitarian Relief Organizations // Mid-Level Providers NP/PA,Misc Med,Humanitarian Relief Organizations,People,Mid-Level Providers NP/PA,750.0,Number with comma separator,750
Humanitarian Relief Organizations // Nurses,Misc Med,Humanitarian Relief Organizations,People,Nurses,250.0,Number with comma separator,250
Imaging & X-Ray // Receipts,Misc Med,Imaging & X-Ray,Receipts,Receipts,0.005,4 decimal places,0.005
Imaging & X-Ray // Bone Density,Misc Med,Imaging & X-Ray,Procedures,Bone Density,0.25,2 decimal places,0.25
Imaging & X-Ray // CT Scans,Misc Med,Imaging & X-Ray,Procedures,CT Scans,2.0,2 decimal places,2
Imaging & X-Ray // EchoCardiogram/EKG,Misc Med,Imaging & X-Ray,Procedures,EchoCardiogram/EKG,1.0,2 decimal places,1
Imaging & X-Ray // Gamma Ray Camera,Misc Med,Imaging & X-Ray,Procedures,Gamma Ray Camera,2.5,2 decimal places,2.5
Imaging & X-Ray // Mammogram,Misc Med,Imaging & X-Ray,Procedures,Mammogram,3.0,2 decimal places,3
Imaging & X-Ray // MRIs,Misc Med,Imaging & X-Ray,Procedures,MRIs,1.5,2 decimal places,1.5
Imaging & X-Ray // Nuclear,Misc Med,Imaging & X-Ray,Procedures,Nuclear,2.5,2 decimal places,2.5
Imaging & X-Ray // PET Scans,Misc Med,Imaging & X-Ray,Procedures,PET Scans,2.5,2 decimal places,2.5
Imaging & X-Ray // Ultrasounds,Misc Med,Imaging & X-Ray,Procedures,Ultrasounds,1.0,2 decimal places,1
Imaging & X-Ray // X-rays,Misc Med,Imaging & X-Ray,Procedures,X-rays,0.9,2 decimal places,0.9
Imaging & X-Ray // Doctors,Misc Med,Imaging & X-Ray,Doctors,Doctors,3500.0,Number with comma separator,"3,500"
Imaging & X-Ray // Radiologists,Misc Med,Imaging & X-Ray,Doctors,Radiologists,15000.0,Number with comma separator,"15,000"
Imaging & X-Ray // Mid-Level Providers NP/PA,Misc Med,Imaging & X-Ray,People,Mid-Level Providers NP/PA,1050.0,Number with comma separator,"1,050"
Imaging & X-Ray // Nurses,Misc Med,Imaging & X-Ray,People,Nurses,450.0,Number with comma separator,450
Imaging & X-Ray // Imaging Techs,Misc Med,Imaging & X-Ray,People,Imaging Techs,250.0,Number with comma separator,250
Inpatient - Alcohol & Drug Rehabilitation // Receipts,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,Receipts,Receipts,0.0075,4 decimal places,0.0075
Inpatient - Alcohol & Drug Rehabilitation // Beds - Independent Living,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,Beds,Beds - Independent Living,300.0,Number with comma separator,300
Inpatient - Alcohol & Drug Rehabilitation // Beds - Intermediate,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,Beds,Beds - Intermediate,650.0,Number with comma separator,650
Inpatient - Alcohol & Drug Rehabilitation // Beds - Detox,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,Beds,Beds - Detox,1000.0,Number with comma separator,"1,000"
Inpatient - Alcohol & Drug Rehabilitation // Visits ,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,Visits ,Visits ,1.0,2 decimal places,1
Inpatient - Alcohol & Drug Rehabilitation // Doses - Methadone ,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,Visits ,Doses - Methadone ,0.1,2 decimal places,0.1
Inpatient - Alcohol & Drug Rehabilitation // Doctors,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,Doctors,Doctors,3500.0,Number with comma separator,"3,500"
Inpatient - Alcohol & Drug Rehabilitation // Psychologists,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,People,Psychologists,1050.0,Number with comma separator,"1,050"
Inpatient - Alcohol & Drug Rehabilitation // Mid-Level Providers NP/PA,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,People,Mid-Level Providers NP/PA,1050.0,Number with comma separator,"1,050"
Inpatient - Alcohol & Drug Rehabilitation // Nurses,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,People,Nurses,450.0,Number with comma separator,450
Inpatient - Alcohol & Drug Rehabilitation // Addiction Counselors/Interventionists,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,People,Addiction Counselors/Interventionists,350.0,Number with comma separator,350
Inpatient - Alcohol & Drug Rehabilitation // Social Workers/Counselors,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,People,Social Workers/Counselors,350.0,Number with comma separator,350
Inpatient - Mental Health/Psychiatric // Receipts,Misc Med,Inpatient - Mental Health/Psychiatric,Receipts,Receipts,0.0225,4 decimal places,0.0225
Inpatient - Mental Health/Psychiatric // Beds,Misc Med,Inpatient - Mental Health/Psychiatric,Beds,Beds,3000.0,Number with comma separator,"3,000"
Inpatient - Mental Health/Psychiatric // Visits,Misc Med,Inpatient - Mental Health/Psychiatric,Visits,Visits,2.25,2 decimal places,2.25
Inpatient - Mental Health/Psychiatric // Doctors,Misc Med,Inpatient - Mental Health/Psychiatric,Doctors,Doctors,7500.0,Number with comma separator,"7,500"
Inpatient - Mental Health/Psychiatric // Psychiatrists,Misc Med,Inpatient - Mental Health/Psychiatric,Doctors,Psychiatrists,3500.0,Number with comma separator,"3,500"
Inpatient - Mental Health/Psychiatric // Psychologists,Misc Med,Inpatient - Mental Health/Psychiatric,People,Psychologists,1050.0,Number with comma separator,"1,050"
Inpatient - Mental Health/Psychiatric // Mid-Level Providers NP/PA,Misc Med,Inpatient - Mental Health/Psychiatric,People,Mid-Level Providers NP/PA,1050.0,Number with comma separator,"1,050"
Inpatient - Mental Health/Psychiatric // Nurses,Misc Med,Inpatient - Mental Health/Psychiatric,People,Nurses,450.0,Number with comma separator,450
Inpatient - Mental Health/Psychiatric // Social Workers/Counselors,Misc Med,Inpatient - Mental Health/Psychiatric,People,Social Workers/Counselors,350.0,Number with comma separator,350
Inpatient - Mental Health/Psychiatric // Case Management/Case Workers,Misc Med,Inpatient - Mental Health/Psychiatric,People,Case Management/Case Workers,250.0,Number with comma separator,250
Inpatient - Troubled Youth // Receipts,Misc Med,Inpatient - Troubled Youth,Receipts,Receipts,0.01,4 decimal places,0.01
Inpatient - Troubled Youth // Visits,Misc Med,Inpatient - Troubled Youth,Visits,Visits,2.25,2 decimal places,2.25
Inpatient - Troubled Youth // Daily Census - Detention Centers,Misc Med,Inpatient - Troubled Youth,Beds,Daily Census - Detention Centers,350.0,Number with comma separator,350
Inpatient - Troubled Youth // Beds - Facilities,Misc Med,Inpatient - Troubled Youth,Beds,Beds - Facilities,2000.0,Number with comma separator,"2,000"
Inpatient - Troubled Youth // Psychiatrists,Misc Med,Inpatient - Troubled Youth,Doctors,Psychiatrists,3500.0,Number with comma separator,"3,500"
Inpatient - Troubled Youth // Psychologists,Misc Med,Inpatient - Troubled Youth,People,Psychologists,1050.0,Number with comma separator,"1,050"
Inpatient - Troubled Youth // Mid-Level Providers NP/PA,Misc Med,Inpatient - Troubled Youth,People,Mid-Level Providers NP/PA,1050.0,Number with comma separator,"1,050"
Inpatient - Troubled Youth // Nurses,Misc Med,Inpatient - Troubled Youth,People,Nurses,450.0,Number with comma separator,450
Inpatient - Troubled Youth // Social Workers,Misc Med,Inpatient - Troubled Youth,People,Social Workers,350.0,Number with comma separator,350
Inpatient - Troubled Youth // Case Management/Case Workers,Misc Med,Inpatient - Troubled Youth,People,Case Management/Case Workers,250.0,Number with comma separator,250
Laboratories // Receipts - Chemistry,Misc Med,Laboratories,Receipts,Receipts - Chemistry,0.002,4 decimal places,0.002
Laboratories // Receipts - DNA (Ancestry) Testing,Misc Med,Laboratories,Receipts,Receipts - DNA (Ancestry) Testing,0.0015,4 decimal places,0.0015
Laboratories // Receipts - DNA (Diagnostic) Testing,Misc Med,Laboratories,Receipts,Receipts - DNA (Diagnostic) Testing,0.0035,4 decimal places,0.0035
Laboratories // Receipts - Drug Testing,Misc Med,Laboratories,Receipts,Receipts - Drug Testing,0.005,4 decimal places,0.005
Laboratories // Receipts - Fertility Testing,Misc Med,Laboratories,Receipts,Receipts - Fertility Testing,0.0015,4 decimal places,0.0015
Laboratories // Receipts - Genetic Testing,Misc Med,Laboratories,Receipts,Receipts - Genetic Testing,0.01,4 decimal places,0.01
Laboratories // Receipts - Pathology,Misc Med,Laboratories,Receipts,Receipts - Pathology,0.006,4 decimal places,0.006
Laboratories // Receipts - Specimen Collection Only,Misc Med,Laboratories,Receipts,Receipts - Specimen Collection Only,0.001,4 decimal places,0.001
Laboratories // Receipts - All Other,Misc Med,Laboratories,Receipts,Receipts - All Other,0.003,4 decimal places,0.003
Laboratories // Tests - Chemistry ,Misc Med,Laboratories,Procedures,Tests - Chemistry ,0.15,2 decimal places,0.15
Laboratories // Tests - DNA (Ancestry),Misc Med,Laboratories,Procedures,Tests - DNA (Ancestry),0.2,2 decimal places,0.2
Laboratories // Tests - DNA (Diagnostic) ,Misc Med,Laboratories,Procedures,Tests - DNA (Diagnostic) ,0.4,2 decimal places,0.4
Laboratories // Tests - Drug Testing,Misc Med,Laboratories,Procedures,Tests - Drug Testing,0.4,2 decimal places,0.4
Laboratories // Tests - Fertility Testing,Misc Med,Laboratories,Procedures,Tests - Fertility Testing,0.2,2 decimal places,0.2
Laboratories // Tests - Genetic Testing,Misc Med,Laboratories,Procedures,Tests - Genetic Testing,1.0,2 decimal places,1
Laboratories // Tests - Pathology,Misc Med,Laboratories,Procedures,Tests - Pathology,0.5,2 decimal places,0.5
Laboratories // Tests - All Other,Misc Med,Laboratories,Procedures,Tests - All Other,0.1,2 decimal places,0.1
Laboratories // Doctors - High Acuity,Misc Med,Laboratories,Doctors,Doctors - High Acuity,15000.0,Number with comma separator,"15,000"
Laboratories // Doctors - Low Acuity,Misc Med,Laboratories,Doctors,Doctors - Low Acuity,1000.0,Number with comma separator,"1,000"
Laboratories // Mid-Level Providers NP/PA,Misc Med,Laboratories,People,Mid-Level Providers NP/PA,1050.0,Number with comma separator,"1,050"
Laboratories // Nurses,Misc Med,Laboratories,People,Nurses,450.0,Number with comma separator,450
Laboratories // Lab Technicians,Misc Med,Laboratories,People,Lab Technicians,175.0,Number with comma separator,175
Locum Tenens/Physician Staffing // Class 1A,Misc Med,Locum Tenens/Physician Staffing,Doctors,Class 1A,8985.0,Number with comma separator,"8,985"
Locum Tenens/Physician Staffing // Class 1,Misc Med,Locum Tenens/Physician Staffing,Doctors,Class 1,11220.0,Number with comma separator,"11,220"
Locum Tenens/Physician Staffing // Class 2,Misc Med,Locum Tenens/Physician Staffing,Doctors,Class 2,16785.0,Number with comma separator,"16,785"
Locum Tenens/Physician Staffing // Class 3,Misc Med,Locum Tenens/Physician Staffing,Doctors,Class 3,22440.0,Number with comma separator,"22,440"
Locum Tenens/Physician Staffing // Class 4,Misc Med,Locum Tenens/Physician Staffing,Doctors,Class 4,28035.0,Number with comma separator,"28,035"
Locum Tenens/Physician Staffing // Class 5A,Misc Med,Locum Tenens/Physician Staffing,Doctors,Class 5A,31500.0,Number with comma separator,"31,500"
Locum Tenens/Physician Staffing // Class 5,Misc Med,Locum Tenens/Physician Staffing,Doctors,Class 5,44850.0,Number with comma separator,"44,850"
Locum Tenens/Physician Staffing // Class 6,Misc Med,Locum Tenens/Physician Staffing,Doctors,Class 6,58305.0,Number with comma separator,"58,305"
Locum Tenens/Physician Staffing // Class 7,Misc Med,Locum Tenens/Physician Staffing,Doctors,Class 7,69510.0,Number with comma separator,"69,510"
Locum Tenens/Physician Staffing // Class 8,Misc Med,Locum Tenens/Physician Staffing,Doctors,Class 8,91950.0,Number with comma separator,"91,950"
Locum Tenens/Physician Staffing // CRNA,Misc Med,Locum Tenens/Physician Staffing,Doctors,CRNA,8500.0,Number with comma separator,"8,500"
Locum Tenens/Physician Staffing // Mid-Level Providers NP/PA,Misc Med,Locum Tenens/Physician Staffing,Doctors,Mid-Level Providers NP/PA,3495.0,Number with comma separator,"3,495"
Locum Tenens/Physician Staffing // Mid-Level Providers NP/PA - Emergency Room,Misc Med,Locum Tenens/Physician Staffing,Doctors,Mid-Level Providers NP/PA - Emergency Room,7650.0,Number with comma separator,"7,650"
Long-term Care // Receipts - Skilled Care,Misc Med,Long-term Care,Receipts,Receipts - Skilled Care,0.0045,4 decimal places,0.0045
Long-term Care // Receipts - Intermediate Care,Misc Med,Long-term Care,Receipts,Receipts - Intermediate Care,0.0027,4 decimal places,0.0027
Long-term Care // Receipts - Residential Care,Misc Med,Long-term Care,Receipts,Receipts - Residential Care,0.0016,4 decimal places,0.0016
Long-term Care // Receipts - Independent Living,Misc Med,Long-term Care,Receipts,Receipts - Independent Living,0.0011,4 decimal places,0.0011
Long-term Care // Beds - Skilled Care,Misc Med,Long-term Care,Beds,Beds - Skilled Care,3000.0,Number with comma separator,"3,000"
Long-term Care // Beds - Intermediate Care,Misc Med,Long-term Care,Beds,Beds - Intermediate Care,1800.0,Number with comma separator,"1,800"
Long-term Care // Beds - Residential Care,Misc Med,Long-term Care,Beds,Beds - Residential Care,1050.0,Number with comma separator,"1,050"
Long-term Care // Beds - Independent Living,Misc Med,Long-term Care,Beds,Beds - Independent Living,750.0,Number with comma separator,750
Long-term Care // Doctors,Misc Med,Long-term Care,Doctors,Doctors,3000.0,Number with comma separator,"3,000"
Long-term Care // Nurses,Misc Med,Long-term Care,People,Nurses,450.0,Number with comma separator,450
Long-term Care // Care Aides,Misc Med,Long-term Care,People,Care Aides,300.0,Number with comma separator,300
Medi Spas // Receipts - Medical Spa,Misc Med,Medi Spas,Receipts,Receipts - Medical Spa,0.0035,4 decimal places,0.0035
Medi Spas // Receipts - Day Spa/Beauty Salon,Misc Med,Medi Spas,Receipts,Receipts - Day Spa/Beauty Salon,0.0015,4 decimal places,0.0015
Medi Spas // Procedures - Day Spa Only,Misc Med,Medi Spas,Procedures,Procedures - Day Spa Only,0.25,2 decimal places,0.25
Medi Spas // Procedures - High Acuity ,Misc Med,Medi Spas,Procedures,Procedures - High Acuity ,3.5,2 decimal places,3.5
Medi Spas // Procedures - Medium Acuity ,Misc Med,Medi Spas,Procedures,Procedures - Medium Acuity ,1.5,2 decimal places,1.5
Medi Spas // Procedures - Low Acuity,Misc Med,Medi Spas,Procedures,Procedures - Low Acuity,1.0,2 decimal places,1
Medi Spas // Doctors,Misc Med,Medi Spas,Doctors,Doctors,2500.0,Number with comma separator,"2,500"
Medi Spas // Nurses,Misc Med,Medi Spas,People,Nurses,450.0,Number with comma separator,450
Medi Spas // Aestheticians,Misc Med,Medi Spas,People,Aestheticians,300.0,Number with comma separator,300
Medi Spas // Massage Therapists,Misc Med,Medi Spas,People,Massage Therapists,200.0,Number with comma separator,200
Medi Spas // Medical Assistants/Technicians,Misc Med,Medi Spas,People,Medical Assistants/Technicians,175.0,Number with comma separator,175
Medi Spas // Beauticians/Barbers,Misc Med,Medi Spas,People,Beauticians/Barbers,150.0,Number with comma separator,150
Medical Cannabis // Receipts,Misc Med,Medical Cannabis,Receipts,Receipts,0.0015,4 decimal places,0.0015
Military Medicine // Receipts,Misc Med,Military Medicine,Receipts,Receipts,0.0025,4 decimal places,0.0025
Military Medicine // Visits - Military Member,Misc Med,Military Medicine,Visits,Visits - Military Member,0.45,2 decimal places,0.45
Military Medicine // Visits - Other,Misc Med,Military Medicine,Visits,Visits - Other,0.65,2 decimal places,0.65
Military Medicine // Doctors,Misc Med,Military Medicine,Doctors,Doctors,2500.0,Number with comma separator,"2,500"
Military Medicine // Mid-Level Providers NP/PA,Misc Med,Military Medicine,People,Mid-Level Providers NP/PA,1050.0,Number with comma separator,"1,050"
Military Medicine // Pharmacists,Misc Med,Military Medicine,People,Pharmacists,500.0,Number with comma separator,500
Military Medicine // Nurses ,Misc Med,Military Medicine,People,Nurses ,450.0,Number with comma separator,450
Military Medicine // Social Workers/Counselors,Misc Med,Military Medicine,People,Social Workers/Counselors,250.0,Number with comma separator,250
Military Medicine // CNAs/Assistants ,Misc Med,Military Medicine,People,CNAs/Assistants ,150.0,Number with comma separator,150
Military Medicine // Medical Assistants/Technicians,Misc Med,Military Medicine,People,Medical Assistants/Technicians,175.0,Number with comma separator,175
Occupational Healthcare // Receipts,Misc Med,Occupational Healthcare,Receipts,Receipts,0.002,4 decimal places,0.002
Occupational Healthcare // Visits - Primary,Misc Med,Occupational Healthcare,Visits,Visits - Primary,0.55,2 decimal places,0.55
Occupational Healthcare // Visits - Clinical,Misc Med,Occupational Healthcare,Visits,Visits - Clinical,0.1,2 decimal places,0.1
Occupational Healthcare // Visits - Specialty,Misc Med,Occupational Healthcare,Visits,Visits - Specialty,2.0,2 decimal places,2
Occupational Healthcare // Visits - Urgent/Emergent,Misc Med,Occupational Healthcare,Visits,Visits - Urgent/Emergent,0.95,2 decimal places,0.95
Occupational Healthcare // Visits - Therapy (PT/OT/ST),Misc Med,Occupational Healthcare,Visits,Visits - Therapy (PT/OT/ST),0.25,2 decimal places,0.25
Occupational Healthcare // Drug Tests,Misc Med,Occupational Healthcare,Procedures,Drug Tests,0.35,2 decimal places,0.35
Occupational Healthcare // Doctors - High Acuity,Misc Med,Occupational Healthcare,Doctors,Doctors - High Acuity,10000.0,Number with comma separator,"10,000"
Occupational Healthcare // Doctors - Low Acuity,Misc Med,Occupational Healthcare,Doctors,Doctors - Low Acuity,3500.0,Number with comma separator,"3,500"
Occupational Healthcare // Nurses,Misc Med,Occupational Healthcare,People,Nurses,450.0,Number with comma separator,450
Occupational Healthcare // Physical Therapists,Misc Med,Occupational Healthcare,People,Physical Therapists,250.0,Number with comma separator,250
Occupational Healthcare // Physical Therapist Assistants,Misc Med,Occupational Healthcare,People,Physical Therapist Assistants,150.0,Number with comma separator,150
Occupational Healthcare // Occupational Therapists,Misc Med,Occupational Healthcare,People,Occupational Therapists,200.0,Number with comma separator,200
Occupational Healthcare // Occupational Therapist Assistants,Misc Med,Occupational Healthcare,People,Occupational Therapist Assistants,125.0,Number with comma separator,125
Occupational Healthcare // Speech Therapists,Misc Med,Occupational Healthcare,People,Speech Therapists,200.0,Number with comma separator,200
Outpatient - Alcohol & Drug Rehabilitation // Receipts,Misc Med,Outpatient - Alcohol & Drug Rehabilitation,Receipts,Receipts,0.003,4 decimal places,0.003
Outpatient - Alcohol & Drug Rehabilitation // Visits ,Misc Med,Outpatient - Alcohol & Drug Rehabilitation,Visits,Visits ,0.65,2 decimal places,0.65
Outpatient - Alcohol & Drug Rehabilitation // Doses - Methadone ,Misc Med,Outpatient - Alcohol & Drug Rehabilitation,Procedures,Doses - Methadone ,0.25,2 decimal places,0.25
Outpatient - Alcohol & Drug Rehabilitation // Doctors,Misc Med,Outpatient - Alcohol & Drug Rehabilitation,Doctors,Doctors,3500.0,Number with comma separator,"3,500"
Outpatient - Alcohol & Drug Rehabilitation // Psychologists,Misc Med,Outpatient - Alcohol & Drug Rehabilitation,People,Psychologists,1050.0,Number with comma separator,"1,050"
Outpatient - Alcohol & Drug Rehabilitation // Mid-Level Providers NP/PA,Misc Med,Outpatient - Alcohol & Drug Rehabilitation,People,Mid-Level Providers NP/PA,1050.0,Number with comma separator,"1,050"
Outpatient - Alcohol & Drug Rehabilitation // Nurses,Misc Med,Outpatient - Alcohol & Drug Rehabilitation,People,Nurses,450.0,Number with comma separator,450
Outpatient - Alcohol & Drug Rehabilitation // Addiction Counselors/Interventionists,Misc Med,Outpatient - Alcohol & Drug Rehabilitation,People,Addiction Counselors/Interventionists,350.0,Number with comma separator,350
Outpatient - Mental Health // Receipts,Misc Med,Outpatient - Mental Health,Receipts,Receipts,0.006,4 decimal places,0.006
Outpatient - Mental Health // Visits,Misc Med,Outpatient - Mental Health,Visits,Visits,0.95,2 decimal places,0.95
Outpatient - Mental Health // Clients,Misc Med,Outpatient - Mental Health,Clients,Clients,35.0,0 decimal places,35
Outpatient - Mental Health // Psychiatrists,Misc Med,Outpatient - Mental Health,Doctors,Psychiatrists,3500.0,Number with comma separator,"3,500"
Outpatient - Mental Health // Psychologists,Misc Med,Outpatient - Mental Health,People,Psychologists,1050.0,Number with comma separator,"1,050"
Outpatient - Mental Health // Occupational/Speech/Physical Therapists,Misc Med,Outpatient - Mental Health,People,Occupational/Speech/Physical Therapists,250.0,Number with comma separator,250
Outpatient - Mental Health // Nurses,Misc Med,Outpatient - Mental Health,People,Nurses,450.0,Number with comma separator,450
Outpatient - Mental Health // Social Workers/Counselors,Misc Med,Outpatient - Mental Health,People,Social Workers/Counselors,350.0,Number with comma separator,350
Outpatient - Mental Health // Case Management/Case Workers,Misc Med,Outpatient - Mental Health,People,Case Management/Case Workers,250.0,Number with comma separator,250
Outpatient - Troubled Youth // Receipts,Misc Med,Outpatient - Troubled Youth,Receipts,Receipts,0.006,4 decimal places,0.006
Outpatient - Troubled Youth // Visits,Misc Med,Outpatient - Troubled Youth,Visits,Visits,0.85,2 decimal places,0.85
Pharmacy/Infusion Services // Receipts - Retail/Mail Order/Closed Door,Misc Med,Pharmacy/Infusion Services,Receipts,Receipts - Retail/Mail Order/Closed Door,0.00075,4 decimal places,0.00075
Pharmacy/Infusion Services // Receipts - Specialty ,Misc Med,Pharmacy/Infusion Services,Receipts,Receipts - Specialty ,0.00175,4 decimal places,0.00175
Pharmacy/Infusion Services // Receipts - Compounding Low Acuity,Misc Med,Pharmacy/Infusion Services,Receipts,Receipts - Compounding Low Acuity,0.001,4 decimal places,0.001
Pharmacy/Infusion Services // Receipts - Compounding Medium Acuity ,Misc Med,Pharmacy/Infusion Services,Receipts,Receipts - Compounding Medium Acuity ,0.002,4 decimal places,0.002
Pharmacy/Infusion Services // Receipts - Compounding High Acuity,Misc Med,Pharmacy/Infusion Services,Receipts,Receipts - Compounding High Acuity,0.0035,4 decimal places,0.0035
Pharmacy/Infusion Services // Receipts - DME,Misc Med,Pharmacy/Infusion Services,Receipts,Receipts - DME,0.005,4 decimal places,0.005
Pharmacy/Infusion Services // Scripts - Retail/Mail Order/Closed Door,Misc Med,Pharmacy/Infusion Services,Scripts,Scripts - Retail/Mail Order/Closed Door,0.1,2 decimal places,0.1
Pharmacy/Infusion Services // Scripts - Specialty  ,Misc Med,Pharmacy/Infusion Services,Scripts,Scripts - Specialty  ,0.25,2 decimal places,0.25
