agg_to_eel_ratio,factor
0,1.0
1,1.0
2,1.05555555555556
3,1.11111111111111
4,1.13333333333333
5,1.15555555555556
10,1.22222222222222
15,1.26268981417481
20,1.2909146219498
30,1.33069525422308
