us_international,product,class,product_liability,eo,healthcare_professional_liability,general_liability,sexual_abuse,employee_benefits_liability,employers_liability,well_tech_eo_media,product_recall,stop_gap,tria,punitive_damages
US,NutraGuard,Nutra - Other Low,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,NutraGuard,Nutra - Other Middle,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,NutraGuard,Personal Care Products (Incl. Cosmetics),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,NutraGuard,Protein,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,NutraGuard,Sexual Enhancement,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,NutraGuard,Topicals,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,NutraGuard,Veterinary Supplements,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,NutraGuard,Vitamins/Minerals,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,NutraGuard,Weight Loss/Body Building/Sport Nutrition,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
International,BioSecure,Biological Product (Except Diagnostic) (2836),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Hormones & Steroids,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Imaging Agents,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Over the Counter (OTC),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Prescription Injectables/Oral,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Prescription Topicals,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Pharmaceuticals - Other High,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Pharmaceuticals - Other Low,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Pharmaceuticals - Other Medium,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Vaccine - Killed Virus,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Vaccine - Live Virus,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Veterinary Prescription,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Organs,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Tissue/Bone,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Blood Products,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Clinical Research - Other High,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Clinical Research - Other Low,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Clinical Research - Other Medium,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Clinical Revenues,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Preclinical Revenues,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,R&D in Biotechnology (8732),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Consumable Medical Products/Supplies,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Dental Appliances (Non-Implantable),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Electromedical / Therapeutic Apparatus (3845),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Implants - Active,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Implants - Non-Active,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Lasers - Dermatology,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Lasers - Ophthalmology,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Lasers - Surgical / Electromedical Light Therapy,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Mobility Equipment,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Medical Devices - Other High,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Medical Devices - Other Low,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Medical Devices - Other Medium,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,"Prosthetics, Orthotics, Artificial Limbs",1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Respirators (Not including ventilators),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Scientific and Laboratory Instruments,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Surgical Instruments - General,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Surgical Instruments - High Risk,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,X Ray Apparatus (3844),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Clinical Research Associates,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Clinical Research Coordinators,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Clinical Research Monitors,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Clinical Trials - Other,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Phase I ,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Phase II,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Phase III,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Phase IV / Observational,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Physicians,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Principal Investigators,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,BioSecure,Medical Cannabis,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Energy Drinks,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Food/Beverage (Excl Energy Drinks),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Herbs/Botanicals,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Immune/Digestive/Cardio/Joint Support,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Nutra - Other High,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Nutra - Other Low,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Nutra - Other Middle,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Personal Care Products (Incl. Cosmetics),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Protein,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Sexual Enhancement,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Topicals,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Veterinary Supplements,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Vitamins/Minerals,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
International,NutraGuard,Weight Loss/Body Building/Sport Nutrition,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.0,0.05
