us_international,product,class,product_liability,eo,healthcare_professional_liability,general_liability,sexual_abuse,employee_benefits_liability,employers_liability,well_tech_eo_media,product_recall,stop_gap,tria,punitive_damages
US,BioSecure,Biological Product (Except Diagnostic) (2836),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Hormones & Steroids,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Imaging Agents,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Over the Counter (OTC),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Prescription Injectables/Oral,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Prescription Topicals,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Pharmaceuticals - Other High,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Pharmaceuticals - Other Low,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Pharmaceuticals - Other Medium,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Vaccine - Killed Virus,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Vaccine - Live Virus,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Veterinary Prescription,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Organs,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Tissue/Bone,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Blood Products,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Clinical Research - Other High,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Clinical Research - Other Low,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Clinical Research - Other Medium,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Clinical Revenues,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Preclinical Revenues,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,R&D in Biotechnology (8732),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Consumable Medical Products/Supplies,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Dental Appliances (Non-Implantable),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Electromedical / Therapeutic Apparatus (3845),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Implants - Active,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Implants - Non-Active,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Lasers - Dermatology,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Lasers - Ophthalmology,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Lasers - Surgical / Electromedical Light Therapy,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Mobility Equipment,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Medical Devices - Other High,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Medical Devices - Other Low,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Medical Devices - Other Medium,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,"Prosthetics, Orthotics, Artificial Limbs",1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Respirators (Not including ventilators),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Scientific and Laboratory Instruments,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Surgical Instruments - General,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Surgical Instruments - High Risk,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,X Ray Apparatus (3844),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Clinical Research Associates,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Clinical Research Coordinators,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Clinical Research Monitors,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Clinical Trials - Other,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Phase I ,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Phase II,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Phase III,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Phase IV / Observational,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Physicians,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Principal Investigators,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,BioSecure,Medical Cannabis,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,NutraGuard,Energy Drinks,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,NutraGuard,Food/Beverage (Excl Energy Drinks),1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,NutraGuard,Herbs/Botanicals,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,NutraGuard,Immune/Digestive/Cardio/Joint Support,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
US,NutraGuard,Nutra - Other High,1,1,1,0.1,0.05,5e-05,0.05,0.05,0.05,0.05,0.02,0.05
