revenue,1_lower,1_upper,2_lower,2_upper,3_lower,3_upper,4_lower,4_upper,next
0,84,169,169,338,338,675,624,1249,50000
50000,169,253,338,506,675,1013,1249,1873,100000
100000,253,338,506,675,1013,1350,1873,2498,150000
150000,338,422,675,844,1350,1688,2498,3122,200000
200000,422,548,844,1097,1688,2194,3122,4058,300000
300000,548,633,1097,1266,2194,2531,4058,4683,400000
400000,633,717,1266,1434,2531,2869,4683,5307,500000
500000,717,1139,1434,2278,2869,4556,5307,8429,1000000
1000000,1139,1814,2278,3628,4556,7256,8429,13424,2000000
2000000,1814,2489,3628,4978,7256,9956,13424,18419,3000000
3000000,2489,3080,4978,6159,9956,12319,18419,22790,4000000
4000000,3080,3670,6159,7341,12319,14681,22790,27160,5000000
5000000,3670,4177,7341,7712,14681,15127,27160,28534,6000000
6000000,4177,4683,7712,8083,15127,15572,28534,29908,7000000
7000000,4683,5189,8083,8448,15572,16010,29908,31256,8000000
8000000,5189,5695,8448,8805,16010,16439,31256,32580,9000000
9000000,5695,6202,8805,9163,16439,16868,32580,33904,10000000
10000000,6202,10420,9163,12538,16868,20918,33904,46391,20000000
20000000,10420,13458,12538,15441,20918,24415,46391,57180,30000000
30000000,13458,15989,15441,17864,24415,27329,57180,66014,40000000
40000000,15989,18014,17864,19808,27329,29662,66014,72891,50000000
50000000,18014,20679,19808,24432,29662,35162,72891,79969,100000000
100000000,20679,22417,24432,27622,35162,38840,79969,84424,150000000
150000000,22417,23738,27622,30135,38840,41681,84424,87734,200000000
200000000,23738,24816,30135,32241,41681,44026,87734,90391,250000000
250000000,24816,25733,32241,34070,44026,46041,90391,92621,300000000
300000000,25733,26534,34070,35697,46041,47816,92621,94550,350000000
350000000,26534,27249,35697,37170,47816,49408,94550,96253,400000000
400000000,27249,27895,37170,38519,49408,50857,96253,97780,450000000
450000000,27895,28486,38519,39767,50857,52189,97780,99167,500000000
500000000,28486,29032,39767,40931,52189,53424,99167,100439,550000000
550000000,29032,29539,40931,42023,53424,54577,100439,101614,600000000
600000000,29539,30013,42023,43054,54577,55659,101614,102708,650000000
650000000,30013,30459,43054,44030,55659,56681,102708,103730,700000000
700000000,30459,30880,44030,44960,56681,57648,103730,104692,750000000
750000000,30880,31280,44960,45847,57648,58569,104692,105599,800000000
800000000,31280,31659,45847,46696,58569,59446,105599,106458,850000000
850000000,31659,32022,46696,47511,59446,60286,106458,107275,900000000
900000000,32022,32368,47511,48294,60286,61091,107275,108053,950000000
950000000,32368,32700,48294,49050,61091,61865,108053,108797,1000000000
1000000000,32700,32700,49050,49050,61865,61865,108797,108797,1000000000
