cob,exposure_base_exposure_measure,product,exposure_base,exposure_measure_agg_group,exposure_measure,base_rate,format,formatted_base_rate
HC : Clinical Research and Site Management,Clinical Research - Other High // Receipts,BioSecure,Clinical Research - Other High,Receipts,Receipts,0.00427875,4 decimal places,0.0053
HI : Sponsored Clinical Trials,Phase I  // Participants,BioSecure,Phase I ,Participants,Participants,81.5,Number with comma separator,100
HI : Sponsored Clinical Trials,Phase II // Participants,BioSecure,Phase II,Participants,Participants,32.6,Number with comma separator,40
HI : Sponsored Clinical Trials,Phase III // Participants,BioSecure,Phase III,Participants,Participants,20.375,Number with comma separator,25
HI : Sponsored Clinical Trials,Phase IV / Observational // Participants,BioSecure,Phase IV / Observational,Participants,Participants,12.225,Number with comma separator,15
HC : Clinical Research and Site Management,Preclinical Revenues // Receipts,BioSecure,Preclinical Revenues,Receipts,Receipts,0.000815,4 decimal places,0.001
HC : Clinical Research and Site Management,Clinical Revenues // Receipts,BioSecure,Clinical Revenues,Receipts,Receipts,0.002445,4 decimal places,0.003
HC : Clinical Research and Site Management,Clinical Research Associates // Staff,BioSecure,Clinical Research Associates,Staff,Staff,81.5,Number with comma separator,100
HC : Clinical Research and Site Management,Clinical Research Monitors // Staff,BioSecure,Clinical Research Monitors,Staff,Staff,122.25,Number with comma separator,150
HC : Clinical Research and Site Management,Physicians // Staff,BioSecure,Physicians,Staff,Staff,815.0,Number with comma separator,"1,000"
HC : Clinical Research and Site Management,Principal Investigators // Staff,BioSecure,Principal Investigators,Staff,Staff,611.25,Number with comma separator,750
HC : Clinical Research and Site Management,Clinical Research Coordinators // Staff,BioSecure,Clinical Research Coordinators,Staff,Staff,203.75,Number with comma separator,250
HC : Clinical Research and Site Management,Clinical Trials - Other // Staff,BioSecure,Clinical Trials - Other,Staff,Staff,81.5,Number with comma separator,100
