coverage_label,coverage_name,us_international,product,class,surcharge
TRIA,tria,International,Misc Med,Ambulance - Air,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Ambulance - Air,0.005
Punitive Damages,punitive_damages,International,Misc Med,Ambulance - Air,0.1
Professional Liability,professional_liability,US,Misc Med,Banking - Blood/Cord Blood/Sperm,1.0
General Liability,general_liability,US,Misc Med,Banking - Blood/Cord Blood/Sperm,0.1
Product Liability,product_liability,US,Misc Med,Banking - Blood/Cord Blood/Sperm,0.05
E&O,eo,US,Misc Med,Banking - Blood/Cord Blood/Sperm,0.05
Employers Liability,employers_liability,US,Misc Med,Banking - Blood/Cord Blood/Sperm,0.05
Stop Gap,stop_gap,US,Misc Med,Banking - Blood/Cord Blood/Sperm,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Banking - Blood/Cord Blood/Sperm,0.05
TRIA,tria,US,Misc Med,Banking - Blood/Cord Blood/Sperm,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Banking - Blood/Cord Blood/Sperm,0.005
Punitive Damages,punitive_damages,US,Misc Med,Banking - Blood/Cord Blood/Sperm,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Banking - Blood/Cord Blood/Sperm,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Banking - Blood/Cord Blood/Sperm,0.1
Product Liability,product_liability,International,Misc Med,Banking - Blood/Cord Blood/Sperm,0.05
E&O/Professional Indemnity,eo,International,Misc Med,Banking - Blood/Cord Blood/Sperm,0.05
Employers Liability,employers_liability,International,Misc Med,Banking - Blood/Cord Blood/Sperm,0.05
Stop Gap,stop_gap,International,Misc Med,Banking - Blood/Cord Blood/Sperm,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Banking - Blood/Cord Blood/Sperm,0.05
TRIA,tria,International,Misc Med,Banking - Blood/Cord Blood/Sperm,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Banking - Blood/Cord Blood/Sperm,0.005
Punitive Damages,punitive_damages,International,Misc Med,Banking - Blood/Cord Blood/Sperm,0.1
Professional Liability,professional_liability,US,Misc Med,Banking - Organ/Tissue,1.0
General Liability,general_liability,US,Misc Med,Banking - Organ/Tissue,0.05
Product Liability,product_liability,US,Misc Med,Banking - Organ/Tissue,0.1
E&O,eo,US,Misc Med,Banking - Organ/Tissue,0.05
Employers Liability,employers_liability,US,Misc Med,Banking - Organ/Tissue,0.05
Stop Gap,stop_gap,US,Misc Med,Banking - Organ/Tissue,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Banking - Organ/Tissue,0.05
