coverage_label,coverage_name,us_international,product,class,surcharge
Punitive Damages,punitive_damages,International,Misc Med,Clinic - Sleep,0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - Urgent Care/Minute/Retail,1.0
General Liability,general_liability,US,Misc Med,Clinic - Urgent Care/Minute/Retail,0.07
Product Liability,product_liability,US,Misc Med,Clinic - Urgent Care/Minute/Retail,0.01
E&O,eo,US,Misc Med,Clinic - Urgent Care/Minute/Retail,0.05
Employers Liability,employers_liability,US,Misc Med,Clinic - Urgent Care/Minute/Retail,0.05
Stop Gap,stop_gap,US,Misc Med,Clinic - Urgent Care/Minute/Retail,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - Urgent Care/Minute/Retail,0.05
TRIA,tria,US,Misc Med,Clinic - Urgent Care/Minute/Retail,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - Urgent Care/Minute/Retail,0.005
Punitive Damages,punitive_damages,US,Misc Med,Clinic - Urgent Care/Minute/Retail,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - Urgent Care/Minute/Retail,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - Urgent Care/Minute/Retail,0.07
Product Liability,product_liability,International,Misc Med,Clinic - Urgent Care/Minute/Retail,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - Urgent Care/Minute/Retail,0.05
Employers Liability,employers_liability,International,Misc Med,Clinic - Urgent Care/Minute/Retail,0.05
Stop Gap,stop_gap,International,Misc Med,Clinic - Urgent Care/Minute/Retail,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - Urgent Care/Minute/Retail,0.05
TRIA,tria,International,Misc Med,Clinic - Urgent Care/Minute/Retail,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - Urgent Care/Minute/Retail,0.005
Punitive Damages,punitive_damages,International,Misc Med,Clinic - Urgent Care/Minute/Retail,0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - Veterinary,1.0
General Liability,general_liability,US,Misc Med,Clinic - Veterinary,0.06
Product Liability,product_liability,US,Misc Med,Clinic - Veterinary,0.01
E&O,eo,US,Misc Med,Clinic - Veterinary,0.15
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - Veterinary,0.05
TRIA,tria,US,Misc Med,Clinic - Veterinary,0.02
Stop Gap,stop_gap,US,Misc Med,Clinic - Veterinary,0.01
Employers Liability,employers_liability,US,Misc Med,Clinic - Veterinary,0.05
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - Veterinary,0.005
Punitive Damages,punitive_damages,US,Misc Med,Clinic - Veterinary,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - Veterinary,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - Veterinary,0.06
Product Liability,product_liability,International,Misc Med,Clinic - Veterinary,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - Veterinary,0.15
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - Veterinary,0.05
TRIA,tria,International,Misc Med,Clinic - Veterinary,0.0
Stop Gap,stop_gap,International,Misc Med,Clinic - Veterinary,0.0
Employers Liability,employers_liability,International,Misc Med,Clinic - Veterinary,0.05
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - Veterinary,0.005
Punitive Damages,punitive_damages,International,Misc Med,Clinic - Veterinary,0.1
Professional Liability,professional_liability,US,Misc Med,Clinic - Weight Loss,1.0
General Liability,general_liability,US,Misc Med,Clinic - Weight Loss,0.06
Product Liability,product_liability,US,Misc Med,Clinic - Weight Loss,0.05
E&O,eo,US,Misc Med,Clinic - Weight Loss,0.05
Sexual Abuse,sexual_abuse,US,Misc Med,Clinic - Weight Loss,0.05
TRIA,tria,US,Misc Med,Clinic - Weight Loss,0.02
Stop Gap,stop_gap,US,Misc Med,Clinic - Weight Loss,0.01
Employers Liability,employers_liability,US,Misc Med,Clinic - Weight Loss,0.05
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Clinic - Weight Loss,0.005
Punitive Damages,punitive_damages,US,Misc Med,Clinic - Weight Loss,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Clinic - Weight Loss,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Clinic - Weight Loss,0.06
Product Liability,product_liability,International,Misc Med,Clinic - Weight Loss,0.05
E&O/Professional Indemnity,eo,International,Misc Med,Clinic - Weight Loss,0.05
Sexual Abuse,sexual_abuse,International,Misc Med,Clinic - Weight Loss,0.05
TRIA,tria,International,Misc Med,Clinic - Weight Loss,0.0
Stop Gap,stop_gap,International,Misc Med,Clinic - Weight Loss,0.0
Employers Liability,employers_liability,International,Misc Med,Clinic - Weight Loss,0.05
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Clinic - Weight Loss,0.005
Punitive Damages,punitive_damages,International,Misc Med,Clinic - Weight Loss,0.1
Professional Liability,professional_liability,US,Misc Med,Consultants,1.0
General Liability,general_liability,US,Misc Med,Consultants,0.05
Product Liability,product_liability,US,Misc Med,Consultants,0.01
E&O,eo,US,Misc Med,Consultants,0.2
Employers Liability,employers_liability,US,Misc Med,Consultants,0.05
Stop Gap,stop_gap,US,Misc Med,Consultants,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Consultants,0.05
TRIA,tria,US,Misc Med,Consultants,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Consultants,0.005
Punitive Damages,punitive_damages,US,Misc Med,Consultants,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Consultants,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Consultants,0.05
Product Liability,product_liability,International,Misc Med,Consultants,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Consultants,0.2
Employers Liability,employers_liability,International,Misc Med,Consultants,0.05
Stop Gap,stop_gap,International,Misc Med,Consultants,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Consultants,0.05
TRIA,tria,International,Misc Med,Consultants,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Consultants,0.005
Punitive Damages,punitive_damages,International,Misc Med,Consultants,0.1
Professional Liability,professional_liability,US,Misc Med,Correctional Healthcare,1.0
General Liability,general_liability,US,Misc Med,Correctional Healthcare,0.1
Product Liability,product_liability,US,Misc Med,Correctional Healthcare,0.01
E&O,eo,US,Misc Med,Correctional Healthcare,0.07
Employers Liability,employers_liability,US,Misc Med,Correctional Healthcare,0.05
Stop Gap,stop_gap,US,Misc Med,Correctional Healthcare,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Correctional Healthcare,0.05
TRIA,tria,US,Misc Med,Correctional Healthcare,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Correctional Healthcare,0.005
Punitive Damages,punitive_damages,US,Misc Med,Correctional Healthcare,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Correctional Healthcare,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Correctional Healthcare,0.1
Product Liability,product_liability,International,Misc Med,Correctional Healthcare,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Correctional Healthcare,0.07
Employers Liability,employers_liability,International,Misc Med,Correctional Healthcare,0.05
Stop Gap,stop_gap,International,Misc Med,Correctional Healthcare,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Correctional Healthcare,0.05
TRIA,tria,International,Misc Med,Correctional Healthcare,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Correctional Healthcare,0.005
Punitive Damages,punitive_damages,International,Misc Med,Correctional Healthcare,0.1
Professional Liability,professional_liability,US,Misc Med,Dialysis Centers,1.0
General Liability,general_liability,US,Misc Med,Dialysis Centers,0.07
Product Liability,product_liability,US,Misc Med,Dialysis Centers,0.03
E&O,eo,US,Misc Med,Dialysis Centers,0.05
Employers Liability,employers_liability,US,Misc Med,Dialysis Centers,0.05
Stop Gap,stop_gap,US,Misc Med,Dialysis Centers,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Dialysis Centers,0.05
TRIA,tria,US,Misc Med,Dialysis Centers,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Dialysis Centers,0.005
Punitive Damages,punitive_damages,US,Misc Med,Dialysis Centers,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Dialysis Centers,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Dialysis Centers,0.07
Product Liability,product_liability,International,Misc Med,Dialysis Centers,0.03
E&O/Professional Indemnity,eo,International,Misc Med,Dialysis Centers,0.05
Employers Liability,employers_liability,International,Misc Med,Dialysis Centers,0.05
Stop Gap,stop_gap,International,Misc Med,Dialysis Centers,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Dialysis Centers,0.05
TRIA,tria,International,Misc Med,Dialysis Centers,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Dialysis Centers,0.005
Punitive Damages,punitive_damages,International,Misc Med,Dialysis Centers,0.1
Professional Liability,professional_liability,US,Misc Med,Gyms/Fitness Center,1.0
General Liability,general_liability,US,Misc Med,Gyms/Fitness Center,0.12
Product Liability,product_liability,US,Misc Med,Gyms/Fitness Center,0.02
E&O,eo,US,Misc Med,Gyms/Fitness Center,0.05
Employers Liability,employers_liability,US,Misc Med,Gyms/Fitness Center,0.05
Stop Gap,stop_gap,US,Misc Med,Gyms/Fitness Center,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Gyms/Fitness Center,0.1
TRIA,tria,US,Misc Med,Gyms/Fitness Center,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Gyms/Fitness Center,0.005
Punitive Damages,punitive_damages,US,Misc Med,Gyms/Fitness Center,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Gyms/Fitness Center,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Gyms/Fitness Center,0.12
Product Liability,product_liability,International,Misc Med,Gyms/Fitness Center,0.02
E&O/Professional Indemnity,eo,International,Misc Med,Gyms/Fitness Center,0.05
Employers Liability,employers_liability,International,Misc Med,Gyms/Fitness Center,0.05
Stop Gap,stop_gap,International,Misc Med,Gyms/Fitness Center,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Gyms/Fitness Center,0.1
TRIA,tria,International,Misc Med,Gyms/Fitness Center,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Gyms/Fitness Center,0.005
Punitive Damages,punitive_damages,International,Misc Med,Gyms/Fitness Center,0.1
Professional Liability,professional_liability,US,Misc Med,Healthcare Staffing,1.0
General Liability,general_liability,US,Misc Med,Healthcare Staffing,0.05
Product Liability,product_liability,US,Misc Med,Healthcare Staffing,0.01
E&O,eo,US,Misc Med,Healthcare Staffing,0.1
Employers Liability,employers_liability,US,Misc Med,Healthcare Staffing,0.05
Stop Gap,stop_gap,US,Misc Med,Healthcare Staffing,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Healthcare Staffing,0.05
TRIA,tria,US,Misc Med,Healthcare Staffing,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Healthcare Staffing,0.005
Punitive Damages,punitive_damages,US,Misc Med,Healthcare Staffing,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Healthcare Staffing,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Healthcare Staffing,0.05
Product Liability,product_liability,International,Misc Med,Healthcare Staffing,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Healthcare Staffing,0.1
Employers Liability,employers_liability,International,Misc Med,Healthcare Staffing,0.05
Stop Gap,stop_gap,International,Misc Med,Healthcare Staffing,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Healthcare Staffing,0.05
TRIA,tria,International,Misc Med,Healthcare Staffing,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Healthcare Staffing,0.005
Punitive Damages,punitive_damages,International,Misc Med,Healthcare Staffing,0.1
Professional Liability,professional_liability,US,Misc Med,Home Healthcare,1.0
General Liability,general_liability,US,Misc Med,Home Healthcare,0.05
Product Liability,product_liability,US,Misc Med,Home Healthcare,0.01
E&O,eo,US,Misc Med,Home Healthcare,0.1
Sexual Abuse,sexual_abuse,US,Misc Med,Home Healthcare,0.1
TRIA,tria,US,Misc Med,Home Healthcare,0.02
Stop Gap,stop_gap,US,Misc Med,Home Healthcare,0.01
Employers Liability,employers_liability,US,Misc Med,Home Healthcare,0.05
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Home Healthcare,0.005
Punitive Damages,punitive_damages,US,Misc Med,Home Healthcare,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Home Healthcare,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Home Healthcare,0.05
Product Liability,product_liability,International,Misc Med,Home Healthcare,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Home Healthcare,0.1
Sexual Abuse,sexual_abuse,International,Misc Med,Home Healthcare,0.1
TRIA,tria,International,Misc Med,Home Healthcare,0.0
Stop Gap,stop_gap,International,Misc Med,Home Healthcare,0.0
Employers Liability,employers_liability,International,Misc Med,Home Healthcare,0.05
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Home Healthcare,0.005
Punitive Damages,punitive_damages,International,Misc Med,Home Healthcare,0.1
Professional Liability,professional_liability,US,Misc Med,Hospice Care,1.0
General Liability,general_liability,US,Misc Med,Hospice Care,0.06
Product Liability,product_liability,US,Misc Med,Hospice Care,0.01
E&O,eo,US,Misc Med,Hospice Care,0.05
Employers Liability,employers_liability,US,Misc Med,Hospice Care,0.05
Stop Gap,stop_gap,US,Misc Med,Hospice Care,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Hospice Care,0.05
TRIA,tria,US,Misc Med,Hospice Care,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Hospice Care,0.005
Punitive Damages,punitive_damages,US,Misc Med,Hospice Care,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Hospice Care,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Hospice Care,0.06
Product Liability,product_liability,International,Misc Med,Hospice Care,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Hospice Care,0.05
Employers Liability,employers_liability,International,Misc Med,Hospice Care,0.05
Stop Gap,stop_gap,International,Misc Med,Hospice Care,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Hospice Care,0.05
TRIA,tria,International,Misc Med,Hospice Care,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Hospice Care,0.005
Punitive Damages,punitive_damages,International,Misc Med,Hospice Care,0.1
Professional Liability,professional_liability,US,Misc Med,Hospital - LTAC/TBI,1.0
General Liability,general_liability,US,Misc Med,Hospital - LTAC/TBI,0.07
Product Liability,product_liability,US,Misc Med,Hospital - LTAC/TBI,0.02
E&O,eo,US,Misc Med,Hospital - LTAC/TBI,0.05
Employers Liability,employers_liability,US,Misc Med,Hospital - LTAC/TBI,0.05
Stop Gap,stop_gap,US,Misc Med,Hospital - LTAC/TBI,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Hospital - LTAC/TBI,0.1
TRIA,tria,US,Misc Med,Hospital - LTAC/TBI,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Hospital - LTAC/TBI,0.005
Punitive Damages,punitive_damages,US,Misc Med,Hospital - LTAC/TBI,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Hospital - LTAC/TBI,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Hospital - LTAC/TBI,0.07
Product Liability,product_liability,International,Misc Med,Hospital - LTAC/TBI,0.02
E&O/Professional Indemnity,eo,International,Misc Med,Hospital - LTAC/TBI,0.05
Employers Liability,employers_liability,International,Misc Med,Hospital - LTAC/TBI,0.05
Stop Gap,stop_gap,International,Misc Med,Hospital - LTAC/TBI,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Hospital - LTAC/TBI,0.1
TRIA,tria,International,Misc Med,Hospital - LTAC/TBI,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Hospital - LTAC/TBI,0.005
Punitive Damages,punitive_damages,International,Misc Med,Hospital - LTAC/TBI,0.1
Professional Liability,professional_liability,US,Misc Med,Humanitarian Relief Organizations,1.0
General Liability,general_liability,US,Misc Med,Humanitarian Relief Organizations,0.07
Product Liability,product_liability,US,Misc Med,Humanitarian Relief Organizations,0.02
E&O,eo,US,Misc Med,Humanitarian Relief Organizations,0.05
Employers Liability,employers_liability,US,Misc Med,Humanitarian Relief Organizations,0.05
Stop Gap,stop_gap,US,Misc Med,Humanitarian Relief Organizations,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Humanitarian Relief Organizations,0.1
TRIA,tria,US,Misc Med,Humanitarian Relief Organizations,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Humanitarian Relief Organizations,0.005
Punitive Damages,punitive_damages,US,Misc Med,Humanitarian Relief Organizations,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Humanitarian Relief Organizations,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Humanitarian Relief Organizations,0.07
Product Liability,product_liability,International,Misc Med,Humanitarian Relief Organizations,0.02
E&O/Professional Indemnity,eo,International,Misc Med,Humanitarian Relief Organizations,0.05
Employers Liability,employers_liability,International,Misc Med,Humanitarian Relief Organizations,0.05
Stop Gap,stop_gap,International,Misc Med,Humanitarian Relief Organizations,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Humanitarian Relief Organizations,0.1
TRIA,tria,International,Misc Med,Humanitarian Relief Organizations,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Humanitarian Relief Organizations,0.005
Punitive Damages,punitive_damages,International,Misc Med,Humanitarian Relief Organizations,0.1
Professional Liability,professional_liability,US,Misc Med,Imaging & X-Ray,1.0
General Liability,general_liability,US,Misc Med,Imaging & X-Ray,0.05
Product Liability,product_liability,US,Misc Med,Imaging & X-Ray,0.02
E&O,eo,US,Misc Med,Imaging & X-Ray,0.05
Employers Liability,employers_liability,US,Misc Med,Imaging & X-Ray,0.05
Stop Gap,stop_gap,US,Misc Med,Imaging & X-Ray,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Imaging & X-Ray,0.05
TRIA,tria,US,Misc Med,Imaging & X-Ray,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Imaging & X-Ray,0.005
Punitive Damages,punitive_damages,US,Misc Med,Imaging & X-Ray,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Imaging & X-Ray,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Imaging & X-Ray,0.05
Product Liability,product_liability,International,Misc Med,Imaging & X-Ray,0.02
E&O/Professional Indemnity,eo,International,Misc Med,Imaging & X-Ray,0.05
Employers Liability,employers_liability,International,Misc Med,Imaging & X-Ray,0.05
Stop Gap,stop_gap,International,Misc Med,Imaging & X-Ray,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Imaging & X-Ray,0.05
TRIA,tria,International,Misc Med,Imaging & X-Ray,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Imaging & X-Ray,0.005
Punitive Damages,punitive_damages,International,Misc Med,Imaging & X-Ray,0.1
Professional Liability,professional_liability,US,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,1.0
General Liability,general_liability,US,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.1
Product Liability,product_liability,US,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.02
E&O,eo,US,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.05
Employers Liability,employers_liability,US,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.05
Stop Gap,stop_gap,US,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.1
TRIA,tria,US,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.005
Punitive Damages,punitive_damages,US,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.1
Product Liability,product_liability,International,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.02
E&O/Professional Indemnity,eo,International,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.05
Employers Liability,employers_liability,International,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.05
Stop Gap,stop_gap,International,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.1
TRIA,tria,International,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.005
Punitive Damages,punitive_damages,International,Misc Med,Inpatient - Alcohol & Drug Rehabilitation,0.1
Professional Liability,professional_liability,US,Misc Med,Inpatient - Mental Health/Psychiatric,1.0
General Liability,general_liability,US,Misc Med,Inpatient - Mental Health/Psychiatric,0.1
Product Liability,product_liability,US,Misc Med,Inpatient - Mental Health/Psychiatric,0.01
E&O,eo,US,Misc Med,Inpatient - Mental Health/Psychiatric,0.07
Employers Liability,employers_liability,US,Misc Med,Inpatient - Mental Health/Psychiatric,0.05
Stop Gap,stop_gap,US,Misc Med,Inpatient - Mental Health/Psychiatric,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Inpatient - Mental Health/Psychiatric,0.1
TRIA,tria,US,Misc Med,Inpatient - Mental Health/Psychiatric,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Inpatient - Mental Health/Psychiatric,0.005
Punitive Damages,punitive_damages,US,Misc Med,Inpatient - Mental Health/Psychiatric,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Inpatient - Mental Health/Psychiatric,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Inpatient - Mental Health/Psychiatric,0.1
Product Liability,product_liability,International,Misc Med,Inpatient - Mental Health/Psychiatric,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Inpatient - Mental Health/Psychiatric,0.07
Employers Liability,employers_liability,International,Misc Med,Inpatient - Mental Health/Psychiatric,0.05
Stop Gap,stop_gap,International,Misc Med,Inpatient - Mental Health/Psychiatric,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Inpatient - Mental Health/Psychiatric,0.1
TRIA,tria,International,Misc Med,Inpatient - Mental Health/Psychiatric,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Inpatient - Mental Health/Psychiatric,0.005
Punitive Damages,punitive_damages,International,Misc Med,Inpatient - Mental Health/Psychiatric,0.1
Professional Liability,professional_liability,US,Misc Med,Inpatient - Troubled Youth,1.0
General Liability,general_liability,US,Misc Med,Inpatient - Troubled Youth,0.1
Product Liability,product_liability,US,Misc Med,Inpatient - Troubled Youth,0.01
E&O,eo,US,Misc Med,Inpatient - Troubled Youth,0.07
Sexual Abuse,sexual_abuse,US,Misc Med,Inpatient - Troubled Youth,0.1
TRIA,tria,US,Misc Med,Inpatient - Troubled Youth,0.02
Stop Gap,stop_gap,US,Misc Med,Inpatient - Troubled Youth,0.01
Employers Liability,employers_liability,US,Misc Med,Inpatient - Troubled Youth,0.05
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Inpatient - Troubled Youth,0.005
Punitive Damages,punitive_damages,US,Misc Med,Inpatient - Troubled Youth,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Inpatient - Troubled Youth,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Inpatient - Troubled Youth,0.1
Product Liability,product_liability,International,Misc Med,Inpatient - Troubled Youth,0.01
E&O/Professional Indemnity,eo,International,Misc Med,Inpatient - Troubled Youth,0.07
Sexual Abuse,sexual_abuse,International,Misc Med,Inpatient - Troubled Youth,0.1
TRIA,tria,International,Misc Med,Inpatient - Troubled Youth,0.0
Stop Gap,stop_gap,International,Misc Med,Inpatient - Troubled Youth,0.0
Employers Liability,employers_liability,International,Misc Med,Inpatient - Troubled Youth,0.05
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Inpatient - Troubled Youth,0.005
Punitive Damages,punitive_damages,International,Misc Med,Inpatient - Troubled Youth,0.1
Professional Liability,professional_liability,US,Misc Med,Laboratories,1.0
General Liability,general_liability,US,Misc Med,Laboratories,0.05
Product Liability,product_liability,US,Misc Med,Laboratories,0.05
E&O,eo,US,Misc Med,Laboratories,0.1
Employers Liability,employers_liability,US,Misc Med,Laboratories,0.05
Stop Gap,stop_gap,US,Misc Med,Laboratories,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Laboratories,0.05
TRIA,tria,US,Misc Med,Laboratories,0.02
Employee Benefits Liability,employee_benefits_liability,US,Misc Med,Laboratories,0.005
Punitive Damages,punitive_damages,US,Misc Med,Laboratories,0.1
Professional Liability/Medical Malpractice,professional_liability,International,Misc Med,Laboratories,1.0
General Liability/Public Liability,general_liability,International,Misc Med,Laboratories,0.05
Product Liability,product_liability,International,Misc Med,Laboratories,0.05
E&O/Professional Indemnity,eo,International,Misc Med,Laboratories,0.1
Employers Liability,employers_liability,International,Misc Med,Laboratories,0.05
Stop Gap,stop_gap,International,Misc Med,Laboratories,0.0
Sexual Abuse,sexual_abuse,International,Misc Med,Laboratories,0.05
TRIA,tria,International,Misc Med,Laboratories,0.0
Employee Benefits Liability,employee_benefits_liability,International,Misc Med,Laboratories,0.005
Punitive Damages,punitive_damages,International,Misc Med,Laboratories,0.1
Professional Liability,professional_liability,US,Virtual Care,Live Video,1.0
General Liability,general_liability,US,Virtual Care,Live Video,0.05
Product Liability,product_liability,US,Virtual Care,Live Video,0.03
E&O,eo,US,Virtual Care,Live Video,0.1
Sexual Abuse,sexual_abuse,US,Virtual Care,Live Video,0.1
TRIA,tria,US,Virtual Care,Live Video,0.02
Stop Gap,stop_gap,US,Virtual Care,Live Video,0.01
Employers Liability,employers_liability,US,Virtual Care,Live Video,0.0
Employee Benefits Liability,employee_benefits_liability,US,Virtual Care,Live Video,0.005
Punitive Damages,punitive_damages,US,Virtual Care,Live Video,0.0
Professional Liability/Medical Malpractice,professional_liability,International,Virtual Care,Live Video,1.0
General Liability/Public Liability,general_liability,International,Virtual Care,Live Video,0.05
Product Liability,product_liability,International,Virtual Care,Live Video,0.03
E&O/Professional Indemnity,eo,International,Virtual Care,Live Video,0.1
Sexual Abuse,sexual_abuse,International,Virtual Care,Live Video,0.1
TRIA,tria,International,Virtual Care,Live Video,0.0
Stop Gap,stop_gap,International,Virtual Care,Live Video,0.0
Employers Liability,employers_liability,International,Virtual Care,Live Video,0.05
Employee Benefits Liability,employee_benefits_liability,International,Virtual Care,Live Video,0.005
Punitive Damages,punitive_damages,International,Virtual Care,Live Video,0.0
Professional Liability,professional_liability,US,Misc Med,Locum Tenens/Physician Staffing,1.0
General Liability,general_liability,US,Misc Med,Locum Tenens/Physician Staffing,0.05
Product Liability,product_liability,US,Misc Med,Locum Tenens/Physician Staffing,0.01
E&O,eo,US,Misc Med,Locum Tenens/Physician Staffing,0.07
Employers Liability,employers_liability,US,Misc Med,Locum Tenens/Physician Staffing,0.05
Stop Gap,stop_gap,US,Misc Med,Locum Tenens/Physician Staffing,0.01
Sexual Abuse,sexual_abuse,US,Misc Med,Locum Tenens/Physician Staffing,0.05
TRIA,tria,US,Misc Med,Locum Tenens/Physician Staffing,0.02
