lower,higher,factor
0,0.1,1.4
0.1,0.2,1.36
0.2,0.3,1.32
0.3,0.4,1.28
0.4,0.5,1.24
0.5,0.6,1.2
0.6,0.7,1.16
0.7,0.8,1.12
0.8,0.9,1.08
0.9,1,1.04
1,1.1,1
1.1,1.2,0.985
1.2,1.3,0.97
1.3,1.4,0.955
1.4,1.5,0.94
1.5,1.6,0.925
1.6,1.7,0.91
1.7,1.8,0.895
1.8,1.9,0.88
1.9,2,0.865
2,2.1,0.85
2.1,2.2,0.835
2.2,2.3,0.82
2.3,2.4,0.805
2.4,2.5,0.79
2.5,2.6,0.775
2.6,2.7,0.76
2.7,2.8,0.745
2.8,2.9,0.73
2.9,3,0.715
3,3.1,0.7
3.1,3.2,0.69
3.2,3.3,0.68
3.3,3.4,0.67
3.4,3.5,0.66
3.5,3.6,0.65
3.6,3.7,0.64
3.7,3.8,0.63
3.8,3.9,0.62
3.9,4,0.61
4,4.1,0.6
4.1,4.2,0.59
4.2,4.3,0.58
4.3,4.4,0.57
4.4,4.5,0.56
4.5,4.6,0.55
4.6,4.7,0.54
4.7,4.8,0.53
4.8,4.9,0.52
4.9,5,0.51
5,5,0.5
