ratio_lower,ratio_higher,bbr_modifier_lower,bbr_modifier_upper,infosec_modifier_lower,infosec_modifier_upper
0,0.1,1.3,1.252,1.3453,1.2455
0.1,0.2,1.252,1.204,1.2455,1.1871
0.2,0.3,1.204,1.156,1.1871,1.1457
0.3,0.4,1.156,1.108,1.1457,1.1135
0.4,0.5,1.108,1.06,1.1135,1.0873
0.5,0.6,1.06,1.044,1.0873,1.0651
0.6,0.7,1.044,1.031,1.0651,1.0459
0.7,0.8,1.031,1.0195,1.0459,1.0289
0.8,0.9,1.0195,1.009,1.0289,1.0137
0.9,1,1.009,1,1.0137,1
1,1.1,1,0.9912,1,0.9875
1.1,1.2,0.9912,0.983,0.9875,0.9759
1.2,1.3,0.983,0.9751,0.9759,0.9653
1.3,1.4,0.9751,0.9676,0.9653,0.9553
1.4,1.5,0.9676,0.9605,0.9553,0.946
1.5,1.6,0.9605,0.9538,0.946,0.9373
1.6,1.7,0.9538,0.9473,0.9373,0.9291
1.7,1.8,0.9473,0.941,0.9291,0.9213
1.8,1.9,0.941,0.935,0.9213,0.9139
1.9,2,0.935,0.9292,0.9139,0.9069
2,2.1,0.9292,0.9236,0.9069,0.9002
2.1,2.2,0.9236,0.9181,0.9002,0.8938
2.2,2.3,0.9181,0.9127,0.8938,0.8877
2.3,2.4,0.9127,0.9074,0.8877,0.8818
2.4,2.5,0.9074,0.9022,0.8818,0.8761
2.5,2.6,0.9022,0.8973,0.8761,0.8707
2.6,2.7,0.8973,0.8924,0.8707,0.8655
2.7,2.8,0.8924,0.8877,0.8655,0.8604
2.8,2.9,0.8877,0.8831,0.8604,0.8555
2.9,3,0.8831,0.8785,0.8555,0.8508
3,3.1,0.8785,0.874,0.8508,0.8462
3.1,3.2,0.874,0.8696,0.8462,0.8418
3.2,3.3,0.8696,0.8653,0.8418,0.8375
3.3,3.4,0.8653,0.8611,0.8375,0.8333
3.4,3.5,0.8611,0.8569,0.8333,0.8293
3.5,3.6,0.8569,0.8528,0.8293,0.8253
3.6,3.7,0.8528,0.8487,0.8253,0.8215
3.7,3.8,0.8487,0.8447,0.8215,0.8177
3.8,3.9,0.8447,0.8408,0.8177,0.8141
3.9,4,0.8408,0.8369,0.8141,0.8105
4,4.1,0.8369,0.8332,0.8105,0.8071
4.1,4.2,0.8332,0.8295,0.8071,0.8037
4.2,4.3,0.8295,0.8259,0.8037,0.8004
4.3,4.4,0.8259,0.8223,0.8004,0.7971
4.4,4.5,0.8223,0.8187,0.7971,0.794
4.5,4.6,0.8187,0.8153,0.794,0.7909
4.6,4.7,0.8153,0.8118,0.7909,0.7878
4.7,4.8,0.8118,0.8085,0.7878,0.7849
4.8,4.9,0.8085,0.8051,0.7849,0.782
4.9,5,0.8051,0.8018,0.782,0.7791
5,5.1,0.8018,0.7985,0.7791,0.7763
5.1,5.2,0.7985,0.7953,0.7763,0.7736
5.2,5.3,0.7953,0.7922,0.7736,0.7709
5.3,5.4,0.7922,0.7891,0.7709,0.7682
5.4,5.5,0.7891,0.786,0.7682,0.7656
5.5,5.6,0.786,0.783,0.7656,0.7631
5.6,5.7,0.783,0.78,0.7631,0.7606
5.7,5.8,0.78,0.777,0.7606,0.7581
5.8,5.9,0.777,0.774,0.7581,0.7557
5.9,6,0.774,0.7711,0.7557,0.7533
6,6.1,0.7711,0.7682,0.7533,0.751
6.1,6.2,0.7682,0.7654,0.751,0.7487
6.2,6.3,0.7654,0.7626,0.7487,0.7464
6.3,6.4,0.7626,0.7598,0.7464,0.7442
6.4,6.5,0.7598,0.7571,0.7442,0.742
6.5,6.6,0.7571,0.7544,0.742,0.7398
6.6,6.7,0.7544,0.7517,0.7398,0.7377
6.7,6.8,0.7517,0.749,0.7377,0.7356
6.8,6.9,0.749,0.7464,0.7356,0.7335
6.9,7,0.7464,0.7438,0.7335,0.7315
7,7.1,0.7438,0.7412,0.7315,0.7295
7.1,7.2,0.7412,0.7386,0.7295,0.7275
7.2,7.3,0.7386,0.7361,0.7275,0.7255
7.3,7.4,0.7361,0.7335,0.7255,0.7236
7.4,7.5,0.7335,0.731,0.7236,0.7217
7.5,7.6,0.731,0.7285,0.7217,0.7198
7.6,7.7,0.7285,0.7261,0.7198,0.7179
7.7,7.8,0.7261,0.7237,0.7179,0.7161
7.8,7.9,0.7237,0.7213,0.7161,0.7143
7.9,8,0.7213,0.7189,0.7143,0.7125
8,8.1,0.7189,0.7166,0.7125,0.7107
8.1,8.2,0.7166,0.7143,0.7107,0.709
8.2,8.3,0.7143,0.712,0.709,0.7073
8.3,8.4,0.712,0.7097,0.7073,0.7056
8.4,8.5,0.7097,0.7075,0.7056,0.7039
8.5,8.6,0.7075,0.7052,0.7039,0.7022
8.6,8.7,0.7052,0.7029,0.7022,0.7006
8.7,8.8,0.7029,0.7007,0.7006,0.6989
8.8,8.9,0.7007,0.6985,0.6989,0.6973
8.9,9,0.6985,0.6963,0.6973,0.6957
9,9.1,0.6963,0.6941,0.6957,0.6942
9.1,9.2,0.6941,0.6919,0.6942,0.6926
9.2,9.3,0.6919,0.6897,0.6926,0.6911
9.3,9.4,0.6897,0.6876,0.6911,0.6895
9.4,9.5,0.6876,0.6855,0.6895,0.688
9.5,9.6,0.6855,0.6833,0.688,0.6865
9.6,9.7,0.6833,0.6812,0.6865,0.6851
9.7,9.8,0.6812,0.6791,0.6851,0.6836
9.8,9.9,0.6791,0.677,0.6836,0.6822
9.9,10,0.677,0.6749,0.6822,0.6807
