agg_eec,biosecure,nutraguard
0,1.0,1.0
1,1.0,1.0
2,1.13351665,1.103216634
3,1.219736967,1.168465167
4,1.284859996,1.217086941
5,1.337758376,1.256189946
10,1.516371393,1.385849643
15,1.516371393,1.467814195
20,1.516371393,1.528892379
30,1.516371393,1.619317035
