parameter,biosecure,nutraguard
a1,0.00398107170553497,0.0080220650686206
b1,0.4,0.355936715432129
threshold,0.0,15000000.0
a2,0.00398107170553497,0.310455121711112
b2,0.4,0.134700728951357
