retention_ratio_lower,retention_ratio_upper,modifier_lower,modifier_upper
0,0.25,0.7,0.825
0.25,0.5,0.825,0.91
0.5,0.75,0.91,0.965
0.75,1,0.965,1
1,1.5,1,1.05
1.5,2,1.05,1.09
2,3,1.09,1.14
3,5,1.14,1.205
5,7.5,1.205,1.295
7.5,10,1.295,1.41
