per_occurence_limit,next_per_occurence_limit,revenue_100m,revenue_250m
100000,250000,0.6,0.55
250000,300000,0.675,0.6188
300000,500000,0.7,0.6417
500000,1000000,0.8,0.7333
1000000,2000000,1,1
2000000,2500000,1.32,1.5907
2500000,3000000,1.491,1.886
3000000,4000000,1.625,2.0786
4000000,5000000,1.9,2.4638
5000000,7000000,2.15,2.849
7000000,7500000,2.5,3.4268
7500000,10000000,2.5725,3.5611
10000000,15000000,2.935,4.2934
15000000,20000000,3.525,5.2621
20000000,30000000,4.432171197,6.230769231
30000000,50000000,5.423177926,7.623931624
50000000,100000000,6.892461931,9.689458689
100000000,200000000,9.316273888,13.0968661
200000000,200000000,12.28321428,17.26780627
