agg_eec,biosecure,nutraguard
1,0.819848891,0.855823544
2,0.929312368,0.944158769
3,1.0,1.0
4,1.053391043,1.041611659
5,1.096759721,1.075076931
10,1.243195405,1.186042753
15,1.243195405,1.256189946
20,1.243195405,1.308462093
30,1.243195405,1.385849643
