revenue_lower,revenue_upper,credit,discount
0,25000000,1.0,0.0
25000001,50000000,0.9,0.1
50000001,75000000,0.8,0.2
75000001,100000000,0.7,0.3
100000001,150000000,0.65,0.35
150000001,250000000,0.6,0.4
250000001,500000000,0.55,0.45
500000001,1000000000,0.5,0.5
1000000001,100000000000,0.45,0.55
