ingredient_label,ingredient_name
Baby Formula,baby_formula
Benzodiazepines,benzodiazepines
Blood Pressure Pharmaceutcials,blood_pressure_pharmaceutcials
Blood Derived Products,blood_derived_products
Birth Control,birth_control
Cannabidiol/CBD,cannabidiol_cbd
Cochlear Implants,cochlear_implants
Cold Therapy/Cryotherapy Products,cold_therapy_cryotherapy_products
CPAP/BiPAP Machines,cpap_bipap_machines
Diabetes Pharmaceuticals ,diabetes_pharmaceuticals
Ear Plugs,ear_plugs
Energy Drinks,energy_drinks
Generic or Off-Patent Pharmaceuticals,generic_or_off_patent_pharmaceuticals
Hip Implants (metal on metal),hip_implants_metal_on_metal
IVC Filters ,ivc_filters
Intrauterine Devices (IUDs),intrauterine_devices_iuds
Medical Marijuana,medical_marijuana
Morcellators ,morcellators
MRI Contrast Agents,mri_contrast_agents
Neurovascular Stents,neurovascular_stents
Opioids,opioids
Pain Pumps,pain_pumps
Proton Pump Inhibitors (PPIs)/Antacids,proton_pump_inhibitors_ppis_antacids
Sexual Enhancement Pharmaceuticals,sexual_enhancement_pharmaceuticals
Silicone Breast Implants,silicone_breast_implants
Surgical Mesh,surgical_mesh
Talcum Powder,talcum_powder
Thalidomide ,thalidomide
Weight Loss Pharmaceuticals,weight_loss_pharmaceuticals
