Development Month,A&E Claims Development,Lawyers Claims Development
3,4.1778991e-06,0.0001535719515
6,5.43296814e-05,0.000648958502000001
9,0.0004099163339,0.002711838312
12,0.0019963379454,0.00785847358050001
15,0.0068568733467,0.0194105761691
18,0.0178857437768,0.0366154485497
21,0.0376573189123,0.0636330391692001
24,0.0672166371998,0.0729263995239001
27,0.1057237494415,0.11733230401
30,0.1509715466501,0.1552568416232
33,0.2002232931061,0.1973023510157
36,0.2425120549826,0.2424520597868
39,0.286425052533,0.2896592844666
42,0.3311491662676,0.3379229365703
45,0.3759578563638,0.386339237278601
48,0.4202287409584,0.434131803389701
51,0.4634496006708,0.480664170099901
54,0.5052160732757,0.525439335424
57,0.545223896693499,0.568090600905801
60,0.583257999763999,0.608367269549001
63,0.6191801681823,0.646117927908001
66,0.652916501628599,0.6812732490306
69,0.684445458234599,0.713829584944101
72,0.713786958885599,0.743834095728301
75,0.740992787591899,0.771371780563201
78,0.766138360662999,0.796554513764901
81,0.789315830918399,0.819512020652201
84,0.810628429216199,0.840384630033601
87,0.830185911973799,0.8593175915599
90,0.847841760405799,0.876456730796401
93,0.863813540367399,0.8919452203171
96,0.878229471124899,0.905921262568
99,0.8912152210962,0.918516503632
102,0.9028920313869,0.9298550223689
105,0.9133754044751,0.9400527642456
108,0.9227742489621,0.9492173121216
111,0.9311903852104,0.957447906626
114,0.9387183307524,0.964835646331
117,0.945445297691199,0.971463812742
120,0.9514513464415,0.9774082774048
123,0.9568096508449,0.9797013406997
126,0.9615868388867,0.9817917563954
129,0.9658433810001,0.9837009210054
132,0.9696340043734,0.9854476314227
135,0.9730081169456,0.9870484385682
138,0.9760102290177,0.9885179483167
141,0.9786803637963,0.9898690781567
144,0.981054450850001,0.9911132766075
147,0.9831646985298,0.9922607112347
150,0.985039942991801,0.9933204301289
153,0.9867059726618,0.9943005009103
156,0.9881858278649,0.9952081306554
159,0.9895000759898,0.9960497695947
162,0.9906670630062,0.9968312009712
165,0.991703142459401,0.9975576190734
168,0.992622883254201,0.9982336971413
171,0.9934392576481,0.99886364658
174,0.994163810914901,0.9994512686976
177,0.994806814133801,1.0
180,0.995377401527301,1.0
183,0.995883693707302,1.0
186,0.996332908119302,1.0
189,0.996731457892102,1.0
192,0.997085040212402,1.0
195,0.997398715261102,1.0
198,0.997676976658702,1.0
201,0.997923814287902,1.0
204,0.998142770281302,1.0
207,0.998336988889902,1.0
210,0.998509260878802,1.0
213,0.998662063032803,1.0
216,0.998797593296903,1.0
219,0.998917802024003,1.0
222,0.999024419751203,1.0
225,0.999118981884703,1.0
228,0.999202850632003,1.0
231,0.999277234483403,1.0
234,0.999343205514902,1.0
237,0.999401714752102,1.0
240,0.999453605811602,1.0
243,0.999499627010002,1.0
246,0.999540442113602,1.0
249,0.999576639877902,1.0
252,0.999608742514302,1.0
255,0.999637213202802,1.0
258,0.999662462759301,1.0
261,0.999684855549801,1.0
264,0.9997047147387,1.0
267,0.9997223269449,1.0
270,0.9997379463717,1.0
273,0.9997517984713,1.0
276,0.9997640831951,1.0
279,0.9997749778768,1.0
282,0.999784639789801,1.0
285,0.999793208416001,1.0
288,0.999800807457601,1.0
291,0.999807546622001,1.0
294,0.999813523204601,1.0
297,0.999818823492801,1.0
300,0.9998235240114,1.0
303,0.9998276926266,1.0
306,0.9998313895261,1.0
309,0.999834668087,1.0
312,0.9998375756472,1.0
315,0.9998401541881,1.0
318,0.999842440940801,1.0
321,0.999844468923501,1.0
324,0.999846267418301,1.0
327,0.999858655834401,1.0
330,0.999870029896301,1.0
333,0.999880474142501,1.0
336,0.999890065933501,1.0
339,0.9998988760726,1.0
342,0.9999069693733,1.0
345,0.9999144051755,1.0
