num_years_experience,pure_experience_nil_claims,pure_experience_cred_factor
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.1,0.1
5,0.2,0.2
6,0.25,0.3
7,0.3,0.4
8,0.325,0.45
9,0.35,0.5
10,0.375,0.55
11,0.4,0.6
12,0.425,0.65
13,0.45,0.7
14,0.475,0.75
15,0.5,0.8
16,0.5,0.8
