Area,CurveType,Currency,NCP,RateDate,coefp1,coefp2,coefp3,Comment
DummyCountry,Power,GBP,0.65,43101,4.5297e-05,0.6127,500000000,
united_kingdom,Power,GBP,0.65,43101,4.5297e-05,0.6127,500000000,"based on fit to Libra Data 2018 with p1*Revenue^p2, with max Revenue p3. Increased frequency by 20%"
