Component,London Professions
Target LR,0.6
CHE,0.0244359179869183
Fixed Expense,10657.1344750594
Variable Expense,0.138324756515877
Investment Income,0.134678173206122
RI Cost,0.0136065296957248
ROC,0.15
Capital Cost,1.38722182634193
