Area,Sequence,Index,lo,hi,mu,sigma,start,end,Currency
united_kingdom,1,United Kingdom|1,0.0,1,8.86023805762484,2.15,0.0,869565.217391304,GBP
united_kingdom,2,United Kingdom|2,0.95,1,12.3602380576248,1.5,869565.217391304,0.0,GBP
