code
TCD001: Full Exclusion
TCD002: Exclusion with Physical Writeback for Listed Perils
TCD003: Exclusion with Physical Writeback for All Perils
TCD004: Restricted Non-Physical Damage On-Premise Coverage
TCD005: Named Peril  (no exclusion)
TCD006: Unrestricted Non-Physical Damage Coverage
