reason
Regional Aggregates Exhausted
LOB Aggregates Exhausted
Start Up LOB or Companies Not Written by Reinsurer At This Time
Inadequate Firm Order Pricing
Past Historical Experience
Subject LOB(s) Not Written By Reinsurer At This Time
Unacceptable or No Terrorism Exclusion
Lack of Occurrence Limit
Lack of Event Limit
Treaty Limit to Premium Imbalance
Subject Premium to Risk Imbalance
Contract Wording Issues
Will Wait For Firm Order Terms
Retention Too Low
Retention Too High
Working Layers Not Written by Reinsurer At This Time
Company's Financial Condition/Regulatory Requirements
AFB Already Committed Elsewhere on Program
