eventid,AL,CT,DC,DE,FL,GA,HI,LA,MA,MD,ME,MS,NC,NH,NJ,NY,PA,RI,SC,TX,VA,VT,WV,Caribbean
2896062,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2868422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2876537,0,0,0,0,0.1070061,0,0,0.136637666,0,0,0,0,0,0,0,0,0,0,0,0.128856706,0,0,0,0.627499529
2886865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2864635,3.14E-05,1.65E-08,0,0.000320472,0.612602088,0.121994584,0,0,0.000951143,0.000624885,5.04E-05,0,0.072804106,0,0.000792376,0.003686853,2.43E-07,6.60E-05,0.144055477,0,0.029105911,0,0,0.012914072
2887406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2869149,0.00049566,0,0,0,0.000189232,0,0,0.005657151,0,0,0,0.000885878,0,0,0,0,0,0,0,0.992768397,0,0,0,3.68E-06
2855086,0,0,0,0,0.951738914,0.040409333,0,0,0,0,0,0,0,0,0,0,0,0,0.004990287,0,0,0,0,0.002861466
2880556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2860991,0.002607036,0,0,0,0.876805869,0.004051745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116535349
2872398,0,0,0,0,0,0,0,0.000451958,0,0,0,0,0,0,0,0,0,0,0,0.999548042,0,0,0,0
2852169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2863267,0.300132593,0,0,0,0.171840785,0,0,0.295563456,0,0,0,0.232430193,0,0,0,0,0,0,0,0,0,0,0,3.30E-05
2880247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2855109,0,0,0,0,0.758104149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241895851
2880579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2888737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2872089,1.72E-06,0,0,0,0.977137554,2.14E-09,0,0.001866155,0,0,0,1.28E-05,0,0,0,0,0,0,0,0,0,0,0,0.020981789
2887672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2853380,9.37E-06,0,0,0,0,0,0,0.136250227,0,0,0,3.64E-05,0,0,0,0,0,0,0,0.863444093,0,0,0,0.000259906
2848634,0,0,0,0,0.964630832,7.07E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035362103
2870360,0,0.060962409,0,0.016231842,0,0,0,0,0.086330801,0.010848105,0.000301128,0,0.279899096,0.003493486,0.084559265,0.117803356,0,0.037671763,0.002013044,0,0.294254426,4.71E-05,0,0.005584185
2848966,0,0,0,0.003962264,0,0,0,0,0,0.005224422,0,0,0.137780845,0,0.002233152,0,0,0,0,0,0.3006365,0,0,0.550162817
2882594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2867443,1.28E-05,0,0,0,0.978682354,0,0,0.000162583,0,0,0,1.05E-06,0,0,0,0,0,0,0,0.009061781,0,0,0,0.012079447
2865946,0,0,0,0,0.412298075,0,0,0,0,0,0,0,0.139156685,0,0,0,0,0,0.0766162,0,0,0,0,0.37192904
2850131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2848657,0,0,0,0,0.028811618,0,0,0,0,5.56E-07,0,0,0.900663174,0,0,0,0,0,0.015456326,0,0.013579272,0,0,0.041489055
2870383,5.36E-05,0,0,0,0.9364277,0.001720221,0,0,0,0,0,0,0,0,0,0,0,0,1.15E-07,0,0,0,0,0.061798392
2882285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2850440,0.050456654,0,0,0,0.66124016,0.00315531,0,0.235548974,0,0,0,0.038619178,0,0,0,0,0,0,5.31E-05,0.001027791,0,0,0,0.009898847
2857247,0,0,0,0,0.957754301,6.92E-10,0,0,0,0,0,0,1.34E-05,0,0,0,0,0,0,0,0,0,0,0.042232265
2873895,0,0.067292513,0.003159339,0.013056625,0,2.21E-05,0,0,0.261824483,0.031729208,0.028114328,0,0.06882628,0.024667976,0.129313891,0.200359714,0.044134366,0.042208963,0.023985261,0,0.041753529,0.001658161,0.000108097,0.017785198
2865405,0,0,6.88E-08,0.000639974,0,0,0,0,0,0.006335206,0,0,0.381954077,0,2.82E-05,0,0,0,0,0,0.565330695,0,0,0.045711765
2893792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2868654,0.007772512,0,0,0,0.924347857,0.067879632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2884300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2851342,0.000119412,0,0,0,0,0,0,0.967307587,0,0,0,0.032056803,0,0,0,0,0,0,0,0.000516198,0,0,0,0
2867011,0.000202713,0,0,0,0.000707124,0,0,0.989019625,0,0,0,0.001705245,0,0,0,0,0,0,0,0.006850241,0,0,0,0.001515053
2850363,0,0,0,0,0.054212631,0,0,1.53E-05,0,0,0,0,0,0,0,0,0,0,0,0.476528371,0,0,0,0.469243726
2884323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2893815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2858521,0,5.09E-05,0,0.001655141,0.875106196,0.002478505,0,0,4.80E-06,0.001696412,0,0,0.040555724,0,0.013389879,0.030414386,0,0.000276726,0.001703956,0,0.030548963,0,0,0.002118366
2875833,0,0,0,0,0,0,0,0.019324632,0,0,0,0,0,0,0,0,0,0,0,0.980675368,0,0,0,0
2866616,0,0.080471053,0.00023267,0.011193231,0.158159099,0,0,0,0.170798913,0.010946621,0.04364227,0,0.003691525,0.028468256,0.152887403,0.248251455,0.045048413,0.029273064,4.38E-07,0,0.015259448,0.001655804,0,2.03E-05
2852378,0.123391017,0,0,0,0.677723858,0.004790661,0,0.088912615,0,0,0,0.088574296,0.001855322,0,0,0,0,0,0.001250983,5.39E-05,0,0,0,0.013447332
