item,load
roc,0.15
indirect_expenses,5051.84600262405
direct_expenses,0.127171397378798000 
lae,0.036920603955643200 
gross_group_cat_risk,1575000000
held_capital,6115565497.9907
add_group_cat_risk,0.1
add_cap_req,0.006367180489286140 
attr_cap,0.0717103395583415
inv_income,0.061494057050
sd_factor_us,0.12
sd_factor_intl,0.075
maxlr,0.8
comb_ratio,0.9
black_swan,0
default_line,0.05
risk_xl_capital_load,1.1
risk_xl_sd_load,0.12
