state,gates
TX,Texas WS
Other,Other
FL,All Florida WS
LA,Louisiana WS
NC,Carolinas WS
NY,NE WS
VA,Mid Atlantic WS
HI,Hawaii WS & EQ
CA,SF & LA EQ
WA,Pacific NorthWest EQ
MT,Northern Rockies EQ
OH,Midwest EQ
KY,New Madrid EQ
AK,Alaska EQ
CO,Southern Rockies EQ
