region,area_code
north_east,usa01
mid_atlantic,usa02
carolinas,usa03
fl_se,usa04
fl_non_se,usa05
al_miss,usa06
louisiana,usa07
tx_east,usa08
tx_west,usa09
cal_south,usa10
cal_north,usa11
pnw,usa12
mid_west_1,usa13
mid_west_2,usa14
new_madrid,usa15
hawaii,usa16
second_event,usa20
ca_wildfire,usa21
